Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),35.39,17.96
2025-03-08,Saturday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),35.4,17.98
2025-03-09,Sunday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),35.39,17.98
2025-03-10,Monday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),35.39,17.96
2025-03-11,Tuesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),35.4,17.98
2025-03-12,Wednesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),35.39,17.98
2025-03-13,Thursday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),35.39,17.96
2025-03-07,Friday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),27.5,37.52
2025-03-08,Saturday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),27.51,37.57
2025-03-09,Sunday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),27.51,37.54
2025-03-10,Monday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),27.51,37.57
2025-03-11,Tuesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),27.51,37.54
2025-03-12,Wednesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),27.51,37.54
2025-03-13,Thursday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),27.49,37.43
2025-03-07,Friday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),36.47,21.57
2025-03-08,Saturday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),36.47,21.57
2025-03-09,Sunday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),36.46,21.54
2025-03-10,Monday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),36.46,21.54
2025-03-11,Tuesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),36.46,21.53
2025-03-12,Wednesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),36.46,21.53
2025-03-13,Thursday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),36.46,21.52
2025-03-07,Friday,Bitter gourd,Ammapet(Uzhavar Sandhai ),36.09,20.31
2025-03-08,Saturday,Bitter gourd,Ammapet(Uzhavar Sandhai ),36.09,20.31
2025-03-09,Sunday,Bitter gourd,Ammapet(Uzhavar Sandhai ),36.1,20.32
2025-03-10,Monday,Bitter gourd,Ammapet(Uzhavar Sandhai ),36.09,20.31
2025-03-11,Tuesday,Bitter gourd,Ammapet(Uzhavar Sandhai ),36.1,20.32
2025-03-12,Wednesday,Bitter gourd,Ammapet(Uzhavar Sandhai ),36.1,20.32
2025-03-13,Thursday,Bitter gourd,Ammapet(Uzhavar Sandhai ),36.09,20.3
2025-03-07,Friday,Bitter gourd,Athur(Uzhavar Sandhai ),33.2,32.81
2025-03-08,Saturday,Bitter gourd,Athur(Uzhavar Sandhai ),33.22,32.87
2025-03-09,Sunday,Bitter gourd,Athur(Uzhavar Sandhai ),33.21,32.84
2025-03-10,Monday,Bitter gourd,Athur(Uzhavar Sandhai ),33.22,32.89
2025-03-11,Tuesday,Bitter gourd,Athur(Uzhavar Sandhai ),33.22,32.89
2025-03-12,Wednesday,Bitter gourd,Athur(Uzhavar Sandhai ),33.21,32.85
2025-03-13,Thursday,Bitter gourd,Athur(Uzhavar Sandhai ),33.21,32.83
2025-03-07,Friday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),35.09,25.32
2025-03-08,Saturday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),35.09,25.33
2025-03-09,Sunday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),35.09,25.31
2025-03-10,Monday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),35.07,25.24
2025-03-11,Tuesday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),35.08,25.29
2025-03-12,Wednesday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),35.08,25.29
2025-03-13,Thursday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),35.07,25.26
2025-03-07,Friday,Beetroot,Ammapet(Uzhavar Sandhai ),52.98,5.95
2025-03-08,Saturday,Beetroot,Ammapet(Uzhavar Sandhai ),52.98,5.96
2025-03-09,Sunday,Beetroot,Ammapet(Uzhavar Sandhai ),52.98,5.95
2025-03-10,Monday,Beetroot,Ammapet(Uzhavar Sandhai ),52.97,5.94
2025-03-11,Tuesday,Beetroot,Ammapet(Uzhavar Sandhai ),52.97,5.95
2025-03-12,Wednesday,Beetroot,Ammapet(Uzhavar Sandhai ),52.97,5.95
2025-03-13,Thursday,Beetroot,Ammapet(Uzhavar Sandhai ),52.97,5.94
2025-03-07,Friday,Beetroot,Athur(Uzhavar Sandhai ),38.89,11.12
2025-03-08,Saturday,Beetroot,Athur(Uzhavar Sandhai ),38.9,11.14
2025-03-09,Sunday,Beetroot,Athur(Uzhavar Sandhai ),38.9,11.14
2025-03-10,Monday,Beetroot,Athur(Uzhavar Sandhai ),38.89,11.12
2025-03-11,Tuesday,Beetroot,Athur(Uzhavar Sandhai ),38.89,11.1
2025-03-12,Wednesday,Beetroot,Athur(Uzhavar Sandhai ),38.89,11.13
2025-03-13,Thursday,Beetroot,Athur(Uzhavar Sandhai ),38.89,11.12
2025-03-07,Friday,Beetroot,Attayampatti(Uzhavar Sandhai ),41.21,14.46
2025-03-08,Saturday,Beetroot,Attayampatti(Uzhavar Sandhai ),41.22,14.5
2025-03-09,Sunday,Beetroot,Attayampatti(Uzhavar Sandhai ),41.21,14.48
2025-03-10,Monday,Beetroot,Attayampatti(Uzhavar Sandhai ),41.19,14.43
