Commodity,Avg_Price,Min_Price,Max_Price,Avg_Volatility_30,Market_Count
Amaranthus,23.138364779874212,10.0,30.0,2.8176644580732306,11
Amla(Nelli Kai),75.85972850678733,50.0,90.0,5.895023112574596,10
Apple,117.5,117.5,117.5,0.0,5
Arhar (Tur/Red Gram)(Whole),65.78125,50.0,90.0,9.264547584617677,5
Ashgourd,19.818181818181817,10.0,26.0,2.194009325017307,11
Banana,71.35646687697161,40.0,100.0,19.059734843239706,11
Banana - Green,23.862068965517242,20.0,30.0,2.3382757083496037,11
Beans,78.67711598746081,50.0,117.5,7.065306031463844,11
Beetroot,63.89655172413793,30.0,94.0,11.606064909401809,11
Betal Leaves,80.0,80.0,80.0,0.0,1
Bhindi(Ladies Finger),36.80250783699059,20.0,56.0,3.9569279798113692,11
Bitter gourd,41.288401253918494,25.0,60.0,3.4090138472678166,11
Black Gram (Urd Beans)(Whole),78.5,78.5,78.5,0.0,1
Bottle gourd,22.448275862068964,10.0,50.0,3.647742307632369,11
Brinjal,40.07861635220126,15.0,65.0,5.247603281859103,11
Cabbage,40.490566037735846,20.0,54.0,5.348267901513655,11
Capsicum,71.44807692307693,50.0,117.5,5.826176841966841,11
Carrot,75.51097178683385,60.0,90.0,4.669143969422855,11
Cauliflower,27.748175182481752,20.0,50.0,4.3481067748888895,11
Chikoos(Sapota),41.628352490421456,10.0,55.0,4.334357513875809,11
Chili Red,55.0,50.0,60.0,3.5355339059327378,1
Chow Chow,34.87755102040816,25.0,70.0,3.7973435470229644,11
Cluster beans,42.801886792452834,30.0,60.0,3.1486542173672403,11
Coconut,65.46708463949844,55.0,70.0,3.5959832459585197,11
Colacasia,73.33333333333333,40.0,90.0,17.87697448115276,3
Coriander(Leaves),24.677115987460816,10.0,60.0,6.0488869886353775,11
Cowpea(Veg),49.097744360902254,40.0,65.0,3.7434453768525775,7
Cucumbar(Kheera),52.95625,30.0,100.0,12.939331776036658,9
Custard Apple (Sharifa),39.81012658227848,30.0,100.0,15.166084549646314,8
Drumstick,113.32669322709164,70.0,117.5,2.7871747334660206,11
Elephant Yam (Suran),51.52777777777778,40.0,60.0,4.4629829114571855,11
Fig(Anjura/Anjeer),108.75,100.0,117.5,6.562924822386287,2
Garlic,116.89597315436242,100.0,117.5,1.119508727825859,10
Ginger(Green),57.78369905956113,40.0,80.0,3.21971832583088,11
Grapes,90.33132530120481,70.0,117.5,8.358153339279893,4
Green Avare (W),64.0705329153605,30.0,117.5,8.103329913219428,11
Green Chilli,42.0282131661442,30.0,56.0,2.351776087022834,11
Green Peas,78.19612068965517,55.0,117.5,6.201677313290132,11
Groundnut,60.00403225806452,50.0,75.0,6.249333336306564,8
Guava,53.59574468085106,40.0,80.0,9.829269347731907,11
Indian Beans (Seam),62.21531100478469,45.0,117.5,7.283713185946767,10
Jack Fruit,32.916666666666664,30.0,117.5,10.781737458267314,2
Jasmine,117.5,117.5,117.5,0.0,6
Kakada,117.5,117.5,117.5,0.0,2
Karbuja(Musk Melon),36.86666666666667,18.0,45.0,8.466997822638195,5
Knool Khol,46.469635627530366,30.0,60.0,4.177126444926747,9
Lemon,56.82389937106918,30.0,100.0,12.13785735711656,11
Lime,33.84453781512605,25.0,60.0,7.198462815866129,11
Maize,26.05732484076433,20.0,30.0,3.5208037242728762,8
Mango,104.61538461538461,70.0,117.5,15.904049974819426,4
Mango (Raw-Ripe),96.67832167832168,50.0,117.5,14.913858444244603,8
Marigold(Calcutta),110.23809523809524,60.0,117.5,8.970996125905048,7
Mashrooms,43.77329192546584,30.0,117.5,24.926874872537695,7
Mint(Pudina),31.49216300940439,20.0,45.0,3.806407258339302,11
Mousambi(Sweet Lime),44.10179640718563,30.0,100.0,20.76000074990965,7
Onion,53.69905956112853,45.0,60.0,1.9689947359516868,11
Onion Green,60.7460815047022,40.0,80.0,4.394716328166954,11
Orange,78.33333333333333,30.0,100.0,13.20223412517895,6
Paddy(Dhan)(Common),18.61111111111111,12.0,19.5,1.5897853844910659,2
Papaya,29.8371335504886,25.0,40.0,3.055729106166283,11
Pineapple,50.416666666666664,40.0,70.0,10.16789867669492,1
Pomegranate,116.96646341463415,30.0,117.5,0.5844600461183175,7
Potato,51.58307210031348,36.0,70.0,7.104318849682466,11
Pumpkin,20.178683385579937,14.0,40.0,2.0365006745027796,11
Raddish,21.46069182389937,10.0,117.5,4.166234890285968,11
Ragi (Finger Millet),36.56666666666667,33.5,38.5,1.835668406102293,2
Ridgeguard(Tori),45.58934169278997,25.0,65.0,3.0666686500289964,11
Rose(Local),113.6820652173913,70.0,117.5,5.6127372324655695,7
Snakeguard,31.645768025078368,15.0,50.0,2.6322060211357665,11
Sweet Potato,42.64186046511628,30.0,50.0,3.35286495025733,11
Tamarind Fruit,117.01923076923077,100.0,117.5,2.6434526027758434,3
Tapioca,27.184931506849313,18.0,40.0,3.456618552991749,11
Tender Coconut,28.074534161490682,20.0,30.0,2.7690872464454794,7
Thondekai,58.49659863945578,40.0,80.0,5.930927507283201,7
Tomato,19.636363636363637,8.0,26.0,1.7883222382789365,11
Tube Flower,117.5,117.5,117.5,0.0,2
Tube Rose(Loose),114.20886075949367,50.0,117.5,3.660263672267082,4
Turnip,46.666666666666664,20.0,100.0,34.25218801003129,2
Water Melon,19.913793103448278,15.0,25.0,2.0833678563550264,6
Yam (Ratalu),68.19209039548022,40.0,80.0,10.780062144485335,8
