Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Amaranthus,Ammapet(Uzhavar Sandhai ),22.34,11.7
2025-03-08,Saturday,Amaranthus,Ammapet(Uzhavar Sandhai ),22.34,11.68
2025-03-09,Sunday,Amaranthus,Ammapet(Uzhavar Sandhai ),22.33,11.67
2025-03-10,Monday,Amaranthus,Ammapet(Uzhavar Sandhai ),22.33,11.65
2025-03-11,Tuesday,Amaranthus,Ammapet(Uzhavar Sandhai ),22.33,11.67
2025-03-12,Wednesday,Amaranthus,Ammapet(Uzhavar Sandhai ),22.33,11.67
2025-03-13,Thursday,Amaranthus,Ammapet(Uzhavar Sandhai ),22.33,11.67
2025-03-07,Friday,Amaranthus,Athur(Uzhavar Sandhai ),26.6,10.84
2025-03-08,Saturday,Amaranthus,Athur(Uzhavar Sandhai ),26.6,10.82
2025-03-09,Sunday,Amaranthus,Athur(Uzhavar Sandhai ),26.6,10.81
2025-03-10,Monday,Amaranthus,Athur(Uzhavar Sandhai ),26.59,10.8
2025-03-11,Tuesday,Amaranthus,Athur(Uzhavar Sandhai ),26.6,10.82
2025-03-12,Wednesday,Amaranthus,Athur(Uzhavar Sandhai ),26.59,10.81
2025-03-13,Thursday,Amaranthus,Athur(Uzhavar Sandhai ),26.59,10.81
2025-03-07,Friday,Amaranthus,Attayampatti(Uzhavar Sandhai ),22.49,12.44
2025-03-08,Saturday,Amaranthus,Attayampatti(Uzhavar Sandhai ),22.49,12.44
2025-03-09,Sunday,Amaranthus,Attayampatti(Uzhavar Sandhai ),22.49,12.43
2025-03-10,Monday,Amaranthus,Attayampatti(Uzhavar Sandhai ),22.48,12.39
2025-03-11,Tuesday,Amaranthus,Attayampatti(Uzhavar Sandhai ),22.48,12.41
2025-03-12,Wednesday,Amaranthus,Attayampatti(Uzhavar Sandhai ),22.48,12.42
2025-03-13,Thursday,Amaranthus,Attayampatti(Uzhavar Sandhai ),22.48,12.42
2025-03-07,Friday,Amaranthus,Edapadi (Uzhavar Sandhai ),22.58,12.89
2025-03-08,Saturday,Amaranthus,Edapadi (Uzhavar Sandhai ),22.58,12.88
2025-03-09,Sunday,Amaranthus,Edapadi (Uzhavar Sandhai ),22.57,12.87
2025-03-10,Monday,Amaranthus,Edapadi (Uzhavar Sandhai ),22.57,12.84
2025-03-11,Tuesday,Amaranthus,Edapadi (Uzhavar Sandhai ),22.57,12.86
2025-03-12,Wednesday,Amaranthus,Edapadi (Uzhavar Sandhai ),22.58,12.88
2025-03-13,Thursday,Amaranthus,Edapadi (Uzhavar Sandhai ),22.58,12.88
2025-03-07,Friday,Amaranthus,Elampillai(Uzhavar Sandhai ),27.04,8.15
2025-03-08,Saturday,Amaranthus,Elampillai(Uzhavar Sandhai ),27.03,8.14
2025-03-09,Sunday,Amaranthus,Elampillai(Uzhavar Sandhai ),27.03,8.13
2025-03-10,Monday,Amaranthus,Elampillai(Uzhavar Sandhai ),27.03,8.11
2025-03-11,Tuesday,Amaranthus,Elampillai(Uzhavar Sandhai ),27.03,8.13
2025-03-12,Wednesday,Amaranthus,Elampillai(Uzhavar Sandhai ),27.03,8.13
2025-03-13,Thursday,Amaranthus,Elampillai(Uzhavar Sandhai ),27.03,8.13
2025-03-07,Friday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),26.01,8.37
2025-03-08,Saturday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),26.0,8.35
2025-03-09,Sunday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),26.0,8.35
2025-03-10,Monday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),26.0,8.34
