Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),64.07,-1.44
2025-03-08,Saturday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),64.07,-1.44
2025-03-09,Sunday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),64.07,-1.44
2025-03-10,Monday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),64.06,-1.44
2025-03-11,Tuesday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),64.06,-1.44
2025-03-12,Wednesday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),64.07,-1.44
2025-03-13,Thursday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),64.07,-1.44
2025-03-07,Friday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),79.98,-0.03
2025-03-08,Saturday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),79.98,-0.03
2025-03-09,Sunday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),79.98,-0.03
2025-03-10,Monday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),79.98,-0.03
2025-03-11,Tuesday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),79.97,-0.03
2025-03-12,Wednesday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),79.97,-0.03
2025-03-13,Thursday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),79.97,-0.03
2025-03-07,Friday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),60.85,1.42
2025-03-08,Saturday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),60.85,1.42
2025-03-09,Sunday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),60.85,1.42
2025-03-10,Monday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),60.84,1.41
2025-03-11,Tuesday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),60.85,1.41
2025-03-12,Wednesday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),60.85,1.42
2025-03-13,Thursday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),60.85,1.42
2025-03-07,Friday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),80.07,0.09
2025-03-08,Saturday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),80.07,0.09
2025-03-09,Sunday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),80.07,0.09
2025-03-10,Monday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),80.07,0.08
2025-03-11,Tuesday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),80.07,0.09
2025-03-12,Wednesday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),80.07,0.09
2025-03-13,Thursday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),80.07,0.09
2025-03-07,Friday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),60.43,0.71
2025-03-08,Saturday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),60.43,0.71
2025-03-09,Sunday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),60.43,0.71
2025-03-10,Monday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),60.42,0.71
2025-03-11,Tuesday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),60.42,0.71
2025-03-12,Wednesday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),60.43,0.71
2025-03-13,Thursday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),60.43,0.71
2025-03-07,Friday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),60.33,0.56
2025-03-08,Saturday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),60.33,0.55
2025-03-09,Sunday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),60.33,0.55
2025-03-10,Monday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),60.33,0.55
2025-03-11,Tuesday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),60.33,0.55
2025-03-12,Wednesday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),60.33,0.55
2025-03-13,Thursday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),60.33,0.55
2025-03-07,Friday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),70.53,0.76
2025-03-08,Saturday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),70.53,0.76
2025-03-09,Sunday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),70.53,0.75
2025-03-10,Monday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),70.52,0.75
2025-03-11,Tuesday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),70.52,0.75
2025-03-12,Wednesday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),70.53,0.75
2025-03-13,Thursday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),70.53,0.75
2025-03-07,Friday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-08,Saturday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-09,Sunday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-10,Monday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-11,Tuesday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-12,Wednesday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-13,Thursday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-07,Friday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),60.82,1.36
2025-03-08,Saturday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),60.82,1.36
2025-03-09,Sunday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),60.82,1.36
2025-03-10,Monday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),60.81,1.34
2025-03-11,Tuesday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),60.81,1.35
2025-03-12,Wednesday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),60.81,1.36
2025-03-13,Thursday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),60.81,1.36
2025-03-07,Friday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),60.83,1.39
2025-03-08,Saturday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),60.83,1.39
2025-03-09,Sunday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),60.83,1.39
2025-03-10,Monday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),60.82,1.37
2025-03-11,Tuesday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),60.83,1.38
2025-03-12,Wednesday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),60.83,1.38
2025-03-13,Thursday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),60.83,1.38
