Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),50.58,1.16
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),50.58,1.16
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),50.58,1.16
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),50.58,1.15
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),50.58,1.16
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),50.58,1.16
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),50.58,1.15
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),70.92,1.32
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),70.92,1.31
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),70.92,1.31
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),70.92,1.31
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),70.92,1.32
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),70.92,1.31
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),70.92,1.32
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),60.36,0.6
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),60.36,0.6
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),60.36,0.6
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),60.36,0.59
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),60.36,0.6
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),60.36,0.6
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),60.36,0.6
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),49.92,-0.15
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),49.92,-0.16
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),80.48,0.6
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),80.48,0.6
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),80.48,0.6
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),80.48,0.6
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),80.48,0.6
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),80.48,0.6
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),80.48,0.6
