Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Banana - Green,Ammapet(Uzhavar Sandhai ),27.48,37.41
2025-03-08,Saturday,Banana - Green,Ammapet(Uzhavar Sandhai ),27.48,37.42
2025-03-09,Sunday,Banana - Green,Ammapet(Uzhavar Sandhai ),27.48,37.42
2025-03-10,Monday,Banana - Green,Ammapet(Uzhavar Sandhai ),27.47,37.37
2025-03-11,Tuesday,Banana - Green,Ammapet(Uzhavar Sandhai ),27.48,37.42
2025-03-12,Wednesday,Banana - Green,Ammapet(Uzhavar Sandhai ),27.48,37.42
2025-03-13,Thursday,Banana - Green,Ammapet(Uzhavar Sandhai ),27.48,37.41
2025-03-07,Friday,Banana - Green,Athur(Uzhavar Sandhai ),32.54,35.6
2025-03-08,Saturday,Banana - Green,Athur(Uzhavar Sandhai ),32.55,35.61
2025-03-09,Sunday,Banana - Green,Athur(Uzhavar Sandhai ),32.55,35.61
2025-03-10,Monday,Banana - Green,Athur(Uzhavar Sandhai ),32.54,35.57
2025-03-11,Tuesday,Banana - Green,Athur(Uzhavar Sandhai ),32.55,35.62
2025-03-12,Wednesday,Banana - Green,Athur(Uzhavar Sandhai ),32.54,35.6
2025-03-13,Thursday,Banana - Green,Athur(Uzhavar Sandhai ),32.54,35.6
2025-03-07,Friday,Banana - Green,Attayampatti(Uzhavar Sandhai ),29.83,24.31
2025-03-08,Saturday,Banana - Green,Attayampatti(Uzhavar Sandhai ),29.84,24.31
2025-03-09,Sunday,Banana - Green,Attayampatti(Uzhavar Sandhai ),29.84,24.32
2025-03-10,Monday,Banana - Green,Attayampatti(Uzhavar Sandhai ),29.83,24.28
2025-03-11,Tuesday,Banana - Green,Attayampatti(Uzhavar Sandhai ),29.84,24.33
2025-03-12,Wednesday,Banana - Green,Attayampatti(Uzhavar Sandhai ),29.84,24.32
2025-03-13,Thursday,Banana - Green,Attayampatti(Uzhavar Sandhai ),29.84,24.32
