Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Banana,Ammapet(Uzhavar Sandhai ),90.67,0.75
2025-03-08,Saturday,Banana,Ammapet(Uzhavar Sandhai ),90.67,0.75
2025-03-09,Sunday,Banana,Ammapet(Uzhavar Sandhai ),90.67,0.75
2025-03-10,Monday,Banana,Ammapet(Uzhavar Sandhai ),90.67,0.74
2025-03-11,Tuesday,Banana,Ammapet(Uzhavar Sandhai ),90.67,0.75
2025-03-12,Wednesday,Banana,Ammapet(Uzhavar Sandhai ),90.67,0.75
2025-03-13,Thursday,Banana,Ammapet(Uzhavar Sandhai ),90.67,0.75
2025-03-07,Friday,Banana,Athur(Uzhavar Sandhai ),50.63,1.25
2025-03-08,Saturday,Banana,Athur(Uzhavar Sandhai ),50.62,1.25
2025-03-09,Sunday,Banana,Athur(Uzhavar Sandhai ),50.62,1.25
2025-03-10,Monday,Banana,Athur(Uzhavar Sandhai ),50.62,1.25
2025-03-11,Tuesday,Banana,Athur(Uzhavar Sandhai ),50.62,1.25
2025-03-12,Wednesday,Banana,Athur(Uzhavar Sandhai ),50.62,1.24
2025-03-13,Thursday,Banana,Athur(Uzhavar Sandhai ),50.62,1.24
2025-03-07,Friday,Banana,Attayampatti(Uzhavar Sandhai ),50.28,0.55
2025-03-08,Saturday,Banana,Attayampatti(Uzhavar Sandhai ),50.27,0.55
2025-03-09,Sunday,Banana,Attayampatti(Uzhavar Sandhai ),50.27,0.55
2025-03-10,Monday,Banana,Attayampatti(Uzhavar Sandhai ),50.27,0.55
2025-03-11,Tuesday,Banana,Attayampatti(Uzhavar Sandhai ),50.28,0.55
2025-03-12,Wednesday,Banana,Attayampatti(Uzhavar Sandhai ),50.27,0.55
2025-03-13,Thursday,Banana,Attayampatti(Uzhavar Sandhai ),50.27,0.54
2025-03-07,Friday,Banana,Edapadi (Uzhavar Sandhai ),60.51,0.85
2025-03-08,Saturday,Banana,Edapadi (Uzhavar Sandhai ),60.51,0.85
2025-03-09,Sunday,Banana,Edapadi (Uzhavar Sandhai ),60.51,0.85
2025-03-10,Monday,Banana,Edapadi (Uzhavar Sandhai ),60.5,0.84
