Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Banana - Green,Ammapet(Uzhavar Sandhai ),22.28,11.38
2025-03-08,Saturday,Banana - Green,Ammapet(Uzhavar Sandhai ),22.27,11.37
2025-03-09,Sunday,Banana - Green,Ammapet(Uzhavar Sandhai ),22.27,11.37
2025-03-10,Monday,Banana - Green,Ammapet(Uzhavar Sandhai ),22.27,11.34
2025-03-11,Tuesday,Banana - Green,Ammapet(Uzhavar Sandhai ),22.27,11.35
2025-03-12,Wednesday,Banana - Green,Ammapet(Uzhavar Sandhai ),22.28,11.38
2025-03-13,Thursday,Banana - Green,Ammapet(Uzhavar Sandhai ),22.27,11.36
2025-03-07,Friday,Banana - Green,Athur(Uzhavar Sandhai ),26.65,11.04
2025-03-08,Saturday,Banana - Green,Athur(Uzhavar Sandhai ),26.65,11.03
2025-03-09,Sunday,Banana - Green,Athur(Uzhavar Sandhai ),26.65,11.03
2025-03-10,Monday,Banana - Green,Athur(Uzhavar Sandhai ),26.64,11.01
2025-03-11,Tuesday,Banana - Green,Athur(Uzhavar Sandhai ),26.65,11.02
2025-03-12,Wednesday,Banana - Green,Athur(Uzhavar Sandhai ),26.64,11.02
2025-03-13,Thursday,Banana - Green,Athur(Uzhavar Sandhai ),26.65,11.02
2025-03-07,Friday,Banana - Green,Attayampatti(Uzhavar Sandhai ),26.6,10.84
2025-03-08,Saturday,Banana - Green,Attayampatti(Uzhavar Sandhai ),26.6,10.83
2025-03-09,Sunday,Banana - Green,Attayampatti(Uzhavar Sandhai ),26.6,10.83
2025-03-10,Monday,Banana - Green,Attayampatti(Uzhavar Sandhai ),26.59,10.8
2025-03-11,Tuesday,Banana - Green,Attayampatti(Uzhavar Sandhai ),26.59,10.81
2025-03-12,Wednesday,Banana - Green,Attayampatti(Uzhavar Sandhai ),26.6,10.82
2025-03-13,Thursday,Banana - Green,Attayampatti(Uzhavar Sandhai ),26.6,10.83
2025-03-07,Friday,Banana - Green,Edapadi (Uzhavar Sandhai ),22.61,13.04
2025-03-08,Saturday,Banana - Green,Edapadi (Uzhavar Sandhai ),22.61,13.03
