Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Beans,Ammapet(Uzhavar Sandhai ),60.33,0.55
2025-03-08,Saturday,Beans,Ammapet(Uzhavar Sandhai ),60.33,0.56
2025-03-09,Sunday,Beans,Ammapet(Uzhavar Sandhai ),60.33,0.55
2025-03-10,Monday,Beans,Ammapet(Uzhavar Sandhai ),60.33,0.54
2025-03-11,Tuesday,Beans,Ammapet(Uzhavar Sandhai ),60.33,0.55
2025-03-12,Wednesday,Beans,Ammapet(Uzhavar Sandhai ),60.33,0.55
2025-03-13,Thursday,Beans,Ammapet(Uzhavar Sandhai ),60.33,0.55
2025-03-07,Friday,Beans,Athur(Uzhavar Sandhai ),61.04,1.73
2025-03-08,Saturday,Beans,Athur(Uzhavar Sandhai ),61.04,1.74
2025-03-09,Sunday,Beans,Athur(Uzhavar Sandhai ),61.04,1.73
2025-03-10,Monday,Beans,Athur(Uzhavar Sandhai ),61.04,1.73
2025-03-11,Tuesday,Beans,Athur(Uzhavar Sandhai ),61.04,1.74
2025-03-12,Wednesday,Beans,Athur(Uzhavar Sandhai ),61.04,1.74
2025-03-13,Thursday,Beans,Athur(Uzhavar Sandhai ),61.04,1.74
2025-03-07,Friday,Beans,Attayampatti(Uzhavar Sandhai ),70.6,0.85
2025-03-08,Saturday,Beans,Attayampatti(Uzhavar Sandhai ),70.6,0.86
2025-03-09,Sunday,Beans,Attayampatti(Uzhavar Sandhai ),70.6,0.86
2025-03-10,Monday,Beans,Attayampatti(Uzhavar Sandhai ),70.6,0.86
2025-03-11,Tuesday,Beans,Attayampatti(Uzhavar Sandhai ),70.6,0.85
2025-03-12,Wednesday,Beans,Attayampatti(Uzhavar Sandhai ),70.6,0.85
2025-03-13,Thursday,Beans,Attayampatti(Uzhavar Sandhai ),70.6,0.85
2025-03-07,Friday,Beans,Edapadi (Uzhavar Sandhai ),65.98,1.51
2025-03-08,Saturday,Beans,Edapadi (Uzhavar Sandhai ),65.98,1.51
2025-03-09,Sunday,Beans,Edapadi (Uzhavar Sandhai ),65.98,1.51
