Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),80.06,0.07
2025-03-08,Saturday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),80.06,0.07
2025-03-09,Sunday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),80.06,0.07
2025-03-10,Monday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),80.06,0.07
2025-03-11,Tuesday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),80.06,0.07
2025-03-12,Wednesday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),80.06,0.07
2025-03-13,Thursday,Betal Leaves,Thathakapatti(Uzhavar Sandhai ),80.06,0.07
2025-03-07,Friday,Betal Leaves,Athur(Uzhavar Sandhai ),91.77,1.97
2025-03-08,Saturday,Betal Leaves,Athur(Uzhavar Sandhai ),91.77,1.97
2025-03-09,Sunday,Betal Leaves,Athur(Uzhavar Sandhai ),91.77,1.96
2025-03-10,Monday,Betal Leaves,Athur(Uzhavar Sandhai ),91.76,1.96
2025-03-11,Tuesday,Betal Leaves,Athur(Uzhavar Sandhai ),91.77,1.96
2025-03-12,Wednesday,Betal Leaves,Athur(Uzhavar Sandhai ),91.77,1.96
2025-03-13,Thursday,Betal Leaves,Athur(Uzhavar Sandhai ),91.76,1.96
