Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),34.32,14.41
2025-03-08,Saturday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),34.33,14.42
2025-03-09,Sunday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),34.33,14.42
2025-03-10,Monday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),34.32,14.4
2025-03-11,Tuesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),34.32,14.41
2025-03-12,Wednesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),34.32,14.41
2025-03-13,Thursday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),34.32,14.41
2025-03-07,Friday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),25.74,28.71
2025-03-08,Saturday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),25.74,28.72
2025-03-09,Sunday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),25.74,28.72
2025-03-10,Monday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),25.74,28.68
2025-03-11,Tuesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),25.75,28.73
2025-03-12,Wednesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),25.74,28.69
2025-03-13,Thursday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),25.74,28.7
2025-03-07,Friday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),33.61,12.03
2025-03-08,Saturday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),33.61,12.03
2025-03-09,Sunday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),33.61,12.04
2025-03-10,Monday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),33.61,12.02
2025-03-11,Tuesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),33.61,12.05
2025-03-12,Wednesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),33.61,12.03
2025-03-13,Thursday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),33.61,12.04
