Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),31.27,4.22
2025-03-08,Saturday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),31.26,4.21
2025-03-09,Sunday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),31.26,4.2
2025-03-10,Monday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),31.26,4.19
2025-03-11,Tuesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),31.26,4.19
2025-03-12,Wednesday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),31.26,4.2
2025-03-13,Thursday,Bhindi(Ladies Finger),Ammapet(Uzhavar Sandhai ),31.26,4.19
2025-03-07,Friday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),22.37,11.84
2025-03-08,Saturday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),22.36,11.81
2025-03-09,Sunday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),22.36,11.81
2025-03-10,Monday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),22.36,11.8
2025-03-11,Tuesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),22.36,11.8
2025-03-12,Wednesday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),22.36,11.8
2025-03-13,Thursday,Bhindi(Ladies Finger),Athur(Uzhavar Sandhai ),22.36,11.8
2025-03-07,Friday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),31.47,4.89
2025-03-08,Saturday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),31.46,4.88
2025-03-09,Sunday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),31.46,4.88
2025-03-10,Monday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),31.46,4.86
2025-03-11,Tuesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),31.46,4.86
2025-03-12,Wednesday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),31.46,4.87
2025-03-13,Thursday,Bhindi(Ladies Finger),Attayampatti(Uzhavar Sandhai ),31.46,4.87
2025-03-07,Friday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),31.74,5.8
2025-03-08,Saturday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),31.74,5.8
2025-03-09,Sunday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),31.74,5.79
2025-03-10,Monday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),31.73,5.77
2025-03-11,Tuesday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),31.73,5.78
2025-03-12,Wednesday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),31.74,5.79
2025-03-13,Thursday,Bhindi(Ladies Finger),Edapadi (Uzhavar Sandhai ),31.74,5.79
2025-03-07,Friday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),31.67,5.56
2025-03-08,Saturday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),31.67,5.55
2025-03-09,Sunday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),31.66,5.55
2025-03-10,Monday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),31.66,5.52
2025-03-11,Tuesday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),31.66,5.54
2025-03-12,Wednesday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),31.66,5.55
2025-03-13,Thursday,Bhindi(Ladies Finger),Elampillai(Uzhavar Sandhai ),31.66,5.54
2025-03-07,Friday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),36.88,2.43
2025-03-08,Saturday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),36.87,2.43
2025-03-09,Sunday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),36.87,2.42
2025-03-10,Monday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),36.87,2.42
2025-03-11,Tuesday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),36.87,2.42
2025-03-12,Wednesday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),36.87,2.42
2025-03-13,Thursday,Bhindi(Ladies Finger),Hasthampatti(Uzhavar Sandhai ),36.87,2.41
2025-03-07,Friday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),31.6,5.33
2025-03-08,Saturday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),31.6,5.32
2025-03-09,Sunday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),31.6,5.32
2025-03-10,Monday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),31.59,5.29
2025-03-11,Tuesday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),31.59,5.31
2025-03-12,Wednesday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),31.6,5.33
2025-03-13,Thursday,Bhindi(Ladies Finger),Jalagandapuram(Uzhavar Sandhai ),31.6,5.33
2025-03-07,Friday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),26.91,7.64
2025-03-08,Saturday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),26.91,7.63
2025-03-09,Sunday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),26.91,7.62
2025-03-10,Monday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),26.9,7.62
2025-03-11,Tuesday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),26.91,7.62
2025-03-12,Wednesday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),26.91,7.62
2025-03-13,Thursday,Bhindi(Ladies Finger),Mettur(Uzhavar Sandhai ),26.9,7.61
2025-03-07,Friday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),31.5,5.0
2025-03-08,Saturday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),31.5,4.99
2025-03-09,Sunday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),31.5,4.99
2025-03-10,Monday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),31.5,4.99
2025-03-11,Tuesday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),31.5,4.99
2025-03-12,Wednesday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),31.5,4.99
2025-03-13,Thursday,Bhindi(Ladies Finger),Sooramangalam(Uzhavar Sandhai ),31.49,4.98
2025-03-07,Friday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),31.5,4.99
2025-03-08,Saturday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),31.5,4.99
2025-03-09,Sunday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),31.5,4.98
2025-03-10,Monday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),31.49,4.96
2025-03-11,Tuesday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),31.49,4.97
2025-03-12,Wednesday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),31.49,4.98
2025-03-13,Thursday,Bhindi(Ladies Finger),Thammampatti (Uzhavar Sandhai ),31.49,4.98
2025-03-07,Friday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),31.59,5.32
2025-03-08,Saturday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),31.59,5.31
2025-03-09,Sunday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),31.59,5.3
2025-03-10,Monday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),31.59,5.3
2025-03-11,Tuesday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),31.59,5.3
2025-03-12,Wednesday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),31.59,5.3
2025-03-13,Thursday,Bhindi(Ladies Finger),Thathakapatti(Uzhavar Sandhai ),31.59,5.29
