Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Bitter gourd,Ammapet(Uzhavar Sandhai ),34.64,15.48
2025-03-08,Saturday,Bitter gourd,Ammapet(Uzhavar Sandhai ),34.65,15.48
2025-03-09,Sunday,Bitter gourd,Ammapet(Uzhavar Sandhai ),34.64,15.47
2025-03-10,Monday,Bitter gourd,Ammapet(Uzhavar Sandhai ),34.63,15.43
2025-03-11,Tuesday,Bitter gourd,Ammapet(Uzhavar Sandhai ),34.64,15.47
2025-03-12,Wednesday,Bitter gourd,Ammapet(Uzhavar Sandhai ),34.64,15.46
2025-03-13,Thursday,Bitter gourd,Ammapet(Uzhavar Sandhai ),34.63,15.45
2025-03-07,Friday,Bitter gourd,Athur(Uzhavar Sandhai ),29.79,19.14
2025-03-08,Saturday,Bitter gourd,Athur(Uzhavar Sandhai ),29.79,19.15
2025-03-09,Sunday,Bitter gourd,Athur(Uzhavar Sandhai ),29.79,19.15
2025-03-10,Monday,Bitter gourd,Athur(Uzhavar Sandhai ),29.78,19.11
2025-03-11,Tuesday,Bitter gourd,Athur(Uzhavar Sandhai ),29.79,19.15
2025-03-12,Wednesday,Bitter gourd,Athur(Uzhavar Sandhai ),29.78,19.13
2025-03-13,Thursday,Bitter gourd,Athur(Uzhavar Sandhai ),29.78,19.11
2025-03-07,Friday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),33.33,19.04
2025-03-08,Saturday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),33.33,19.04
2025-03-09,Sunday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),33.33,19.04
2025-03-10,Monday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),33.32,19.0
2025-03-11,Tuesday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),33.33,19.04
2025-03-12,Wednesday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),33.33,19.02
2025-03-13,Thursday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),33.32,19.0
