Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Bitter gourd,Ammapet(Uzhavar Sandhai ),31.35,4.51
2025-03-08,Saturday,Bitter gourd,Ammapet(Uzhavar Sandhai ),31.35,4.5
2025-03-09,Sunday,Bitter gourd,Ammapet(Uzhavar Sandhai ),31.35,4.5
2025-03-10,Monday,Bitter gourd,Ammapet(Uzhavar Sandhai ),31.34,4.47
2025-03-11,Tuesday,Bitter gourd,Ammapet(Uzhavar Sandhai ),31.34,4.48
2025-03-12,Wednesday,Bitter gourd,Ammapet(Uzhavar Sandhai ),31.35,4.49
2025-03-13,Thursday,Bitter gourd,Ammapet(Uzhavar Sandhai ),31.35,4.5
2025-03-07,Friday,Bitter gourd,Athur(Uzhavar Sandhai ),27.08,8.3
2025-03-08,Saturday,Bitter gourd,Athur(Uzhavar Sandhai ),27.07,8.3
2025-03-09,Sunday,Bitter gourd,Athur(Uzhavar Sandhai ),27.07,8.3
2025-03-10,Monday,Bitter gourd,Athur(Uzhavar Sandhai ),27.07,8.28
2025-03-11,Tuesday,Bitter gourd,Athur(Uzhavar Sandhai ),27.07,8.29
2025-03-12,Wednesday,Bitter gourd,Athur(Uzhavar Sandhai ),27.07,8.29
2025-03-13,Thursday,Bitter gourd,Athur(Uzhavar Sandhai ),27.07,8.3
2025-03-07,Friday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),30.51,8.97
2025-03-08,Saturday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),30.51,8.96
2025-03-09,Sunday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),30.51,8.96
2025-03-10,Monday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),30.5,8.92
2025-03-11,Tuesday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),30.5,8.94
2025-03-12,Wednesday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),30.51,8.95
2025-03-13,Thursday,Bitter gourd,Attayampatti(Uzhavar Sandhai ),30.51,8.95
2025-03-07,Friday,Bitter gourd,Edapadi (Uzhavar Sandhai ),30.87,10.26
2025-03-08,Saturday,Bitter gourd,Edapadi (Uzhavar Sandhai ),30.87,10.26
2025-03-09,Sunday,Bitter gourd,Edapadi (Uzhavar Sandhai ),30.87,10.26
2025-03-10,Monday,Bitter gourd,Edapadi (Uzhavar Sandhai ),30.86,10.22
2025-03-11,Tuesday,Bitter gourd,Edapadi (Uzhavar Sandhai ),30.87,10.25
2025-03-12,Wednesday,Bitter gourd,Edapadi (Uzhavar Sandhai ),30.87,10.26
2025-03-13,Thursday,Bitter gourd,Edapadi (Uzhavar Sandhai ),30.87,10.26
2025-03-07,Friday,Bitter gourd,Elampillai(Uzhavar Sandhai ),36.5,4.3
2025-03-08,Saturday,Bitter gourd,Elampillai(Uzhavar Sandhai ),36.5,4.29
2025-03-09,Sunday,Bitter gourd,Elampillai(Uzhavar Sandhai ),36.5,4.29
2025-03-10,Monday,Bitter gourd,Elampillai(Uzhavar Sandhai ),36.49,4.27
2025-03-11,Tuesday,Bitter gourd,Elampillai(Uzhavar Sandhai ),36.5,4.28
