Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Bottle gourd,Ammapet(Uzhavar Sandhai ),18.32,30.86
2025-03-08,Saturday,Bottle gourd,Ammapet(Uzhavar Sandhai ),18.32,30.85
2025-03-09,Sunday,Bottle gourd,Ammapet(Uzhavar Sandhai ),18.32,30.84
2025-03-10,Monday,Bottle gourd,Ammapet(Uzhavar Sandhai ),18.32,30.89
2025-03-11,Tuesday,Bottle gourd,Ammapet(Uzhavar Sandhai ),18.33,30.91
2025-03-12,Wednesday,Bottle gourd,Ammapet(Uzhavar Sandhai ),18.32,30.85
2025-03-13,Thursday,Bottle gourd,Ammapet(Uzhavar Sandhai ),18.32,30.83
2025-03-07,Friday,Bottle gourd,Athur(Uzhavar Sandhai ),14.4,44.05
2025-03-08,Saturday,Bottle gourd,Athur(Uzhavar Sandhai ),14.4,44.05
2025-03-09,Sunday,Bottle gourd,Athur(Uzhavar Sandhai ),14.35,43.48
2025-03-10,Monday,Bottle gourd,Athur(Uzhavar Sandhai ),14.35,43.46
2025-03-11,Tuesday,Bottle gourd,Athur(Uzhavar Sandhai ),14.35,43.47
2025-03-12,Wednesday,Bottle gourd,Athur(Uzhavar Sandhai ),14.35,43.47
2025-03-13,Thursday,Bottle gourd,Athur(Uzhavar Sandhai ),14.35,43.48
2025-03-07,Friday,Bottle gourd,Attayampatti(Uzhavar Sandhai ),17.9,27.83
2025-03-08,Saturday,Bottle gourd,Attayampatti(Uzhavar Sandhai ),17.89,27.81
2025-03-09,Sunday,Bottle gourd,Attayampatti(Uzhavar Sandhai ),17.86,27.55
2025-03-10,Monday,Bottle gourd,Attayampatti(Uzhavar Sandhai ),17.86,27.58
2025-03-11,Tuesday,Bottle gourd,Attayampatti(Uzhavar Sandhai ),17.86,27.61
2025-03-12,Wednesday,Bottle gourd,Attayampatti(Uzhavar Sandhai ),17.86,27.54
2025-03-13,Thursday,Bottle gourd,Attayampatti(Uzhavar Sandhai ),17.86,27.54
2025-03-07,Friday,Bottle gourd,Edapadi (Uzhavar Sandhai ),16.56,38.03
2025-03-08,Saturday,Bottle gourd,Edapadi (Uzhavar Sandhai ),16.56,38.03
2025-03-09,Sunday,Bottle gourd,Edapadi (Uzhavar Sandhai ),16.52,37.63
2025-03-10,Monday,Bottle gourd,Edapadi (Uzhavar Sandhai ),16.51,37.59
2025-03-11,Tuesday,Bottle gourd,Edapadi (Uzhavar Sandhai ),16.52,37.63
2025-03-12,Wednesday,Bottle gourd,Edapadi (Uzhavar Sandhai ),16.52,37.66
2025-03-13,Thursday,Bottle gourd,Edapadi (Uzhavar Sandhai ),16.52,37.66
2025-03-07,Friday,Bottle gourd,Elampillai(Uzhavar Sandhai ),18.48,23.21
2025-03-08,Saturday,Bottle gourd,Elampillai(Uzhavar Sandhai ),18.48,23.22
2025-03-09,Sunday,Bottle gourd,Elampillai(Uzhavar Sandhai ),18.48,23.22
2025-03-10,Monday,Bottle gourd,Elampillai(Uzhavar Sandhai ),18.48,23.18
2025-03-11,Tuesday,Bottle gourd,Elampillai(Uzhavar Sandhai ),18.48,23.21
2025-03-12,Wednesday,Bottle gourd,Elampillai(Uzhavar Sandhai ),18.48,23.23
2025-03-13,Thursday,Bottle gourd,Elampillai(Uzhavar Sandhai ),18.48,23.22
2025-03-07,Friday,Bottle gourd,Hasthampatti(Uzhavar Sandhai ),18.38,31.25
2025-03-08,Saturday,Bottle gourd,Hasthampatti(Uzhavar Sandhai ),18.37,31.24
2025-03-09,Sunday,Bottle gourd,Hasthampatti(Uzhavar Sandhai ),18.37,31.23
2025-03-10,Monday,Bottle gourd,Hasthampatti(Uzhavar Sandhai ),18.38,31.28
2025-03-11,Tuesday,Bottle gourd,Hasthampatti(Uzhavar Sandhai ),18.38,31.29
2025-03-12,Wednesday,Bottle gourd,Hasthampatti(Uzhavar Sandhai ),18.37,31.25
2025-03-13,Thursday,Bottle gourd,Hasthampatti(Uzhavar Sandhai ),18.37,31.23
2025-03-07,Friday,Bottle gourd,Jalagandapuram(Uzhavar Sandhai ),14.15,41.5
2025-03-08,Saturday,Bottle gourd,Jalagandapuram(Uzhavar Sandhai ),14.15,41.47
2025-03-09,Sunday,Bottle gourd,Jalagandapuram(Uzhavar Sandhai ),14.1,41.0
2025-03-10,Monday,Bottle gourd,Jalagandapuram(Uzhavar Sandhai ),14.09,40.94
2025-03-11,Tuesday,Bottle gourd,Jalagandapuram(Uzhavar Sandhai ),14.1,40.99
2025-03-12,Wednesday,Bottle gourd,Jalagandapuram(Uzhavar Sandhai ),14.1,40.99
2025-03-13,Thursday,Bottle gourd,Jalagandapuram(Uzhavar Sandhai ),14.1,40.99
2025-03-07,Friday,Bottle gourd,Mettur(Uzhavar Sandhai ),15.71,57.11
2025-03-08,Saturday,Bottle gourd,Mettur(Uzhavar Sandhai ),15.71,57.12
2025-03-09,Sunday,Bottle gourd,Mettur(Uzhavar Sandhai ),15.71,57.14
2025-03-10,Monday,Bottle gourd,Mettur(Uzhavar Sandhai ),15.71,57.11
2025-03-11,Tuesday,Bottle gourd,Mettur(Uzhavar Sandhai ),15.72,57.15
