Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Brinjal,Ammapet(Uzhavar Sandhai ),22.31,11.56
2025-03-08,Saturday,Brinjal,Ammapet(Uzhavar Sandhai ),22.31,11.53
2025-03-09,Sunday,Brinjal,Ammapet(Uzhavar Sandhai ),22.31,11.53
2025-03-10,Monday,Brinjal,Ammapet(Uzhavar Sandhai ),22.3,11.52
2025-03-11,Tuesday,Brinjal,Ammapet(Uzhavar Sandhai ),22.31,11.53
2025-03-12,Wednesday,Brinjal,Ammapet(Uzhavar Sandhai ),22.31,11.55
2025-03-13,Thursday,Brinjal,Ammapet(Uzhavar Sandhai ),22.31,11.53
2025-03-07,Friday,Brinjal,Athur(Uzhavar Sandhai ),22.31,11.54
2025-03-08,Saturday,Brinjal,Athur(Uzhavar Sandhai ),22.31,11.53
2025-03-09,Sunday,Brinjal,Athur(Uzhavar Sandhai ),22.31,11.53
2025-03-10,Monday,Brinjal,Athur(Uzhavar Sandhai ),22.3,11.52
2025-03-11,Tuesday,Brinjal,Athur(Uzhavar Sandhai ),22.31,11.53
2025-03-12,Wednesday,Brinjal,Athur(Uzhavar Sandhai ),22.31,11.54
2025-03-13,Thursday,Brinjal,Athur(Uzhavar Sandhai ),22.31,11.54
2025-03-07,Friday,Brinjal,Attayampatti(Uzhavar Sandhai ),22.17,10.84
2025-03-08,Saturday,Brinjal,Attayampatti(Uzhavar Sandhai ),22.17,10.83
2025-03-09,Sunday,Brinjal,Attayampatti(Uzhavar Sandhai ),22.17,10.83
2025-03-10,Monday,Brinjal,Attayampatti(Uzhavar Sandhai ),22.16,10.8
2025-03-11,Tuesday,Brinjal,Attayampatti(Uzhavar Sandhai ),22.16,10.82
2025-03-12,Wednesday,Brinjal,Attayampatti(Uzhavar Sandhai ),22.17,10.83
2025-03-13,Thursday,Brinjal,Attayampatti(Uzhavar Sandhai ),22.17,10.83
2025-03-07,Friday,Brinjal,Edapadi (Uzhavar Sandhai ),22.32,11.58
2025-03-08,Saturday,Brinjal,Edapadi (Uzhavar Sandhai ),22.32,11.58
2025-03-09,Sunday,Brinjal,Edapadi (Uzhavar Sandhai ),22.32,11.58
2025-03-10,Monday,Brinjal,Edapadi (Uzhavar Sandhai ),22.31,11.55
2025-03-11,Tuesday,Brinjal,Edapadi (Uzhavar Sandhai ),22.32,11.58
2025-03-12,Wednesday,Brinjal,Edapadi (Uzhavar Sandhai ),22.32,11.59
2025-03-13,Thursday,Brinjal,Edapadi (Uzhavar Sandhai ),22.32,11.59
2025-03-07,Friday,Brinjal,Elampillai(Uzhavar Sandhai ),22.27,11.37
2025-03-08,Saturday,Brinjal,Elampillai(Uzhavar Sandhai ),22.27,11.36
2025-03-09,Sunday,Brinjal,Elampillai(Uzhavar Sandhai ),22.27,11.36
2025-03-10,Monday,Brinjal,Elampillai(Uzhavar Sandhai ),22.27,11.33
2025-03-11,Tuesday,Brinjal,Elampillai(Uzhavar Sandhai ),22.27,11.36
2025-03-12,Wednesday,Brinjal,Elampillai(Uzhavar Sandhai ),22.27,11.37
2025-03-13,Thursday,Brinjal,Elampillai(Uzhavar Sandhai ),22.27,11.36
2025-03-07,Friday,Brinjal,Hasthampatti(Uzhavar Sandhai ),25.99,8.31
2025-03-08,Saturday,Brinjal,Hasthampatti(Uzhavar Sandhai ),25.99,8.29
2025-03-09,Sunday,Brinjal,Hasthampatti(Uzhavar Sandhai ),25.99,8.29
2025-03-10,Monday,Brinjal,Hasthampatti(Uzhavar Sandhai ),25.99,8.28
2025-03-11,Tuesday,Brinjal,Hasthampatti(Uzhavar Sandhai ),25.99,8.29
2025-03-12,Wednesday,Brinjal,Hasthampatti(Uzhavar Sandhai ),25.99,8.29
2025-03-13,Thursday,Brinjal,Hasthampatti(Uzhavar Sandhai ),25.99,8.28
2025-03-07,Friday,Brinjal,Jalagandapuram(Uzhavar Sandhai ),23.93,19.66
2025-03-08,Saturday,Brinjal,Jalagandapuram(Uzhavar Sandhai ),23.93,19.64
2025-03-09,Sunday,Brinjal,Jalagandapuram(Uzhavar Sandhai ),23.93,19.64
2025-03-10,Monday,Brinjal,Jalagandapuram(Uzhavar Sandhai ),23.92,19.61
2025-03-11,Tuesday,Brinjal,Jalagandapuram(Uzhavar Sandhai ),23.93,19.63
2025-03-12,Wednesday,Brinjal,Jalagandapuram(Uzhavar Sandhai ),23.92,19.61
2025-03-13,Thursday,Brinjal,Jalagandapuram(Uzhavar Sandhai ),23.92,19.61
2025-03-07,Friday,Brinjal,Mettur(Uzhavar Sandhai ),18.51,23.42
2025-03-08,Saturday,Brinjal,Mettur(Uzhavar Sandhai ),18.51,23.41
2025-03-09,Sunday,Brinjal,Mettur(Uzhavar Sandhai ),18.51,23.4
2025-03-10,Monday,Brinjal,Mettur(Uzhavar Sandhai ),18.51,23.38
