Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cabbage,Ammapet(Uzhavar Sandhai ),26.83,7.31
2025-03-08,Saturday,Cabbage,Ammapet(Uzhavar Sandhai ),26.82,7.29
2025-03-09,Sunday,Cabbage,Ammapet(Uzhavar Sandhai ),26.82,7.28
2025-03-10,Monday,Cabbage,Ammapet(Uzhavar Sandhai ),26.81,7.26
2025-03-11,Tuesday,Cabbage,Ammapet(Uzhavar Sandhai ),26.82,7.28
2025-03-12,Wednesday,Cabbage,Ammapet(Uzhavar Sandhai ),26.82,7.28
2025-03-13,Thursday,Cabbage,Ammapet(Uzhavar Sandhai ),26.82,7.28
2025-03-07,Friday,Cabbage,Athur(Uzhavar Sandhai ),31.88,6.26
2025-03-08,Saturday,Cabbage,Athur(Uzhavar Sandhai ),31.88,6.25
2025-03-09,Sunday,Cabbage,Athur(Uzhavar Sandhai ),31.88,6.25
2025-03-10,Monday,Cabbage,Athur(Uzhavar Sandhai ),31.87,6.25
2025-03-11,Tuesday,Cabbage,Athur(Uzhavar Sandhai ),31.88,6.27
2025-03-12,Wednesday,Cabbage,Athur(Uzhavar Sandhai ),31.88,6.26
2025-03-13,Thursday,Cabbage,Athur(Uzhavar Sandhai ),31.88,6.27
2025-03-07,Friday,Cabbage,Attayampatti(Uzhavar Sandhai ),31.89,6.28
2025-03-08,Saturday,Cabbage,Attayampatti(Uzhavar Sandhai ),31.88,6.28
2025-03-09,Sunday,Cabbage,Attayampatti(Uzhavar Sandhai ),31.88,6.28
2025-03-10,Monday,Cabbage,Attayampatti(Uzhavar Sandhai ),31.88,6.25
2025-03-11,Tuesday,Cabbage,Attayampatti(Uzhavar Sandhai ),31.88,6.27
2025-03-12,Wednesday,Cabbage,Attayampatti(Uzhavar Sandhai ),31.88,6.27
2025-03-13,Thursday,Cabbage,Attayampatti(Uzhavar Sandhai ),31.88,6.27
2025-03-07,Friday,Cabbage,Edapadi (Uzhavar Sandhai ),36.39,7.04
2025-03-08,Saturday,Cabbage,Edapadi (Uzhavar Sandhai ),36.39,7.04
2025-03-09,Sunday,Cabbage,Edapadi (Uzhavar Sandhai ),36.39,7.04
2025-03-10,Monday,Cabbage,Edapadi (Uzhavar Sandhai ),36.39,7.02
2025-03-11,Tuesday,Cabbage,Edapadi (Uzhavar Sandhai ),36.39,7.03
2025-03-12,Wednesday,Cabbage,Edapadi (Uzhavar Sandhai ),36.39,7.04
2025-03-13,Thursday,Cabbage,Edapadi (Uzhavar Sandhai ),36.39,7.04
2025-03-07,Friday,Cabbage,Elampillai(Uzhavar Sandhai ),41.45,3.62
2025-03-08,Saturday,Cabbage,Elampillai(Uzhavar Sandhai ),41.44,3.61
2025-03-09,Sunday,Cabbage,Elampillai(Uzhavar Sandhai ),41.44,3.61
2025-03-10,Monday,Cabbage,Elampillai(Uzhavar Sandhai ),41.44,3.59
2025-03-11,Tuesday,Cabbage,Elampillai(Uzhavar Sandhai ),41.44,3.61
2025-03-12,Wednesday,Cabbage,Elampillai(Uzhavar Sandhai ),41.44,3.61
2025-03-13,Thursday,Cabbage,Elampillai(Uzhavar Sandhai ),41.44,3.61
2025-03-07,Friday,Cabbage,Hasthampatti(Uzhavar Sandhai ),41.12,2.81
2025-03-08,Saturday,Cabbage,Hasthampatti(Uzhavar Sandhai ),41.12,2.8
2025-03-09,Sunday,Cabbage,Hasthampatti(Uzhavar Sandhai ),41.12,2.8
2025-03-10,Monday,Cabbage,Hasthampatti(Uzhavar Sandhai ),41.12,2.79
2025-03-11,Tuesday,Cabbage,Hasthampatti(Uzhavar Sandhai ),41.12,2.8
2025-03-12,Wednesday,Cabbage,Hasthampatti(Uzhavar Sandhai ),41.12,2.8
2025-03-13,Thursday,Cabbage,Hasthampatti(Uzhavar Sandhai ),41.12,2.8
2025-03-07,Friday,Cabbage,Jalagandapuram(Uzhavar Sandhai ),41.5,3.74
2025-03-08,Saturday,Cabbage,Jalagandapuram(Uzhavar Sandhai ),41.5,3.74
2025-03-09,Sunday,Cabbage,Jalagandapuram(Uzhavar Sandhai ),41.5,3.74
2025-03-10,Monday,Cabbage,Jalagandapuram(Uzhavar Sandhai ),41.49,3.72
2025-03-11,Tuesday,Cabbage,Jalagandapuram(Uzhavar Sandhai ),41.49,3.73
2025-03-12,Wednesday,Cabbage,Jalagandapuram(Uzhavar Sandhai ),41.49,3.74
2025-03-13,Thursday,Cabbage,Jalagandapuram(Uzhavar Sandhai ),41.49,3.74
2025-03-07,Friday,Cabbage,Mettur(Uzhavar Sandhai ),36.91,5.46
2025-03-08,Saturday,Cabbage,Mettur(Uzhavar Sandhai ),36.91,5.45
2025-03-09,Sunday,Cabbage,Mettur(Uzhavar Sandhai ),36.91,5.46
2025-03-10,Monday,Cabbage,Mettur(Uzhavar Sandhai ),36.91,5.45
2025-03-11,Tuesday,Cabbage,Mettur(Uzhavar Sandhai ),36.91,5.47
2025-03-12,Wednesday,Cabbage,Mettur(Uzhavar Sandhai ),36.91,5.47
2025-03-13,Thursday,Cabbage,Mettur(Uzhavar Sandhai ),36.91,5.47
2025-03-07,Friday,Cabbage,Sooramangalam(Uzhavar Sandhai ),41.06,2.66
2025-03-08,Saturday,Cabbage,Sooramangalam(Uzhavar Sandhai ),41.06,2.65
2025-03-09,Sunday,Cabbage,Sooramangalam(Uzhavar Sandhai ),41.06,2.65
2025-03-10,Monday,Cabbage,Sooramangalam(Uzhavar Sandhai ),41.06,2.65
2025-03-11,Tuesday,Cabbage,Sooramangalam(Uzhavar Sandhai ),41.06,2.66
2025-03-12,Wednesday,Cabbage,Sooramangalam(Uzhavar Sandhai ),41.06,2.65
2025-03-13,Thursday,Cabbage,Sooramangalam(Uzhavar Sandhai ),41.06,2.66
2025-03-07,Friday,Cabbage,Thammampatti (Uzhavar Sandhai ),22.64,13.18
2025-03-08,Saturday,Cabbage,Thammampatti (Uzhavar Sandhai ),22.63,13.17
2025-03-09,Sunday,Cabbage,Thammampatti (Uzhavar Sandhai ),22.63,13.17
2025-03-10,Monday,Cabbage,Thammampatti (Uzhavar Sandhai ),22.62,13.12
2025-03-11,Tuesday,Cabbage,Thammampatti (Uzhavar Sandhai ),22.63,13.16
2025-03-12,Wednesday,Cabbage,Thammampatti (Uzhavar Sandhai ),22.63,13.16
2025-03-13,Thursday,Cabbage,Thammampatti (Uzhavar Sandhai ),22.63,13.16
2025-03-07,Friday,Cabbage,Thathakapatti(Uzhavar Sandhai ),31.52,5.06
2025-03-08,Saturday,Cabbage,Thathakapatti(Uzhavar Sandhai ),31.52,5.05
2025-03-09,Sunday,Cabbage,Thathakapatti(Uzhavar Sandhai ),31.52,5.05
2025-03-10,Monday,Cabbage,Thathakapatti(Uzhavar Sandhai ),31.52,5.05
2025-03-11,Tuesday,Cabbage,Thathakapatti(Uzhavar Sandhai ),31.52,5.06
2025-03-12,Wednesday,Cabbage,Thathakapatti(Uzhavar Sandhai ),31.52,5.06
2025-03-13,Thursday,Cabbage,Thathakapatti(Uzhavar Sandhai ),31.52,5.05
