Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Capsicum,Ammapet(Uzhavar Sandhai ),50.3,0.59
2025-03-08,Saturday,Capsicum,Ammapet(Uzhavar Sandhai ),50.3,0.6
2025-03-09,Sunday,Capsicum,Ammapet(Uzhavar Sandhai ),50.3,0.59
2025-03-10,Monday,Capsicum,Ammapet(Uzhavar Sandhai ),50.29,0.58
2025-03-11,Tuesday,Capsicum,Ammapet(Uzhavar Sandhai ),50.29,0.58
2025-03-12,Wednesday,Capsicum,Ammapet(Uzhavar Sandhai ),50.3,0.59
2025-03-13,Thursday,Capsicum,Ammapet(Uzhavar Sandhai ),50.3,0.59
2025-03-07,Friday,Capsicum,Athur(Uzhavar Sandhai ),51.22,2.44
2025-03-08,Saturday,Capsicum,Athur(Uzhavar Sandhai ),51.22,2.45
2025-03-09,Sunday,Capsicum,Athur(Uzhavar Sandhai ),51.22,2.44
2025-03-10,Monday,Capsicum,Athur(Uzhavar Sandhai ),51.22,2.44
2025-03-11,Tuesday,Capsicum,Athur(Uzhavar Sandhai ),51.22,2.44
2025-03-12,Wednesday,Capsicum,Athur(Uzhavar Sandhai ),51.22,2.44
2025-03-13,Thursday,Capsicum,Athur(Uzhavar Sandhai ),51.22,2.44
2025-03-07,Friday,Capsicum,Attayampatti(Uzhavar Sandhai ),57.33,2.37
2025-03-08,Saturday,Capsicum,Attayampatti(Uzhavar Sandhai ),57.33,2.37
2025-03-09,Sunday,Capsicum,Attayampatti(Uzhavar Sandhai ),57.33,2.37
2025-03-10,Monday,Capsicum,Attayampatti(Uzhavar Sandhai ),57.31,2.35
2025-03-11,Tuesday,Capsicum,Attayampatti(Uzhavar Sandhai ),57.32,2.36
2025-03-12,Wednesday,Capsicum,Attayampatti(Uzhavar Sandhai ),57.33,2.37
2025-03-13,Thursday,Capsicum,Attayampatti(Uzhavar Sandhai ),57.33,2.37
2025-03-07,Friday,Capsicum,Edapadi (Uzhavar Sandhai ),51.24,2.49
2025-03-08,Saturday,Capsicum,Edapadi (Uzhavar Sandhai ),51.25,2.49
2025-03-09,Sunday,Capsicum,Edapadi (Uzhavar Sandhai ),51.25,2.49
2025-03-10,Monday,Capsicum,Edapadi (Uzhavar Sandhai ),51.24,2.47
2025-03-11,Tuesday,Capsicum,Edapadi (Uzhavar Sandhai ),51.24,2.48
2025-03-12,Wednesday,Capsicum,Edapadi (Uzhavar Sandhai ),51.24,2.49
2025-03-13,Thursday,Capsicum,Edapadi (Uzhavar Sandhai ),51.24,2.49
2025-03-07,Friday,Capsicum,Elampillai(Uzhavar Sandhai ),51.14,2.29
2025-03-08,Saturday,Capsicum,Elampillai(Uzhavar Sandhai ),51.15,2.3
2025-03-09,Sunday,Capsicum,Elampillai(Uzhavar Sandhai ),51.15,2.29
2025-03-10,Monday,Capsicum,Elampillai(Uzhavar Sandhai ),51.14,2.27
2025-03-11,Tuesday,Capsicum,Elampillai(Uzhavar Sandhai ),51.14,2.28
2025-03-12,Wednesday,Capsicum,Elampillai(Uzhavar Sandhai ),51.14,2.29
2025-03-13,Thursday,Capsicum,Elampillai(Uzhavar Sandhai ),51.15,2.29
2025-03-07,Friday,Capsicum,Hasthampatti(Uzhavar Sandhai ),50.15,0.3
2025-03-08,Saturday,Capsicum,Hasthampatti(Uzhavar Sandhai ),50.15,0.3
2025-03-09,Sunday,Capsicum,Hasthampatti(Uzhavar Sandhai ),50.15,0.3
2025-03-10,Monday,Capsicum,Hasthampatti(Uzhavar Sandhai ),50.15,0.29
2025-03-11,Tuesday,Capsicum,Hasthampatti(Uzhavar Sandhai ),50.15,0.29
2025-03-12,Wednesday,Capsicum,Hasthampatti(Uzhavar Sandhai ),50.15,0.3
2025-03-13,Thursday,Capsicum,Hasthampatti(Uzhavar Sandhai ),50.15,0.29
2025-03-07,Friday,Capsicum,Sooramangalam(Uzhavar Sandhai ),49.98,-0.05
2025-03-08,Saturday,Capsicum,Sooramangalam(Uzhavar Sandhai ),49.98,-0.05
2025-03-09,Sunday,Capsicum,Sooramangalam(Uzhavar Sandhai ),49.98,-0.05
2025-03-10,Monday,Capsicum,Sooramangalam(Uzhavar Sandhai ),49.97,-0.05
2025-03-11,Tuesday,Capsicum,Sooramangalam(Uzhavar Sandhai ),49.97,-0.05
2025-03-12,Wednesday,Capsicum,Sooramangalam(Uzhavar Sandhai ),49.98,-0.05
2025-03-13,Thursday,Capsicum,Sooramangalam(Uzhavar Sandhai ),49.98,-0.05
2025-03-07,Friday,Capsicum,Thammampatti (Uzhavar Sandhai ),55.94,3.58
2025-03-08,Saturday,Capsicum,Thammampatti (Uzhavar Sandhai ),55.94,3.59
2025-03-09,Sunday,Capsicum,Thammampatti (Uzhavar Sandhai ),55.94,3.59
2025-03-10,Monday,Capsicum,Thammampatti (Uzhavar Sandhai ),55.93,3.57
2025-03-11,Tuesday,Capsicum,Thammampatti (Uzhavar Sandhai ),55.93,3.58
2025-03-12,Wednesday,Capsicum,Thammampatti (Uzhavar Sandhai ),55.94,3.59
2025-03-13,Thursday,Capsicum,Thammampatti (Uzhavar Sandhai ),55.94,3.59
2025-03-07,Friday,Capsicum,Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-08,Saturday,Capsicum,Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-09,Sunday,Capsicum,Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-10,Monday,Capsicum,Thathakapatti(Uzhavar Sandhai ),50.14,0.27
2025-03-11,Tuesday,Capsicum,Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-12,Wednesday,Capsicum,Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-13,Thursday,Capsicum,Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-07,Friday,Capsicum,Mettur(Uzhavar Sandhai ),51.03,2.06
2025-03-08,Saturday,Capsicum,Mettur(Uzhavar Sandhai ),51.04,2.07
2025-03-09,Sunday,Capsicum,Mettur(Uzhavar Sandhai ),51.03,2.06
2025-03-10,Monday,Capsicum,Mettur(Uzhavar Sandhai ),51.03,2.05
2025-03-11,Tuesday,Capsicum,Mettur(Uzhavar Sandhai ),51.03,2.06
2025-03-12,Wednesday,Capsicum,Mettur(Uzhavar Sandhai ),51.03,2.07
2025-03-13,Thursday,Capsicum,Mettur(Uzhavar Sandhai ),51.03,2.07
2025-03-07,Friday,Capsicum,Jalagandapuram(Uzhavar Sandhai ),51.2,2.39
2025-03-08,Saturday,Capsicum,Jalagandapuram(Uzhavar Sandhai ),51.2,2.39
2025-03-09,Sunday,Capsicum,Jalagandapuram(Uzhavar Sandhai ),51.2,2.39
2025-03-10,Monday,Capsicum,Jalagandapuram(Uzhavar Sandhai ),51.19,2.37
2025-03-11,Tuesday,Capsicum,Jalagandapuram(Uzhavar Sandhai ),51.19,2.38
2025-03-12,Wednesday,Capsicum,Jalagandapuram(Uzhavar Sandhai ),51.19,2.39
2025-03-13,Thursday,Capsicum,Jalagandapuram(Uzhavar Sandhai ),51.19,2.39
