Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Carrot,Ammapet(Uzhavar Sandhai ),70.15,3.17
2025-03-08,Saturday,Carrot,Ammapet(Uzhavar Sandhai ),70.15,3.17
2025-03-09,Sunday,Carrot,Ammapet(Uzhavar Sandhai ),70.15,3.17
2025-03-10,Monday,Carrot,Ammapet(Uzhavar Sandhai ),70.15,3.16
2025-03-11,Tuesday,Carrot,Ammapet(Uzhavar Sandhai ),70.15,3.16
2025-03-12,Wednesday,Carrot,Ammapet(Uzhavar Sandhai ),70.15,3.16
2025-03-13,Thursday,Carrot,Ammapet(Uzhavar Sandhai ),70.15,3.16
2025-03-07,Friday,Carrot,Athur(Uzhavar Sandhai ),66.62,0.94
2025-03-08,Saturday,Carrot,Athur(Uzhavar Sandhai ),66.62,0.94
2025-03-09,Sunday,Carrot,Athur(Uzhavar Sandhai ),66.62,0.94
2025-03-10,Monday,Carrot,Athur(Uzhavar Sandhai ),66.62,0.94
2025-03-11,Tuesday,Carrot,Athur(Uzhavar Sandhai ),66.62,0.93
2025-03-12,Wednesday,Carrot,Athur(Uzhavar Sandhai ),66.62,0.93
2025-03-13,Thursday,Carrot,Athur(Uzhavar Sandhai ),66.62,0.93
2025-03-07,Friday,Carrot,Attayampatti(Uzhavar Sandhai ),60.56,0.94
2025-03-08,Saturday,Carrot,Attayampatti(Uzhavar Sandhai ),60.56,0.94
2025-03-09,Sunday,Carrot,Attayampatti(Uzhavar Sandhai ),60.56,0.94
2025-03-10,Monday,Carrot,Attayampatti(Uzhavar Sandhai ),60.56,0.93
2025-03-11,Tuesday,Carrot,Attayampatti(Uzhavar Sandhai ),60.56,0.94
2025-03-12,Wednesday,Carrot,Attayampatti(Uzhavar Sandhai ),60.56,0.94
2025-03-13,Thursday,Carrot,Attayampatti(Uzhavar Sandhai ),60.56,0.94
2025-03-07,Friday,Carrot,Edapadi (Uzhavar Sandhai ),66.84,1.27
2025-03-08,Saturday,Carrot,Edapadi (Uzhavar Sandhai ),66.84,1.27
2025-03-09,Sunday,Carrot,Edapadi (Uzhavar Sandhai ),66.84,1.27
2025-03-10,Monday,Carrot,Edapadi (Uzhavar Sandhai ),66.84,1.27
2025-03-11,Tuesday,Carrot,Edapadi (Uzhavar Sandhai ),66.84,1.27
2025-03-12,Wednesday,Carrot,Edapadi (Uzhavar Sandhai ),66.83,1.26
2025-03-13,Thursday,Carrot,Edapadi (Uzhavar Sandhai ),66.84,1.27
2025-03-07,Friday,Carrot,Elampillai(Uzhavar Sandhai ),65.66,1.01
2025-03-08,Saturday,Carrot,Elampillai(Uzhavar Sandhai ),65.65,1.01
2025-03-09,Sunday,Carrot,Elampillai(Uzhavar Sandhai ),65.65,1.01
2025-03-10,Monday,Carrot,Elampillai(Uzhavar Sandhai ),65.65,1.0
2025-03-11,Tuesday,Carrot,Elampillai(Uzhavar Sandhai ),65.65,1.0
2025-03-12,Wednesday,Carrot,Elampillai(Uzhavar Sandhai ),65.65,1.0
2025-03-13,Thursday,Carrot,Elampillai(Uzhavar Sandhai ),65.65,1.01
2025-03-07,Friday,Carrot,Hasthampatti(Uzhavar Sandhai ),64.71,-0.44
2025-03-08,Saturday,Carrot,Hasthampatti(Uzhavar Sandhai ),64.71,-0.44
2025-03-09,Sunday,Carrot,Hasthampatti(Uzhavar Sandhai ),64.71,-0.44
2025-03-10,Monday,Carrot,Hasthampatti(Uzhavar Sandhai ),64.71,-0.44
2025-03-11,Tuesday,Carrot,Hasthampatti(Uzhavar Sandhai ),64.71,-0.44
2025-03-12,Wednesday,Carrot,Hasthampatti(Uzhavar Sandhai ),64.71,-0.44
2025-03-13,Thursday,Carrot,Hasthampatti(Uzhavar Sandhai ),64.71,-0.44
2025-03-07,Friday,Carrot,Jalagandapuram(Uzhavar Sandhai ),65.31,2.04
2025-03-08,Saturday,Carrot,Jalagandapuram(Uzhavar Sandhai ),65.31,2.04
2025-03-09,Sunday,Carrot,Jalagandapuram(Uzhavar Sandhai ),65.31,2.04
2025-03-10,Monday,Carrot,Jalagandapuram(Uzhavar Sandhai ),65.3,2.04
2025-03-11,Tuesday,Carrot,Jalagandapuram(Uzhavar Sandhai ),65.31,2.04
2025-03-12,Wednesday,Carrot,Jalagandapuram(Uzhavar Sandhai ),65.3,2.04
2025-03-13,Thursday,Carrot,Jalagandapuram(Uzhavar Sandhai ),65.29,2.02
2025-03-07,Friday,Carrot,Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-08,Saturday,Carrot,Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-09,Sunday,Carrot,Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-10,Monday,Carrot,Mettur(Uzhavar Sandhai ),80.05,0.06
2025-03-11,Tuesday,Carrot,Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-12,Wednesday,Carrot,Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-13,Thursday,Carrot,Mettur(Uzhavar Sandhai ),80.04,0.05
2025-03-07,Friday,Carrot,Sooramangalam(Uzhavar Sandhai ),67.7,-0.45
2025-03-08,Saturday,Carrot,Sooramangalam(Uzhavar Sandhai ),67.69,-0.45
2025-03-09,Sunday,Carrot,Sooramangalam(Uzhavar Sandhai ),67.69,-0.45
2025-03-10,Monday,Carrot,Sooramangalam(Uzhavar Sandhai ),67.7,-0.45
2025-03-11,Tuesday,Carrot,Sooramangalam(Uzhavar Sandhai ),67.69,-0.45
2025-03-12,Wednesday,Carrot,Sooramangalam(Uzhavar Sandhai ),67.69,-0.45
