Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cauliflower,Ammapet(Uzhavar Sandhai ),26.99,7.94
2025-03-08,Saturday,Cauliflower,Ammapet(Uzhavar Sandhai ),26.98,7.93
2025-03-09,Sunday,Cauliflower,Ammapet(Uzhavar Sandhai ),26.98,7.93
2025-03-10,Monday,Cauliflower,Ammapet(Uzhavar Sandhai ),26.98,7.92
2025-03-11,Tuesday,Cauliflower,Ammapet(Uzhavar Sandhai ),26.98,7.93
2025-03-12,Wednesday,Cauliflower,Ammapet(Uzhavar Sandhai ),26.98,7.93
2025-03-13,Thursday,Cauliflower,Ammapet(Uzhavar Sandhai ),26.98,7.92
2025-03-07,Friday,Cauliflower,Athur(Uzhavar Sandhai ),27.2,8.8
2025-03-08,Saturday,Cauliflower,Athur(Uzhavar Sandhai ),27.2,8.78
2025-03-09,Sunday,Cauliflower,Athur(Uzhavar Sandhai ),27.2,8.78
2025-03-10,Monday,Cauliflower,Athur(Uzhavar Sandhai ),27.19,8.78
2025-03-11,Tuesday,Cauliflower,Athur(Uzhavar Sandhai ),27.2,8.78
2025-03-12,Wednesday,Cauliflower,Athur(Uzhavar Sandhai ),27.2,8.78
2025-03-13,Thursday,Cauliflower,Athur(Uzhavar Sandhai ),27.2,8.78
2025-03-07,Friday,Cauliflower,Elampillai(Uzhavar Sandhai ),41.31,3.27
2025-03-08,Saturday,Cauliflower,Elampillai(Uzhavar Sandhai ),41.31,3.27
2025-03-09,Sunday,Cauliflower,Elampillai(Uzhavar Sandhai ),41.31,3.27
2025-03-10,Monday,Cauliflower,Elampillai(Uzhavar Sandhai ),41.3,3.26
2025-03-11,Tuesday,Cauliflower,Elampillai(Uzhavar Sandhai ),41.31,3.27
2025-03-12,Wednesday,Cauliflower,Elampillai(Uzhavar Sandhai ),41.31,3.27
2025-03-13,Thursday,Cauliflower,Elampillai(Uzhavar Sandhai ),41.31,3.27
2025-03-07,Friday,Cauliflower,Hasthampatti(Uzhavar Sandhai ),26.78,7.13
2025-03-08,Saturday,Cauliflower,Hasthampatti(Uzhavar Sandhai ),26.78,7.12
2025-03-09,Sunday,Cauliflower,Hasthampatti(Uzhavar Sandhai ),26.78,7.12
2025-03-10,Monday,Cauliflower,Hasthampatti(Uzhavar Sandhai ),26.78,7.11
2025-03-11,Tuesday,Cauliflower,Hasthampatti(Uzhavar Sandhai ),26.78,7.12
2025-03-12,Wednesday,Cauliflower,Hasthampatti(Uzhavar Sandhai ),26.78,7.12
2025-03-13,Thursday,Cauliflower,Hasthampatti(Uzhavar Sandhai ),26.78,7.11
2025-03-07,Friday,Cauliflower,Mettur(Uzhavar Sandhai ),32.08,6.92
2025-03-08,Saturday,Cauliflower,Mettur(Uzhavar Sandhai ),32.07,6.91
2025-03-09,Sunday,Cauliflower,Mettur(Uzhavar Sandhai ),32.08,6.92
2025-03-10,Monday,Cauliflower,Mettur(Uzhavar Sandhai ),32.07,6.91
2025-03-11,Tuesday,Cauliflower,Mettur(Uzhavar Sandhai ),32.08,6.92
2025-03-12,Wednesday,Cauliflower,Mettur(Uzhavar Sandhai ),32.08,6.92
2025-03-13,Thursday,Cauliflower,Mettur(Uzhavar Sandhai ),32.07,6.91
2025-03-07,Friday,Cauliflower,Sooramangalam(Uzhavar Sandhai ),26.73,6.91
2025-03-08,Saturday,Cauliflower,Sooramangalam(Uzhavar Sandhai ),26.73,6.9
2025-03-09,Sunday,Cauliflower,Sooramangalam(Uzhavar Sandhai ),26.73,6.9
2025-03-10,Monday,Cauliflower,Sooramangalam(Uzhavar Sandhai ),26.72,6.9
2025-03-11,Tuesday,Cauliflower,Sooramangalam(Uzhavar Sandhai ),26.73,6.9
2025-03-12,Wednesday,Cauliflower,Sooramangalam(Uzhavar Sandhai ),26.73,6.9
2025-03-13,Thursday,Cauliflower,Sooramangalam(Uzhavar Sandhai ),26.72,6.89
2025-03-07,Friday,Cauliflower,Thammampatti (Uzhavar Sandhai ),26.99,7.96
2025-03-08,Saturday,Cauliflower,Thammampatti (Uzhavar Sandhai ),26.99,7.96
2025-03-09,Sunday,Cauliflower,Thammampatti (Uzhavar Sandhai ),26.99,7.96
2025-03-10,Monday,Cauliflower,Thammampatti (Uzhavar Sandhai ),26.98,7.93
2025-03-11,Tuesday,Cauliflower,Thammampatti (Uzhavar Sandhai ),26.99,7.95
2025-03-12,Wednesday,Cauliflower,Thammampatti (Uzhavar Sandhai ),26.99,7.96
2025-03-13,Thursday,Cauliflower,Thammampatti (Uzhavar Sandhai ),26.99,7.96
2025-03-07,Friday,Cauliflower,Thathakapatti(Uzhavar Sandhai ),26.9,7.62
2025-03-08,Saturday,Cauliflower,Thathakapatti(Uzhavar Sandhai ),26.9,7.61
2025-03-09,Sunday,Cauliflower,Thathakapatti(Uzhavar Sandhai ),26.9,7.61
2025-03-10,Monday,Cauliflower,Thathakapatti(Uzhavar Sandhai ),26.9,7.6
2025-03-11,Tuesday,Cauliflower,Thathakapatti(Uzhavar Sandhai ),26.9,7.61
2025-03-12,Wednesday,Cauliflower,Thathakapatti(Uzhavar Sandhai ),26.9,7.61
2025-03-13,Thursday,Cauliflower,Thathakapatti(Uzhavar Sandhai ),26.9,7.59
2025-03-07,Friday,Cauliflower,Attayampatti(Uzhavar Sandhai ),27.69,10.75
2025-03-08,Saturday,Cauliflower,Attayampatti(Uzhavar Sandhai ),27.69,10.74
2025-03-09,Sunday,Cauliflower,Attayampatti(Uzhavar Sandhai ),27.69,10.74
2025-03-10,Monday,Cauliflower,Attayampatti(Uzhavar Sandhai ),27.68,10.72
2025-03-11,Tuesday,Cauliflower,Attayampatti(Uzhavar Sandhai ),27.68,10.73
2025-03-12,Wednesday,Cauliflower,Attayampatti(Uzhavar Sandhai ),27.68,10.74
2025-03-13,Thursday,Cauliflower,Attayampatti(Uzhavar Sandhai ),27.68,10.74
2025-03-07,Friday,Cauliflower,Edapadi (Uzhavar Sandhai ),31.18,11.35
2025-03-08,Saturday,Cauliflower,Edapadi (Uzhavar Sandhai ),31.18,11.34
2025-03-09,Sunday,Cauliflower,Edapadi (Uzhavar Sandhai ),31.18,11.34
2025-03-10,Monday,Cauliflower,Edapadi (Uzhavar Sandhai ),31.17,11.33
2025-03-11,Tuesday,Cauliflower,Edapadi (Uzhavar Sandhai ),31.18,11.34
2025-03-12,Wednesday,Cauliflower,Edapadi (Uzhavar Sandhai ),31.18,11.35
2025-03-13,Thursday,Cauliflower,Edapadi (Uzhavar Sandhai ),31.18,11.35
2025-03-07,Friday,Cauliflower,Jalagandapuram(Uzhavar Sandhai ),28.76,15.05
2025-03-08,Saturday,Cauliflower,Jalagandapuram(Uzhavar Sandhai ),28.76,15.04
2025-03-09,Sunday,Cauliflower,Jalagandapuram(Uzhavar Sandhai ),28.76,15.04
2025-03-10,Monday,Cauliflower,Jalagandapuram(Uzhavar Sandhai ),28.76,15.03
2025-03-11,Tuesday,Cauliflower,Jalagandapuram(Uzhavar Sandhai ),28.76,15.04
2025-03-12,Wednesday,Cauliflower,Jalagandapuram(Uzhavar Sandhai ),28.76,15.04
2025-03-13,Thursday,Cauliflower,Jalagandapuram(Uzhavar Sandhai ),28.76,15.04
