Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),46.49,3.3
2025-03-08,Saturday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),46.48,3.3
2025-03-09,Sunday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),46.48,3.3
2025-03-10,Monday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),46.47,3.28
2025-03-11,Tuesday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),46.48,3.28
2025-03-12,Wednesday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),46.48,3.29
2025-03-13,Thursday,Chikoos(Sapota),Ammapet(Uzhavar Sandhai ),46.48,3.29
2025-03-07,Friday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),41.71,4.26
2025-03-08,Saturday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),41.71,4.26
2025-03-09,Sunday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),41.71,4.26
2025-03-10,Monday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),41.7,4.26
2025-03-11,Tuesday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),41.7,4.26
2025-03-12,Wednesday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),41.7,4.26
2025-03-13,Thursday,Chikoos(Sapota),Athur(Uzhavar Sandhai ),41.71,4.26
2025-03-07,Friday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),41.7,4.24
2025-03-08,Saturday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),41.7,4.25
2025-03-09,Sunday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),41.7,4.25
2025-03-10,Monday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),41.69,4.23
2025-03-11,Tuesday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),41.7,4.24
2025-03-12,Wednesday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),41.7,4.25
2025-03-13,Thursday,Chikoos(Sapota),Edapadi (Uzhavar Sandhai ),41.7,4.25
2025-03-07,Friday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),50.24,0.49
2025-03-08,Saturday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),50.24,0.48
2025-03-09,Sunday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),50.24,0.48
2025-03-10,Monday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),50.24,0.47
2025-03-11,Tuesday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),50.24,0.48
2025-03-12,Wednesday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),50.24,0.48
2025-03-13,Thursday,Chikoos(Sapota),Hasthampatti(Uzhavar Sandhai ),50.24,0.48
2025-03-07,Friday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),36.94,5.54
2025-03-08,Saturday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),36.94,5.54
2025-03-09,Sunday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),36.94,5.54
2025-03-10,Monday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),36.93,5.51
2025-03-11,Tuesday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),36.93,5.53
2025-03-12,Wednesday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),36.94,5.53
2025-03-13,Thursday,Chikoos(Sapota),Jalagandapuram(Uzhavar Sandhai ),36.94,5.53
2025-03-07,Friday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),41.88,4.69
2025-03-08,Saturday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),41.88,4.69
2025-03-09,Sunday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),41.88,4.69
2025-03-10,Monday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),41.87,4.68
2025-03-11,Tuesday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),41.88,4.69
2025-03-12,Wednesday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),41.88,4.7
2025-03-13,Thursday,Chikoos(Sapota),Mettur(Uzhavar Sandhai ),41.88,4.7
2025-03-07,Friday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),50.13,0.26
2025-03-08,Saturday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),50.13,0.26
2025-03-09,Sunday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),50.13,0.25
2025-03-10,Monday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),50.13,0.25
2025-03-11,Tuesday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),50.13,0.25
2025-03-12,Wednesday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),50.13,0.26
2025-03-13,Thursday,Chikoos(Sapota),Sooramangalam(Uzhavar Sandhai ),50.13,0.26
2025-03-07,Friday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),41.03,2.58
2025-03-08,Saturday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),41.03,2.57
2025-03-09,Sunday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),41.03,2.57
2025-03-10,Monday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),41.03,2.57
2025-03-11,Tuesday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),41.03,2.57
2025-03-12,Wednesday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),41.03,2.57
2025-03-13,Thursday,Chikoos(Sapota),Thathakapatti(Uzhavar Sandhai ),41.03,2.57
2025-03-07,Friday,Chikoos(Sapota),Elampillai(Uzhavar Sandhai ),36.8,5.15
2025-03-08,Saturday,Chikoos(Sapota),Elampillai(Uzhavar Sandhai ),36.8,5.15
2025-03-09,Sunday,Chikoos(Sapota),Elampillai(Uzhavar Sandhai ),36.8,5.15
2025-03-10,Monday,Chikoos(Sapota),Elampillai(Uzhavar Sandhai ),36.8,5.13
2025-03-11,Tuesday,Chikoos(Sapota),Elampillai(Uzhavar Sandhai ),36.8,5.15
2025-03-12,Wednesday,Chikoos(Sapota),Elampillai(Uzhavar Sandhai ),36.8,5.15
2025-03-13,Thursday,Chikoos(Sapota),Elampillai(Uzhavar Sandhai ),36.8,5.15
2025-03-07,Friday,Chikoos(Sapota),Thammampatti (Uzhavar Sandhai ),41.54,3.86
