Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Coconut,Ammapet(Uzhavar Sandhai ),70.06,0.08
2025-03-08,Saturday,Coconut,Ammapet(Uzhavar Sandhai ),70.06,0.08
2025-03-09,Sunday,Coconut,Ammapet(Uzhavar Sandhai ),70.06,0.08
2025-03-10,Monday,Coconut,Ammapet(Uzhavar Sandhai ),70.05,0.08
2025-03-11,Tuesday,Coconut,Ammapet(Uzhavar Sandhai ),70.05,0.08
2025-03-12,Wednesday,Coconut,Ammapet(Uzhavar Sandhai ),70.06,0.08
2025-03-13,Thursday,Coconut,Ammapet(Uzhavar Sandhai ),70.05,0.08
2025-03-07,Friday,Coconut,Athur(Uzhavar Sandhai ),65.48,0.73
2025-03-08,Saturday,Coconut,Athur(Uzhavar Sandhai ),65.48,0.73
2025-03-09,Sunday,Coconut,Athur(Uzhavar Sandhai ),65.48,0.73
2025-03-10,Monday,Coconut,Athur(Uzhavar Sandhai ),65.47,0.73
2025-03-11,Tuesday,Coconut,Athur(Uzhavar Sandhai ),65.47,0.73
2025-03-12,Wednesday,Coconut,Athur(Uzhavar Sandhai ),65.47,0.73
2025-03-13,Thursday,Coconut,Athur(Uzhavar Sandhai ),65.48,0.73
2025-03-07,Friday,Coconut,Attayampatti(Uzhavar Sandhai ),69.94,-0.08
2025-03-08,Saturday,Coconut,Attayampatti(Uzhavar Sandhai ),69.94,-0.08
2025-03-09,Sunday,Coconut,Attayampatti(Uzhavar Sandhai ),69.94,-0.08
2025-03-10,Monday,Coconut,Attayampatti(Uzhavar Sandhai ),69.94,-0.09
2025-03-11,Tuesday,Coconut,Attayampatti(Uzhavar Sandhai ),69.94,-0.08
2025-03-12,Wednesday,Coconut,Attayampatti(Uzhavar Sandhai ),69.94,-0.08
2025-03-13,Thursday,Coconut,Attayampatti(Uzhavar Sandhai ),69.94,-0.08
2025-03-07,Friday,Coconut,Edapadi (Uzhavar Sandhai ),70.09,0.13
2025-03-08,Saturday,Coconut,Edapadi (Uzhavar Sandhai ),70.09,0.12
2025-03-09,Sunday,Coconut,Edapadi (Uzhavar Sandhai ),70.09,0.12
2025-03-10,Monday,Coconut,Edapadi (Uzhavar Sandhai ),70.09,0.12
2025-03-11,Tuesday,Coconut,Edapadi (Uzhavar Sandhai ),70.09,0.13
2025-03-12,Wednesday,Coconut,Edapadi (Uzhavar Sandhai ),70.09,0.13
2025-03-13,Thursday,Coconut,Edapadi (Uzhavar Sandhai ),70.09,0.13
