Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Colacasia,Mettur(Uzhavar Sandhai ),40.95,2.38
2025-03-08,Saturday,Colacasia,Mettur(Uzhavar Sandhai ),40.95,2.38
2025-03-09,Sunday,Colacasia,Mettur(Uzhavar Sandhai ),40.95,2.38
2025-03-10,Monday,Colacasia,Mettur(Uzhavar Sandhai ),40.95,2.37
2025-03-11,Tuesday,Colacasia,Mettur(Uzhavar Sandhai ),40.95,2.38
2025-03-12,Wednesday,Colacasia,Mettur(Uzhavar Sandhai ),40.95,2.37
2025-03-13,Thursday,Colacasia,Mettur(Uzhavar Sandhai ),40.95,2.37
2025-03-07,Friday,Colacasia,Sooramangalam(Uzhavar Sandhai ),89.8,-0.22
2025-03-08,Saturday,Colacasia,Sooramangalam(Uzhavar Sandhai ),89.8,-0.22
2025-03-09,Sunday,Colacasia,Sooramangalam(Uzhavar Sandhai ),89.8,-0.22
2025-03-10,Monday,Colacasia,Sooramangalam(Uzhavar Sandhai ),89.8,-0.22
2025-03-11,Tuesday,Colacasia,Sooramangalam(Uzhavar Sandhai ),89.8,-0.23
2025-03-12,Wednesday,Colacasia,Sooramangalam(Uzhavar Sandhai ),89.8,-0.23
2025-03-13,Thursday,Colacasia,Sooramangalam(Uzhavar Sandhai ),89.8,-0.23
2025-03-07,Friday,Colacasia,Hasthampatti(Uzhavar Sandhai ),80.0,-0.0
2025-03-08,Saturday,Colacasia,Hasthampatti(Uzhavar Sandhai ),80.0,-0.0
2025-03-09,Sunday,Colacasia,Hasthampatti(Uzhavar Sandhai ),80.0,-0.0
2025-03-10,Monday,Colacasia,Hasthampatti(Uzhavar Sandhai ),79.99,-0.01
2025-03-11,Tuesday,Colacasia,Hasthampatti(Uzhavar Sandhai ),80.0,-0.01
2025-03-12,Wednesday,Colacasia,Hasthampatti(Uzhavar Sandhai ),80.0,-0.0
2025-03-13,Thursday,Colacasia,Hasthampatti(Uzhavar Sandhai ),80.0,-0.0
2025-03-07,Friday,Colacasia,Thathakapatti(Uzhavar Sandhai ),80.21,0.26
2025-03-08,Saturday,Colacasia,Thathakapatti(Uzhavar Sandhai ),80.21,0.26
2025-03-09,Sunday,Colacasia,Thathakapatti(Uzhavar Sandhai ),80.21,0.26
2025-03-10,Monday,Colacasia,Thathakapatti(Uzhavar Sandhai ),80.21,0.26
2025-03-11,Tuesday,Colacasia,Thathakapatti(Uzhavar Sandhai ),80.21,0.26
2025-03-12,Wednesday,Colacasia,Thathakapatti(Uzhavar Sandhai ),80.21,0.26
2025-03-13,Thursday,Colacasia,Thathakapatti(Uzhavar Sandhai ),80.21,0.26
