Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),49.88,3.92
2025-03-08,Saturday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),49.88,3.91
2025-03-09,Sunday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),49.88,3.91
2025-03-10,Monday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),49.87,3.9
2025-03-11,Tuesday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),49.88,3.91
2025-03-12,Wednesday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),49.88,3.91
2025-03-13,Thursday,Coriander(Leaves),Ammapet(Uzhavar Sandhai ),49.88,3.91
2025-03-07,Friday,Coriander(Leaves),Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-08,Saturday,Coriander(Leaves),Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-09,Sunday,Coriander(Leaves),Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-10,Monday,Coriander(Leaves),Athur(Uzhavar Sandhai ),41.36,3.4
2025-03-11,Tuesday,Coriander(Leaves),Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-12,Wednesday,Coriander(Leaves),Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-13,Thursday,Coriander(Leaves),Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-07,Friday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),60.37,0.61
2025-03-08,Saturday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),60.37,0.61
2025-03-09,Sunday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),60.37,0.61
2025-03-10,Monday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),60.36,0.6
2025-03-11,Tuesday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),60.37,0.61
2025-03-12,Wednesday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),60.36,0.61
2025-03-13,Thursday,Coriander(Leaves),Attayampatti(Uzhavar Sandhai ),60.36,0.61
2025-03-07,Friday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),27.09,8.34
2025-03-08,Saturday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),27.08,8.34
2025-03-09,Sunday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),27.08,8.34
2025-03-10,Monday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),27.08,8.31
2025-03-11,Tuesday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),27.08,8.34
2025-03-12,Wednesday,Coriander(Leaves),Edapadi (Uzhavar Sandhai ),27.08,8.34
