Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),50.9,1.81
2025-03-08,Saturday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),50.9,1.8
2025-03-09,Sunday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),50.9,1.8
2025-03-10,Monday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),50.9,1.79
2025-03-11,Tuesday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),50.9,1.8
2025-03-12,Wednesday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),50.9,1.8
2025-03-13,Thursday,Cowpea(Veg),Elampillai(Uzhavar Sandhai ),50.9,1.8
2025-03-07,Friday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),45.14,0.3
2025-03-08,Saturday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),45.13,0.3
2025-03-09,Sunday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),45.13,0.3
2025-03-10,Monday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),45.13,0.3
2025-03-11,Tuesday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),45.13,0.3
2025-03-12,Wednesday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),45.13,0.3
2025-03-13,Thursday,Cowpea(Veg),Hasthampatti(Uzhavar Sandhai ),45.13,0.3
2025-03-07,Friday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),46.18,2.61
2025-03-08,Saturday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),46.18,2.61
2025-03-09,Sunday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),46.18,2.61
2025-03-10,Monday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),46.17,2.6
2025-03-11,Tuesday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),46.17,2.61
2025-03-12,Wednesday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),46.17,2.61
2025-03-13,Thursday,Cowpea(Veg),Jalagandapuram(Uzhavar Sandhai ),46.17,2.61
2025-03-07,Friday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),50.87,1.74
2025-03-08,Saturday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),50.87,1.74
2025-03-09,Sunday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),50.87,1.74
2025-03-10,Monday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),50.87,1.73
2025-03-11,Tuesday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),50.87,1.74
2025-03-12,Wednesday,Cowpea(Veg),Mettur(Uzhavar Sandhai ),50.87,1.74
