Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),80.35,0.43
2025-03-08,Saturday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),80.35,0.43
2025-03-09,Sunday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),80.35,0.43
2025-03-10,Monday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),80.34,0.43
2025-03-11,Tuesday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),80.34,0.43
2025-03-12,Wednesday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),80.34,0.43
2025-03-13,Thursday,Custard Apple (Sharifa),Ammapet(Uzhavar Sandhai ),80.34,0.43
2025-03-07,Friday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),41.5,3.75
2025-03-08,Saturday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),41.5,3.74
2025-03-09,Sunday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),41.5,3.74
2025-03-10,Monday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),41.49,3.73
2025-03-11,Tuesday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),41.5,3.74
2025-03-12,Wednesday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),41.49,3.74
2025-03-13,Thursday,Custard Apple (Sharifa),Athur(Uzhavar Sandhai ),41.5,3.74
2025-03-07,Friday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),41.63,4.07
2025-03-08,Saturday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),41.63,4.06
2025-03-09,Sunday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),41.63,4.06
2025-03-10,Monday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),41.62,4.06
2025-03-11,Tuesday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),41.63,4.07
2025-03-12,Wednesday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),41.63,4.06
2025-03-13,Thursday,Custard Apple (Sharifa),Mettur(Uzhavar Sandhai ),41.62,4.06
2025-03-07,Friday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),36.55,4.44
2025-03-08,Saturday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),36.55,4.43
2025-03-09,Sunday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),36.55,4.42
2025-03-10,Monday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),36.54,4.4
2025-03-11,Tuesday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),36.55,4.42
2025-03-12,Wednesday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),36.55,4.42
2025-03-13,Thursday,Custard Apple (Sharifa),Thammampatti (Uzhavar Sandhai ),36.55,4.41
2025-03-07,Friday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),45.57,1.26
2025-03-08,Saturday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),45.57,1.26
2025-03-09,Sunday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),45.56,1.26
2025-03-10,Monday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),45.56,1.25
2025-03-11,Tuesday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),45.57,1.26
2025-03-12,Wednesday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),45.56,1.26
2025-03-13,Thursday,Custard Apple (Sharifa),Jalagandapuram(Uzhavar Sandhai ),45.56,1.25
2025-03-07,Friday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),35.75,2.14
2025-03-08,Saturday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),35.75,2.13
2025-03-09,Sunday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),35.74,2.13
2025-03-10,Monday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),35.74,2.12
2025-03-11,Tuesday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),35.74,2.12
2025-03-12,Wednesday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),35.74,2.12
2025-03-13,Thursday,Custard Apple (Sharifa),Sooramangalam(Uzhavar Sandhai ),35.74,2.11
2025-03-07,Friday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),50.14,0.29
2025-03-08,Saturday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-09,Sunday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-10,Monday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-11,Tuesday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-12,Wednesday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-13,Thursday,Custard Apple (Sharifa),Thathakapatti(Uzhavar Sandhai ),50.14,0.28
2025-03-07,Friday,Custard Apple (Sharifa),Hasthampatti(Uzhavar Sandhai ),40.64,1.6
2025-03-08,Saturday,Custard Apple (Sharifa),Hasthampatti(Uzhavar Sandhai ),40.64,1.59
2025-03-09,Sunday,Custard Apple (Sharifa),Hasthampatti(Uzhavar Sandhai ),40.64,1.59
2025-03-10,Monday,Custard Apple (Sharifa),Hasthampatti(Uzhavar Sandhai ),40.64,1.59
2025-03-11,Tuesday,Custard Apple (Sharifa),Hasthampatti(Uzhavar Sandhai ),40.63,1.59
2025-03-12,Wednesday,Custard Apple (Sharifa),Hasthampatti(Uzhavar Sandhai ),40.63,1.59
2025-03-13,Thursday,Custard Apple (Sharifa),Hasthampatti(Uzhavar Sandhai ),40.63,1.58
