Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Drumstick,Attayampatti(Uzhavar Sandhai ),100.02,0.02
2025-03-08,Saturday,Drumstick,Attayampatti(Uzhavar Sandhai ),100.02,0.02
2025-03-09,Sunday,Drumstick,Attayampatti(Uzhavar Sandhai ),100.01,0.01
2025-03-10,Monday,Drumstick,Attayampatti(Uzhavar Sandhai ),100.01,0.01
2025-03-11,Tuesday,Drumstick,Attayampatti(Uzhavar Sandhai ),100.02,0.02
2025-03-12,Wednesday,Drumstick,Attayampatti(Uzhavar Sandhai ),100.02,0.02
2025-03-13,Thursday,Drumstick,Attayampatti(Uzhavar Sandhai ),100.02,0.02
2025-03-07,Friday,Drumstick,Ammapet(Uzhavar Sandhai ),99.98,-0.02
2025-03-08,Saturday,Drumstick,Ammapet(Uzhavar Sandhai ),99.98,-0.02
2025-03-09,Sunday,Drumstick,Ammapet(Uzhavar Sandhai ),99.98,-0.02
2025-03-10,Monday,Drumstick,Ammapet(Uzhavar Sandhai ),99.98,-0.02
2025-03-11,Tuesday,Drumstick,Ammapet(Uzhavar Sandhai ),99.98,-0.02
2025-03-12,Wednesday,Drumstick,Ammapet(Uzhavar Sandhai ),99.98,-0.02
2025-03-13,Thursday,Drumstick,Ammapet(Uzhavar Sandhai ),99.98,-0.02
2025-03-07,Friday,Drumstick,Athur(Uzhavar Sandhai ),81.2,1.49
2025-03-08,Saturday,Drumstick,Athur(Uzhavar Sandhai ),81.19,1.49
2025-03-09,Sunday,Drumstick,Athur(Uzhavar Sandhai ),81.19,1.49
2025-03-10,Monday,Drumstick,Athur(Uzhavar Sandhai ),81.19,1.49
2025-03-11,Tuesday,Drumstick,Athur(Uzhavar Sandhai ),81.2,1.49
2025-03-12,Wednesday,Drumstick,Athur(Uzhavar Sandhai ),81.19,1.49
2025-03-13,Thursday,Drumstick,Athur(Uzhavar Sandhai ),81.19,1.49
2025-03-07,Friday,Drumstick,Edapadi (Uzhavar Sandhai ),100.04,0.04
2025-03-08,Saturday,Drumstick,Edapadi (Uzhavar Sandhai ),100.04,0.04
2025-03-09,Sunday,Drumstick,Edapadi (Uzhavar Sandhai ),100.04,0.04
2025-03-10,Monday,Drumstick,Edapadi (Uzhavar Sandhai ),100.04,0.04
2025-03-11,Tuesday,Drumstick,Edapadi (Uzhavar Sandhai ),100.04,0.04
2025-03-12,Wednesday,Drumstick,Edapadi (Uzhavar Sandhai ),100.04,0.04
2025-03-13,Thursday,Drumstick,Edapadi (Uzhavar Sandhai ),100.04,0.04
2025-03-07,Friday,Drumstick,Elampillai(Uzhavar Sandhai ),100.03,0.03
2025-03-08,Saturday,Drumstick,Elampillai(Uzhavar Sandhai ),100.03,0.03
2025-03-09,Sunday,Drumstick,Elampillai(Uzhavar Sandhai ),100.03,0.03
2025-03-10,Monday,Drumstick,Elampillai(Uzhavar Sandhai ),100.03,0.03
2025-03-11,Tuesday,Drumstick,Elampillai(Uzhavar Sandhai ),100.03,0.03
2025-03-12,Wednesday,Drumstick,Elampillai(Uzhavar Sandhai ),100.03,0.03
