Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),50.14,0.29
2025-03-08,Saturday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),50.14,0.29
2025-03-09,Sunday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),50.14,0.28
2025-03-10,Monday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),50.14,0.28
2025-03-11,Tuesday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),50.14,0.29
2025-03-12,Wednesday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),50.14,0.29
2025-03-13,Thursday,Elephant Yam (Suran),Ammapet(Uzhavar Sandhai ),50.14,0.29
2025-03-07,Friday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),50.94,1.88
2025-03-08,Saturday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),50.94,1.87
2025-03-09,Sunday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),50.94,1.87
2025-03-10,Monday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),50.93,1.87
2025-03-11,Tuesday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),50.94,1.87
2025-03-12,Wednesday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),50.94,1.87
2025-03-13,Thursday,Elephant Yam (Suran),Athur(Uzhavar Sandhai ),50.94,1.87
2025-03-07,Friday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),50.95,1.9
2025-03-08,Saturday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),50.95,1.89
2025-03-09,Sunday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),50.95,1.9
2025-03-10,Monday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),50.94,1.88
2025-03-11,Tuesday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),50.95,1.9
2025-03-12,Wednesday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),50.95,1.9
2025-03-13,Thursday,Elephant Yam (Suran),Edapadi (Uzhavar Sandhai ),50.95,1.9
2025-03-07,Friday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),50.02,0.05
2025-03-08,Saturday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),50.02,0.04
2025-03-09,Sunday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),50.02,0.04
2025-03-10,Monday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),50.02,0.04
2025-03-11,Tuesday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),50.02,0.05
2025-03-12,Wednesday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),50.02,0.05
2025-03-13,Thursday,Elephant Yam (Suran),Hasthampatti(Uzhavar Sandhai ),50.02,0.05
2025-03-07,Friday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),50.99,1.98
2025-03-08,Saturday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),50.99,1.98
2025-03-09,Sunday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),50.99,1.98
2025-03-10,Monday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),50.98,1.97
2025-03-11,Tuesday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),50.99,1.98
2025-03-12,Wednesday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),50.99,1.98
2025-03-13,Thursday,Elephant Yam (Suran),Jalagandapuram(Uzhavar Sandhai ),50.99,1.98
2025-03-07,Friday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),50.76,1.53
2025-03-08,Saturday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),50.76,1.53
2025-03-09,Sunday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),50.77,1.53
2025-03-10,Monday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),50.76,1.53
2025-03-11,Tuesday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),50.77,1.53
2025-03-12,Wednesday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),50.77,1.53
2025-03-13,Thursday,Elephant Yam (Suran),Mettur(Uzhavar Sandhai ),50.77,1.53
2025-03-07,Friday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-08,Saturday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-09,Sunday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-10,Monday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-11,Tuesday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-12,Wednesday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-13,Thursday,Elephant Yam (Suran),Sooramangalam(Uzhavar Sandhai ),49.93,-0.15
2025-03-07,Friday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),41.09,2.71
2025-03-08,Saturday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),41.09,2.71
2025-03-09,Sunday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),41.09,2.71
2025-03-10,Monday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),41.08,2.7
2025-03-11,Tuesday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),41.09,2.71
2025-03-12,Wednesday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),41.09,2.71
2025-03-13,Thursday,Elephant Yam (Suran),Thammampatti (Uzhavar Sandhai ),41.08,2.71
2025-03-07,Friday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),50.02,0.03
2025-03-08,Saturday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),50.01,0.03
2025-03-09,Sunday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),50.01,0.03
2025-03-10,Monday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),50.01,0.03
2025-03-11,Tuesday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),50.02,0.03
2025-03-12,Wednesday,Elephant Yam (Suran),Thathakapatti(Uzhavar Sandhai ),50.01,0.03
