Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),79.79,-0.27
2025-03-08,Saturday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),79.79,-0.27
2025-03-09,Sunday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),79.79,-0.27
2025-03-10,Monday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),79.78,-0.27
2025-03-11,Tuesday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),79.79,-0.27
2025-03-12,Wednesday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),79.79,-0.27
2025-03-13,Thursday,Fig(Anjura/Anjeer),Thammampatti (Uzhavar Sandhai ),79.79,-0.27
2025-03-07,Friday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),99.99,-0.01
2025-03-08,Saturday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),99.99,-0.01
2025-03-09,Sunday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),99.99,-0.01
2025-03-10,Monday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),99.99,-0.01
2025-03-11,Tuesday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),99.99,-0.01
2025-03-12,Wednesday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),99.99,-0.01
2025-03-13,Thursday,Fig(Anjura/Anjeer),Athur(Uzhavar Sandhai ),99.99,-0.01
