Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Garlic,Elampillai(Uzhavar Sandhai ),100.06,0.06
2025-03-08,Saturday,Garlic,Elampillai(Uzhavar Sandhai ),100.06,0.06
2025-03-09,Sunday,Garlic,Elampillai(Uzhavar Sandhai ),100.06,0.06
2025-03-10,Monday,Garlic,Elampillai(Uzhavar Sandhai ),100.05,0.05
2025-03-11,Tuesday,Garlic,Elampillai(Uzhavar Sandhai ),100.05,0.05
2025-03-12,Wednesday,Garlic,Elampillai(Uzhavar Sandhai ),100.05,0.05
2025-03-13,Thursday,Garlic,Elampillai(Uzhavar Sandhai ),100.05,0.05
2025-03-07,Friday,Garlic,Attayampatti(Uzhavar Sandhai ),99.95,-0.05
2025-03-08,Saturday,Garlic,Attayampatti(Uzhavar Sandhai ),99.95,-0.05
2025-03-09,Sunday,Garlic,Attayampatti(Uzhavar Sandhai ),99.95,-0.05
2025-03-10,Monday,Garlic,Attayampatti(Uzhavar Sandhai ),99.95,-0.05
2025-03-11,Tuesday,Garlic,Attayampatti(Uzhavar Sandhai ),99.95,-0.05
2025-03-12,Wednesday,Garlic,Attayampatti(Uzhavar Sandhai ),99.95,-0.05
2025-03-13,Thursday,Garlic,Attayampatti(Uzhavar Sandhai ),99.95,-0.05
