Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Ginger(Green),Ammapet(Uzhavar Sandhai ),60.39,0.65
2025-03-08,Saturday,Ginger(Green),Ammapet(Uzhavar Sandhai ),60.39,0.65
2025-03-09,Sunday,Ginger(Green),Ammapet(Uzhavar Sandhai ),60.39,0.65
2025-03-10,Monday,Ginger(Green),Ammapet(Uzhavar Sandhai ),60.38,0.64
2025-03-11,Tuesday,Ginger(Green),Ammapet(Uzhavar Sandhai ),60.39,0.65
2025-03-12,Wednesday,Ginger(Green),Ammapet(Uzhavar Sandhai ),60.39,0.65
2025-03-13,Thursday,Ginger(Green),Ammapet(Uzhavar Sandhai ),60.39,0.65
2025-03-07,Friday,Ginger(Green),Athur(Uzhavar Sandhai ),61.14,1.9
2025-03-08,Saturday,Ginger(Green),Athur(Uzhavar Sandhai ),61.15,1.91
2025-03-09,Sunday,Ginger(Green),Athur(Uzhavar Sandhai ),61.14,1.91
2025-03-10,Monday,Ginger(Green),Athur(Uzhavar Sandhai ),61.14,1.9
2025-03-11,Tuesday,Ginger(Green),Athur(Uzhavar Sandhai ),61.15,1.91
2025-03-12,Wednesday,Ginger(Green),Athur(Uzhavar Sandhai ),61.15,1.91
2025-03-13,Thursday,Ginger(Green),Athur(Uzhavar Sandhai ),61.15,1.91
2025-03-07,Friday,Ginger(Green),Attayampatti(Uzhavar Sandhai ),61.04,1.73
2025-03-08,Saturday,Ginger(Green),Attayampatti(Uzhavar Sandhai ),61.04,1.73
2025-03-09,Sunday,Ginger(Green),Attayampatti(Uzhavar Sandhai ),61.04,1.73
2025-03-10,Monday,Ginger(Green),Attayampatti(Uzhavar Sandhai ),61.03,1.72
2025-03-11,Tuesday,Ginger(Green),Attayampatti(Uzhavar Sandhai ),61.04,1.73
2025-03-12,Wednesday,Ginger(Green),Attayampatti(Uzhavar Sandhai ),61.04,1.73
2025-03-13,Thursday,Ginger(Green),Attayampatti(Uzhavar Sandhai ),61.04,1.74
2025-03-07,Friday,Ginger(Green),Edapadi (Uzhavar Sandhai ),61.16,1.94
2025-03-08,Saturday,Ginger(Green),Edapadi (Uzhavar Sandhai ),61.16,1.94
2025-03-09,Sunday,Ginger(Green),Edapadi (Uzhavar Sandhai ),61.16,1.94
2025-03-10,Monday,Ginger(Green),Edapadi (Uzhavar Sandhai ),61.16,1.93
2025-03-11,Tuesday,Ginger(Green),Edapadi (Uzhavar Sandhai ),61.16,1.94
2025-03-12,Wednesday,Ginger(Green),Edapadi (Uzhavar Sandhai ),61.17,1.94
2025-03-13,Thursday,Ginger(Green),Edapadi (Uzhavar Sandhai ),61.17,1.94
2025-03-07,Friday,Ginger(Green),Elampillai(Uzhavar Sandhai ),61.11,1.86
