Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Grapes,Ammapet(Uzhavar Sandhai ),80.26,0.33
2025-03-08,Saturday,Grapes,Ammapet(Uzhavar Sandhai ),80.26,0.33
2025-03-09,Sunday,Grapes,Ammapet(Uzhavar Sandhai ),80.26,0.33
2025-03-10,Monday,Grapes,Ammapet(Uzhavar Sandhai ),80.26,0.33
2025-03-11,Tuesday,Grapes,Ammapet(Uzhavar Sandhai ),80.26,0.33
2025-03-12,Wednesday,Grapes,Ammapet(Uzhavar Sandhai ),80.26,0.33
2025-03-13,Thursday,Grapes,Ammapet(Uzhavar Sandhai ),80.26,0.33
2025-03-07,Friday,Grapes,Hasthampatti(Uzhavar Sandhai ),100.05,0.05
2025-03-08,Saturday,Grapes,Hasthampatti(Uzhavar Sandhai ),100.05,0.05
2025-03-09,Sunday,Grapes,Hasthampatti(Uzhavar Sandhai ),100.05,0.05
2025-03-10,Monday,Grapes,Hasthampatti(Uzhavar Sandhai ),100.05,0.05
2025-03-11,Tuesday,Grapes,Hasthampatti(Uzhavar Sandhai ),100.05,0.05
2025-03-12,Wednesday,Grapes,Hasthampatti(Uzhavar Sandhai ),100.05,0.05
2025-03-13,Thursday,Grapes,Hasthampatti(Uzhavar Sandhai ),100.05,0.05
2025-03-07,Friday,Grapes,Sooramangalam(Uzhavar Sandhai ),80.02,0.02
2025-03-08,Saturday,Grapes,Sooramangalam(Uzhavar Sandhai ),80.02,0.02
2025-03-09,Sunday,Grapes,Sooramangalam(Uzhavar Sandhai ),80.02,0.02
2025-03-10,Monday,Grapes,Sooramangalam(Uzhavar Sandhai ),80.02,0.03
2025-03-11,Tuesday,Grapes,Sooramangalam(Uzhavar Sandhai ),80.02,0.03
2025-03-12,Wednesday,Grapes,Sooramangalam(Uzhavar Sandhai ),80.02,0.02
2025-03-13,Thursday,Grapes,Sooramangalam(Uzhavar Sandhai ),80.02,0.02
2025-03-07,Friday,Grapes,Mettur(Uzhavar Sandhai ),99.08,-0.92
2025-03-08,Saturday,Grapes,Mettur(Uzhavar Sandhai ),99.08,-0.92
2025-03-09,Sunday,Grapes,Mettur(Uzhavar Sandhai ),99.08,-0.92
2025-03-10,Monday,Grapes,Mettur(Uzhavar Sandhai ),99.08,-0.92
2025-03-11,Tuesday,Grapes,Mettur(Uzhavar Sandhai ),99.09,-0.91
2025-03-12,Wednesday,Grapes,Mettur(Uzhavar Sandhai ),99.09,-0.91
2025-03-13,Thursday,Grapes,Mettur(Uzhavar Sandhai ),99.09,-0.91
