Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Green Avare (W),Ammapet(Uzhavar Sandhai ),31.52,5.06
2025-03-08,Saturday,Green Avare (W),Ammapet(Uzhavar Sandhai ),31.52,5.06
2025-03-09,Sunday,Green Avare (W),Ammapet(Uzhavar Sandhai ),31.52,5.05
2025-03-10,Monday,Green Avare (W),Ammapet(Uzhavar Sandhai ),31.51,5.05
2025-03-11,Tuesday,Green Avare (W),Ammapet(Uzhavar Sandhai ),31.52,5.05
2025-03-12,Wednesday,Green Avare (W),Ammapet(Uzhavar Sandhai ),31.52,5.05
2025-03-13,Thursday,Green Avare (W),Ammapet(Uzhavar Sandhai ),31.51,5.04
2025-03-07,Friday,Green Avare (W),Athur(Uzhavar Sandhai ),32.08,6.92
2025-03-08,Saturday,Green Avare (W),Athur(Uzhavar Sandhai ),32.07,6.91
2025-03-09,Sunday,Green Avare (W),Athur(Uzhavar Sandhai ),32.07,6.91
2025-03-10,Monday,Green Avare (W),Athur(Uzhavar Sandhai ),32.07,6.9
2025-03-11,Tuesday,Green Avare (W),Athur(Uzhavar Sandhai ),32.07,6.91
2025-03-12,Wednesday,Green Avare (W),Athur(Uzhavar Sandhai ),32.07,6.9
2025-03-13,Thursday,Green Avare (W),Athur(Uzhavar Sandhai ),32.07,6.9
2025-03-07,Friday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),32.04,6.79
2025-03-08,Saturday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),32.04,6.79
2025-03-09,Sunday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),32.04,6.79
2025-03-10,Monday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),32.03,6.78
2025-03-11,Tuesday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),32.04,6.78
2025-03-12,Wednesday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),32.03,6.78
2025-03-13,Thursday,Green Avare (W),Attayampatti(Uzhavar Sandhai ),32.03,6.78
2025-03-07,Friday,Green Avare (W),Edapadi (Uzhavar Sandhai ),32.19,7.29
2025-03-08,Saturday,Green Avare (W),Edapadi (Uzhavar Sandhai ),32.19,7.29
2025-03-09,Sunday,Green Avare (W),Edapadi (Uzhavar Sandhai ),32.19,7.29
2025-03-10,Monday,Green Avare (W),Edapadi (Uzhavar Sandhai ),32.18,7.27
2025-03-11,Tuesday,Green Avare (W),Edapadi (Uzhavar Sandhai ),32.19,7.29
2025-03-12,Wednesday,Green Avare (W),Edapadi (Uzhavar Sandhai ),32.19,7.29
2025-03-13,Thursday,Green Avare (W),Edapadi (Uzhavar Sandhai ),32.19,7.29
2025-03-07,Friday,Green Avare (W),Elampillai(Uzhavar Sandhai ),32.1,7.0
2025-03-08,Saturday,Green Avare (W),Elampillai(Uzhavar Sandhai ),32.1,6.99
2025-03-09,Sunday,Green Avare (W),Elampillai(Uzhavar Sandhai ),32.1,6.99
2025-03-10,Monday,Green Avare (W),Elampillai(Uzhavar Sandhai ),32.09,6.97
2025-03-11,Tuesday,Green Avare (W),Elampillai(Uzhavar Sandhai ),32.1,6.98
2025-03-12,Wednesday,Green Avare (W),Elampillai(Uzhavar Sandhai ),32.09,6.98
2025-03-13,Thursday,Green Avare (W),Elampillai(Uzhavar Sandhai ),32.09,6.98
2025-03-07,Friday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),31.7,5.66
2025-03-08,Saturday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),31.7,5.65
2025-03-09,Sunday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),31.7,5.65
2025-03-10,Monday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),31.7,5.65
2025-03-11,Tuesday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),31.7,5.65
2025-03-12,Wednesday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),31.7,5.66
2025-03-13,Thursday,Green Avare (W),Hasthampatti(Uzhavar Sandhai ),31.69,5.64
2025-03-07,Friday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),32.22,7.4
2025-03-08,Saturday,Green Avare (W),Jalagandapuram(Uzhavar Sandhai ),32.22,7.39
