Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Green Chilli,Ammapet(Uzhavar Sandhai ),37.86,5.17
2025-03-08,Saturday,Green Chilli,Ammapet(Uzhavar Sandhai ),37.86,5.16
2025-03-09,Sunday,Green Chilli,Ammapet(Uzhavar Sandhai ),37.86,5.16
2025-03-10,Monday,Green Chilli,Ammapet(Uzhavar Sandhai ),37.85,5.15
2025-03-11,Tuesday,Green Chilli,Ammapet(Uzhavar Sandhai ),37.85,5.15
2025-03-12,Wednesday,Green Chilli,Ammapet(Uzhavar Sandhai ),37.86,5.16
2025-03-13,Thursday,Green Chilli,Ammapet(Uzhavar Sandhai ),37.86,5.16
2025-03-07,Friday,Green Chilli,Athur(Uzhavar Sandhai ),36.55,4.42
2025-03-08,Saturday,Green Chilli,Athur(Uzhavar Sandhai ),36.55,4.42
2025-03-09,Sunday,Green Chilli,Athur(Uzhavar Sandhai ),36.55,4.42
2025-03-10,Monday,Green Chilli,Athur(Uzhavar Sandhai ),36.54,4.41
2025-03-11,Tuesday,Green Chilli,Athur(Uzhavar Sandhai ),36.54,4.41
2025-03-12,Wednesday,Green Chilli,Athur(Uzhavar Sandhai ),36.55,4.42
2025-03-13,Thursday,Green Chilli,Athur(Uzhavar Sandhai ),36.55,4.42
2025-03-07,Friday,Green Chilli,Attayampatti(Uzhavar Sandhai ),37.94,5.39
2025-03-08,Saturday,Green Chilli,Attayampatti(Uzhavar Sandhai ),37.94,5.38
2025-03-09,Sunday,Green Chilli,Attayampatti(Uzhavar Sandhai ),37.94,5.38
2025-03-10,Monday,Green Chilli,Attayampatti(Uzhavar Sandhai ),37.93,5.35
2025-03-11,Tuesday,Green Chilli,Attayampatti(Uzhavar Sandhai ),37.93,5.36
2025-03-12,Wednesday,Green Chilli,Attayampatti(Uzhavar Sandhai ),37.94,5.38
2025-03-13,Thursday,Green Chilli,Attayampatti(Uzhavar Sandhai ),37.94,5.38
2025-03-07,Friday,Green Chilli,Edapadi (Uzhavar Sandhai ),37.5,4.16
2025-03-08,Saturday,Green Chilli,Edapadi (Uzhavar Sandhai ),37.5,4.16
2025-03-09,Sunday,Green Chilli,Edapadi (Uzhavar Sandhai ),37.5,4.16
2025-03-10,Monday,Green Chilli,Edapadi (Uzhavar Sandhai ),37.49,4.14
2025-03-11,Tuesday,Green Chilli,Edapadi (Uzhavar Sandhai ),37.49,4.15
2025-03-12,Wednesday,Green Chilli,Edapadi (Uzhavar Sandhai ),37.5,4.16
2025-03-13,Thursday,Green Chilli,Edapadi (Uzhavar Sandhai ),37.5,4.16
2025-03-07,Friday,Green Chilli,Elampillai(Uzhavar Sandhai ),36.44,4.13
2025-03-08,Saturday,Green Chilli,Elampillai(Uzhavar Sandhai ),36.44,4.13
2025-03-09,Sunday,Green Chilli,Elampillai(Uzhavar Sandhai ),36.44,4.13
2025-03-10,Monday,Green Chilli,Elampillai(Uzhavar Sandhai ),36.44,4.1
2025-03-11,Tuesday,Green Chilli,Elampillai(Uzhavar Sandhai ),36.44,4.12
2025-03-12,Wednesday,Green Chilli,Elampillai(Uzhavar Sandhai ),36.44,4.12
2025-03-13,Thursday,Green Chilli,Elampillai(Uzhavar Sandhai ),36.44,4.12
2025-03-07,Friday,Green Chilli,Hasthampatti(Uzhavar Sandhai ),39.18,3.11
2025-03-08,Saturday,Green Chilli,Hasthampatti(Uzhavar Sandhai ),39.18,3.1
2025-03-09,Sunday,Green Chilli,Hasthampatti(Uzhavar Sandhai ),39.18,3.1
2025-03-10,Monday,Green Chilli,Hasthampatti(Uzhavar Sandhai ),39.18,3.09
2025-03-11,Tuesday,Green Chilli,Hasthampatti(Uzhavar Sandhai ),39.18,3.1
2025-03-12,Wednesday,Green Chilli,Hasthampatti(Uzhavar Sandhai ),39.18,3.1
