Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Green Peas,Ammapet(Uzhavar Sandhai ),70.5,0.71
2025-03-08,Saturday,Green Peas,Ammapet(Uzhavar Sandhai ),70.5,0.71
2025-03-09,Sunday,Green Peas,Ammapet(Uzhavar Sandhai ),70.5,0.71
2025-03-10,Monday,Green Peas,Ammapet(Uzhavar Sandhai ),70.49,0.7
2025-03-11,Tuesday,Green Peas,Ammapet(Uzhavar Sandhai ),70.49,0.71
2025-03-12,Wednesday,Green Peas,Ammapet(Uzhavar Sandhai ),70.5,0.71
2025-03-13,Thursday,Green Peas,Ammapet(Uzhavar Sandhai ),70.5,0.71
2025-03-07,Friday,Green Peas,Athur(Uzhavar Sandhai ),70.6,3.82
2025-03-08,Saturday,Green Peas,Athur(Uzhavar Sandhai ),70.6,3.82
2025-03-09,Sunday,Green Peas,Athur(Uzhavar Sandhai ),70.6,3.82
2025-03-10,Monday,Green Peas,Athur(Uzhavar Sandhai ),70.6,3.82
2025-03-11,Tuesday,Green Peas,Athur(Uzhavar Sandhai ),70.6,3.82
2025-03-12,Wednesday,Green Peas,Athur(Uzhavar Sandhai ),70.6,3.82
2025-03-13,Thursday,Green Peas,Athur(Uzhavar Sandhai ),70.6,3.82
2025-03-07,Friday,Green Peas,Hasthampatti(Uzhavar Sandhai ),67.72,-0.41
2025-03-08,Saturday,Green Peas,Hasthampatti(Uzhavar Sandhai ),67.72,-0.41
2025-03-09,Sunday,Green Peas,Hasthampatti(Uzhavar Sandhai ),67.72,-0.41
2025-03-10,Monday,Green Peas,Hasthampatti(Uzhavar Sandhai ),67.71,-0.43
2025-03-11,Tuesday,Green Peas,Hasthampatti(Uzhavar Sandhai ),67.72,-0.41
2025-03-12,Wednesday,Green Peas,Hasthampatti(Uzhavar Sandhai ),67.72,-0.41
2025-03-13,Thursday,Green Peas,Hasthampatti(Uzhavar Sandhai ),67.72,-0.41
2025-03-07,Friday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),66.24,1.91
2025-03-08,Saturday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),66.24,1.91
2025-03-09,Sunday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),66.24,1.91
2025-03-10,Monday,Green Peas,Jalagandapuram(Uzhavar Sandhai ),66.23,1.89
