Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),23.49,17.43
2025-03-08,Saturday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),23.48,17.41
2025-03-09,Sunday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),23.48,17.41
2025-03-10,Monday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),23.48,17.39
2025-03-11,Tuesday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),23.48,17.4
2025-03-12,Wednesday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),23.48,17.41
2025-03-13,Thursday,Karbuja(Musk Melon),Athur(Uzhavar Sandhai ),23.48,17.41
2025-03-07,Friday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),20.64,14.65
2025-03-08,Saturday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),20.64,14.64
2025-03-09,Sunday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),20.63,14.64
2025-03-10,Monday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),20.63,14.63
2025-03-11,Tuesday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),20.63,14.62
2025-03-12,Wednesday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),20.63,14.63
2025-03-13,Thursday,Karbuja(Musk Melon),Hasthampatti(Uzhavar Sandhai ),20.63,14.61
2025-03-07,Friday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),37.07,5.93
2025-03-08,Saturday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),37.07,5.92
2025-03-09,Sunday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),37.07,5.93
2025-03-10,Monday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),37.07,5.91
2025-03-11,Tuesday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),37.07,5.92
2025-03-12,Wednesday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),37.07,5.93
2025-03-13,Thursday,Karbuja(Musk Melon),Ammapet(Uzhavar Sandhai ),37.07,5.91
2025-03-07,Friday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),45.46,1.02
2025-03-08,Saturday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),45.46,1.02
2025-03-09,Sunday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),45.46,1.02
2025-03-10,Monday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),45.46,1.02
2025-03-11,Tuesday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),45.46,1.02
2025-03-12,Wednesday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),45.46,1.02
2025-03-13,Thursday,Karbuja(Musk Melon),Sooramangalam(Uzhavar Sandhai ),45.46,1.02
2025-03-07,Friday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),41.59,3.98
2025-03-08,Saturday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),41.59,3.98
2025-03-09,Sunday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),41.59,3.98
2025-03-10,Monday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),41.59,3.98
2025-03-11,Tuesday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),41.59,3.98
2025-03-12,Wednesday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),41.59,3.98
2025-03-13,Thursday,Karbuja(Musk Melon),Thathakapatti(Uzhavar Sandhai ),41.59,3.97
2025-03-07,Friday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),32.71,9.04
2025-03-08,Saturday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),32.71,9.03
2025-03-09,Sunday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),32.71,9.03
2025-03-10,Monday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),32.7,9.01
2025-03-11,Tuesday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),32.71,9.03
2025-03-12,Wednesday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),32.71,9.03
2025-03-13,Thursday,Karbuja(Musk Melon),Edapadi (Uzhavar Sandhai ),32.71,9.03
