Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Lemon,Ammapet(Uzhavar Sandhai ),59.52,-0.8
2025-03-08,Saturday,Lemon,Ammapet(Uzhavar Sandhai ),59.52,-0.81
2025-03-09,Sunday,Lemon,Ammapet(Uzhavar Sandhai ),59.51,-0.81
2025-03-10,Monday,Lemon,Ammapet(Uzhavar Sandhai ),59.51,-0.82
2025-03-11,Tuesday,Lemon,Ammapet(Uzhavar Sandhai ),59.51,-0.81
2025-03-12,Wednesday,Lemon,Ammapet(Uzhavar Sandhai ),59.51,-0.81
2025-03-13,Thursday,Lemon,Ammapet(Uzhavar Sandhai ),59.51,-0.81
2025-03-07,Friday,Lemon,Athur(Uzhavar Sandhai ),50.18,0.36
2025-03-08,Saturday,Lemon,Athur(Uzhavar Sandhai ),50.18,0.35
2025-03-09,Sunday,Lemon,Athur(Uzhavar Sandhai ),50.18,0.35
2025-03-10,Monday,Lemon,Athur(Uzhavar Sandhai ),50.17,0.34
2025-03-11,Tuesday,Lemon,Athur(Uzhavar Sandhai ),50.18,0.35
2025-03-12,Wednesday,Lemon,Athur(Uzhavar Sandhai ),50.18,0.35
2025-03-13,Thursday,Lemon,Athur(Uzhavar Sandhai ),50.18,0.35
2025-03-07,Friday,Lemon,Attayampatti(Uzhavar Sandhai ),98.21,-1.79
2025-03-08,Saturday,Lemon,Attayampatti(Uzhavar Sandhai ),98.21,-1.79
2025-03-09,Sunday,Lemon,Attayampatti(Uzhavar Sandhai ),98.21,-1.79
2025-03-10,Monday,Lemon,Attayampatti(Uzhavar Sandhai ),98.2,-1.8
2025-03-11,Tuesday,Lemon,Attayampatti(Uzhavar Sandhai ),98.2,-1.8
2025-03-12,Wednesday,Lemon,Attayampatti(Uzhavar Sandhai ),98.2,-1.8
2025-03-13,Thursday,Lemon,Attayampatti(Uzhavar Sandhai ),98.2,-1.8
2025-03-07,Friday,Lemon,Edapadi (Uzhavar Sandhai ),60.06,0.09
2025-03-08,Saturday,Lemon,Edapadi (Uzhavar Sandhai ),60.06,0.09
2025-03-09,Sunday,Lemon,Edapadi (Uzhavar Sandhai ),60.05,0.09
2025-03-10,Monday,Lemon,Edapadi (Uzhavar Sandhai ),60.05,0.08
