Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Lime,Ammapet(Uzhavar Sandhai ),31.6,5.34
2025-03-08,Saturday,Lime,Ammapet(Uzhavar Sandhai ),31.6,5.34
2025-03-09,Sunday,Lime,Ammapet(Uzhavar Sandhai ),31.6,5.34
2025-03-10,Monday,Lime,Ammapet(Uzhavar Sandhai ),31.6,5.33
2025-03-11,Tuesday,Lime,Ammapet(Uzhavar Sandhai ),31.6,5.34
2025-03-12,Wednesday,Lime,Ammapet(Uzhavar Sandhai ),31.6,5.34
2025-03-13,Thursday,Lime,Ammapet(Uzhavar Sandhai ),31.6,5.32
2025-03-07,Friday,Lime,Athur(Uzhavar Sandhai ),32.24,7.46
2025-03-08,Saturday,Lime,Athur(Uzhavar Sandhai ),32.24,7.46
2025-03-09,Sunday,Lime,Athur(Uzhavar Sandhai ),32.24,7.46
2025-03-10,Monday,Lime,Athur(Uzhavar Sandhai ),32.23,7.45
2025-03-11,Tuesday,Lime,Athur(Uzhavar Sandhai ),32.24,7.45
2025-03-12,Wednesday,Lime,Athur(Uzhavar Sandhai ),32.24,7.45
2025-03-13,Thursday,Lime,Athur(Uzhavar Sandhai ),32.24,7.45
2025-03-07,Friday,Lime,Attayampatti(Uzhavar Sandhai ),32.16,7.2
2025-03-08,Saturday,Lime,Attayampatti(Uzhavar Sandhai ),32.16,7.19
2025-03-09,Sunday,Lime,Attayampatti(Uzhavar Sandhai ),32.16,7.19
2025-03-10,Monday,Lime,Attayampatti(Uzhavar Sandhai ),32.15,7.17
2025-03-11,Tuesday,Lime,Attayampatti(Uzhavar Sandhai ),32.15,7.18
2025-03-12,Wednesday,Lime,Attayampatti(Uzhavar Sandhai ),32.16,7.19
2025-03-13,Thursday,Lime,Attayampatti(Uzhavar Sandhai ),32.16,7.19
2025-03-07,Friday,Lime,Edapadi (Uzhavar Sandhai ),32.21,7.36
2025-03-08,Saturday,Lime,Edapadi (Uzhavar Sandhai ),32.21,7.36
2025-03-09,Sunday,Lime,Edapadi (Uzhavar Sandhai ),32.21,7.36
2025-03-10,Monday,Lime,Edapadi (Uzhavar Sandhai ),32.2,7.35
2025-03-11,Tuesday,Lime,Edapadi (Uzhavar Sandhai ),32.21,7.36
2025-03-12,Wednesday,Lime,Edapadi (Uzhavar Sandhai ),32.21,7.36
2025-03-13,Thursday,Lime,Edapadi (Uzhavar Sandhai ),32.21,7.36
2025-03-07,Friday,Lime,Jalagandapuram(Uzhavar Sandhai ),32.31,7.69
2025-03-08,Saturday,Lime,Jalagandapuram(Uzhavar Sandhai ),32.31,7.68
2025-03-09,Sunday,Lime,Jalagandapuram(Uzhavar Sandhai ),32.31,7.68
2025-03-10,Monday,Lime,Jalagandapuram(Uzhavar Sandhai ),32.3,7.66
2025-03-11,Tuesday,Lime,Jalagandapuram(Uzhavar Sandhai ),32.3,7.68
2025-03-12,Wednesday,Lime,Jalagandapuram(Uzhavar Sandhai ),32.3,7.68
2025-03-13,Thursday,Lime,Jalagandapuram(Uzhavar Sandhai ),32.3,7.68
2025-03-07,Friday,Lime,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-08,Saturday,Lime,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-09,Sunday,Lime,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-10,Monday,Lime,Mettur(Uzhavar Sandhai ),32.32,7.73
2025-03-11,Tuesday,Lime,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-12,Wednesday,Lime,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-13,Thursday,Lime,Mettur(Uzhavar Sandhai ),32.32,7.73
2025-03-07,Friday,Lime,Sooramangalam(Uzhavar Sandhai ),31.6,5.34
2025-03-08,Saturday,Lime,Sooramangalam(Uzhavar Sandhai ),31.6,5.34
2025-03-09,Sunday,Lime,Sooramangalam(Uzhavar Sandhai ),31.6,5.34
2025-03-10,Monday,Lime,Sooramangalam(Uzhavar Sandhai ),31.6,5.33
2025-03-11,Tuesday,Lime,Sooramangalam(Uzhavar Sandhai ),31.6,5.33
2025-03-12,Wednesday,Lime,Sooramangalam(Uzhavar Sandhai ),31.6,5.34
2025-03-13,Thursday,Lime,Sooramangalam(Uzhavar Sandhai ),31.6,5.33
2025-03-07,Friday,Lime,Thathakapatti(Uzhavar Sandhai ),41.28,3.2
2025-03-08,Saturday,Lime,Thathakapatti(Uzhavar Sandhai ),41.28,3.2
2025-03-09,Sunday,Lime,Thathakapatti(Uzhavar Sandhai ),41.28,3.2
2025-03-10,Monday,Lime,Thathakapatti(Uzhavar Sandhai ),41.28,3.19
2025-03-11,Tuesday,Lime,Thathakapatti(Uzhavar Sandhai ),41.28,3.2
