Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Maize,Ammapet(Uzhavar Sandhai ),22.34,11.72
2025-03-08,Saturday,Maize,Ammapet(Uzhavar Sandhai ),22.34,11.71
2025-03-09,Sunday,Maize,Ammapet(Uzhavar Sandhai ),22.34,11.71
2025-03-10,Monday,Maize,Ammapet(Uzhavar Sandhai ),22.34,11.69
2025-03-11,Tuesday,Maize,Ammapet(Uzhavar Sandhai ),22.34,11.71
2025-03-12,Wednesday,Maize,Ammapet(Uzhavar Sandhai ),22.34,11.71
2025-03-13,Thursday,Maize,Ammapet(Uzhavar Sandhai ),22.34,11.7
2025-03-07,Friday,Maize,Hasthampatti(Uzhavar Sandhai ),26.93,7.71
2025-03-08,Saturday,Maize,Hasthampatti(Uzhavar Sandhai ),26.92,7.7
2025-03-09,Sunday,Maize,Hasthampatti(Uzhavar Sandhai ),26.93,7.7
2025-03-10,Monday,Maize,Hasthampatti(Uzhavar Sandhai ),26.92,7.68
2025-03-11,Tuesday,Maize,Hasthampatti(Uzhavar Sandhai ),26.92,7.7
2025-03-12,Wednesday,Maize,Hasthampatti(Uzhavar Sandhai ),26.93,7.7
2025-03-13,Thursday,Maize,Hasthampatti(Uzhavar Sandhai ),26.93,7.7
2025-03-07,Friday,Maize,Mettur(Uzhavar Sandhai ),27.27,9.08
2025-03-08,Saturday,Maize,Mettur(Uzhavar Sandhai ),27.27,9.07
2025-03-09,Sunday,Maize,Mettur(Uzhavar Sandhai ),27.27,9.08
2025-03-10,Monday,Maize,Mettur(Uzhavar Sandhai ),27.26,9.06
2025-03-11,Tuesday,Maize,Mettur(Uzhavar Sandhai ),27.27,9.07
2025-03-12,Wednesday,Maize,Mettur(Uzhavar Sandhai ),27.27,9.08
2025-03-13,Thursday,Maize,Mettur(Uzhavar Sandhai ),27.27,9.07
2025-03-07,Friday,Maize,Sooramangalam(Uzhavar Sandhai ),22.27,11.36
2025-03-08,Saturday,Maize,Sooramangalam(Uzhavar Sandhai ),22.27,11.35
2025-03-09,Sunday,Maize,Sooramangalam(Uzhavar Sandhai ),22.27,11.35
2025-03-10,Monday,Maize,Sooramangalam(Uzhavar Sandhai ),22.27,11.34
2025-03-11,Tuesday,Maize,Sooramangalam(Uzhavar Sandhai ),22.27,11.35
2025-03-12,Wednesday,Maize,Sooramangalam(Uzhavar Sandhai ),22.27,11.35
2025-03-13,Thursday,Maize,Sooramangalam(Uzhavar Sandhai ),22.27,11.35
2025-03-07,Friday,Maize,Jalagandapuram(Uzhavar Sandhai ),31.96,6.55
2025-03-08,Saturday,Maize,Jalagandapuram(Uzhavar Sandhai ),31.96,6.54
2025-03-09,Sunday,Maize,Jalagandapuram(Uzhavar Sandhai ),31.96,6.54
2025-03-10,Monday,Maize,Jalagandapuram(Uzhavar Sandhai ),31.96,6.52
2025-03-11,Tuesday,Maize,Jalagandapuram(Uzhavar Sandhai ),31.96,6.54
2025-03-12,Wednesday,Maize,Jalagandapuram(Uzhavar Sandhai ),31.96,6.54
2025-03-13,Thursday,Maize,Jalagandapuram(Uzhavar Sandhai ),31.96,6.53
2025-03-07,Friday,Maize,Thathakapatti(Uzhavar Sandhai ),22.53,12.67
2025-03-08,Saturday,Maize,Thathakapatti(Uzhavar Sandhai ),22.53,12.65
2025-03-09,Sunday,Maize,Thathakapatti(Uzhavar Sandhai ),22.53,12.66
2025-03-10,Monday,Maize,Thathakapatti(Uzhavar Sandhai ),22.53,12.63
2025-03-11,Tuesday,Maize,Thathakapatti(Uzhavar Sandhai ),22.53,12.65
2025-03-12,Wednesday,Maize,Thathakapatti(Uzhavar Sandhai ),22.53,12.66
2025-03-13,Thursday,Maize,Thathakapatti(Uzhavar Sandhai ),22.53,12.65
2025-03-07,Friday,Maize,Athur(Uzhavar Sandhai ),31.84,6.14
2025-03-08,Saturday,Maize,Athur(Uzhavar Sandhai ),31.84,6.14
2025-03-09,Sunday,Maize,Athur(Uzhavar Sandhai ),31.84,6.14
2025-03-10,Monday,Maize,Athur(Uzhavar Sandhai ),31.84,6.13
2025-03-11,Tuesday,Maize,Athur(Uzhavar Sandhai ),31.84,6.13
2025-03-12,Wednesday,Maize,Athur(Uzhavar Sandhai ),31.84,6.14
2025-03-13,Thursday,Maize,Athur(Uzhavar Sandhai ),31.84,6.14
2025-03-07,Friday,Maize,Elampillai(Uzhavar Sandhai ),31.89,6.31
2025-03-08,Saturday,Maize,Elampillai(Uzhavar Sandhai ),31.89,6.3
2025-03-09,Sunday,Maize,Elampillai(Uzhavar Sandhai ),31.89,6.3
2025-03-10,Monday,Maize,Elampillai(Uzhavar Sandhai ),31.88,6.27
2025-03-11,Tuesday,Maize,Elampillai(Uzhavar Sandhai ),31.89,6.3
2025-03-12,Wednesday,Maize,Elampillai(Uzhavar Sandhai ),31.89,6.3
2025-03-13,Thursday,Maize,Elampillai(Uzhavar Sandhai ),31.89,6.3
