Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mango,Athur(Uzhavar Sandhai ),70.68,0.97
2025-03-08,Saturday,Mango,Athur(Uzhavar Sandhai ),70.68,0.97
2025-03-09,Sunday,Mango,Athur(Uzhavar Sandhai ),70.68,0.97
2025-03-10,Monday,Mango,Athur(Uzhavar Sandhai ),70.68,0.98
2025-03-11,Tuesday,Mango,Athur(Uzhavar Sandhai ),70.68,0.97
2025-03-12,Wednesday,Mango,Athur(Uzhavar Sandhai ),70.68,0.97
2025-03-13,Thursday,Mango,Athur(Uzhavar Sandhai ),70.68,0.97
2025-03-07,Friday,Mango,Thathakapatti(Uzhavar Sandhai ),100.17,0.17
2025-03-08,Saturday,Mango,Thathakapatti(Uzhavar Sandhai ),100.17,0.17
2025-03-09,Sunday,Mango,Thathakapatti(Uzhavar Sandhai ),100.17,0.17
2025-03-10,Monday,Mango,Thathakapatti(Uzhavar Sandhai ),100.17,0.17
2025-03-11,Tuesday,Mango,Thathakapatti(Uzhavar Sandhai ),100.17,0.17
2025-03-12,Wednesday,Mango,Thathakapatti(Uzhavar Sandhai ),100.17,0.17
2025-03-13,Thursday,Mango,Thathakapatti(Uzhavar Sandhai ),100.17,0.17
2025-03-07,Friday,Mango,Mettur(Uzhavar Sandhai ),80.06,0.07
2025-03-08,Saturday,Mango,Mettur(Uzhavar Sandhai ),80.06,0.07
2025-03-09,Sunday,Mango,Mettur(Uzhavar Sandhai ),80.06,0.07
2025-03-10,Monday,Mango,Mettur(Uzhavar Sandhai ),80.06,0.07
2025-03-11,Tuesday,Mango,Mettur(Uzhavar Sandhai ),80.06,0.07
2025-03-12,Wednesday,Mango,Mettur(Uzhavar Sandhai ),80.06,0.07
2025-03-13,Thursday,Mango,Mettur(Uzhavar Sandhai ),80.06,0.07
2025-03-07,Friday,Mango,Sooramangalam(Uzhavar Sandhai ),100.05,0.05
2025-03-08,Saturday,Mango,Sooramangalam(Uzhavar Sandhai ),100.05,0.05
2025-03-09,Sunday,Mango,Sooramangalam(Uzhavar Sandhai ),100.05,0.05
2025-03-10,Monday,Mango,Sooramangalam(Uzhavar Sandhai ),100.05,0.05
2025-03-11,Tuesday,Mango,Sooramangalam(Uzhavar Sandhai ),100.05,0.05
2025-03-12,Wednesday,Mango,Sooramangalam(Uzhavar Sandhai ),100.05,0.05
2025-03-13,Thursday,Mango,Sooramangalam(Uzhavar Sandhai ),100.05,0.05
