Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),60.09,0.15
2025-03-08,Saturday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),60.09,0.15
2025-03-09,Sunday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),60.09,0.15
2025-03-10,Monday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),60.08,0.14
2025-03-11,Tuesday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),60.09,0.15
2025-03-12,Wednesday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),60.09,0.14
2025-03-13,Thursday,Marigold(Calcutta),Ammapet(Uzhavar Sandhai ),60.09,0.15
2025-03-07,Friday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),80.03,0.04
2025-03-08,Saturday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),80.03,0.04
2025-03-09,Sunday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),80.03,0.04
2025-03-10,Monday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),80.03,0.04
2025-03-11,Tuesday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),80.03,0.04
2025-03-12,Wednesday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),80.03,0.04
2025-03-13,Thursday,Marigold(Calcutta),Sooramangalam(Uzhavar Sandhai ),80.03,0.04
2025-03-07,Friday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.2,0.25
2025-03-08,Saturday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.2,0.25
2025-03-09,Sunday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.2,0.25
2025-03-10,Monday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.19,0.24
2025-03-11,Tuesday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.2,0.24
2025-03-12,Wednesday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.2,0.24
2025-03-13,Thursday,Marigold(Calcutta),Elampillai(Uzhavar Sandhai ),80.2,0.24
2025-03-07,Friday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-08,Saturday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),80.04,0.04
2025-03-09,Sunday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),80.04,0.04
2025-03-10,Monday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-11,Tuesday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-12,Wednesday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),80.04,0.04
2025-03-13,Thursday,Marigold(Calcutta),Thathakapatti(Uzhavar Sandhai ),80.04,0.04
2025-03-07,Friday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),100.18,0.18
2025-03-08,Saturday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),100.17,0.17
2025-03-09,Sunday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),100.17,0.17
2025-03-10,Monday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),100.16,0.16
2025-03-11,Tuesday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),100.17,0.17
2025-03-12,Wednesday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),100.17,0.17
2025-03-13,Thursday,Marigold(Calcutta),Athur(Uzhavar Sandhai ),100.17,0.17
2025-03-07,Friday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),99.73,-0.27
2025-03-08,Saturday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),99.73,-0.27
2025-03-09,Sunday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),99.73,-0.27
2025-03-10,Monday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),99.73,-0.27
2025-03-11,Tuesday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),99.74,-0.26
2025-03-12,Wednesday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),99.74,-0.26
2025-03-13,Thursday,Marigold(Calcutta),Mettur(Uzhavar Sandhai ),99.74,-0.26
2025-03-07,Friday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),80.15,0.19
2025-03-08,Saturday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),80.15,0.18
2025-03-09,Sunday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),80.15,0.18
2025-03-10,Monday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),80.14,0.17
2025-03-11,Tuesday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),80.14,0.18
2025-03-12,Wednesday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),80.14,0.18
2025-03-13,Thursday,Marigold(Calcutta),Attayampatti(Uzhavar Sandhai ),80.14,0.18
