Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mashrooms,Ammapet(Uzhavar Sandhai ),31.68,5.62
2025-03-08,Saturday,Mashrooms,Ammapet(Uzhavar Sandhai ),31.68,5.61
2025-03-09,Sunday,Mashrooms,Ammapet(Uzhavar Sandhai ),31.68,5.61
2025-03-10,Monday,Mashrooms,Ammapet(Uzhavar Sandhai ),31.68,5.6
2025-03-11,Tuesday,Mashrooms,Ammapet(Uzhavar Sandhai ),31.68,5.61
2025-03-12,Wednesday,Mashrooms,Ammapet(Uzhavar Sandhai ),31.68,5.61
2025-03-13,Thursday,Mashrooms,Ammapet(Uzhavar Sandhai ),31.68,5.6
2025-03-07,Friday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),36.38,3.94
2025-03-08,Saturday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),36.38,3.93
2025-03-09,Sunday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),36.38,3.93
2025-03-10,Monday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),36.38,3.93
2025-03-11,Tuesday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),36.37,3.93
2025-03-12,Wednesday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),36.38,3.94
2025-03-13,Thursday,Mashrooms,Hasthampatti(Uzhavar Sandhai ),36.37,3.93
2025-03-07,Friday,Mashrooms,Mettur(Uzhavar Sandhai ),32.32,7.75
2025-03-08,Saturday,Mashrooms,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-09,Sunday,Mashrooms,Mettur(Uzhavar Sandhai ),32.32,7.75
2025-03-10,Monday,Mashrooms,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-11,Tuesday,Mashrooms,Mettur(Uzhavar Sandhai ),32.33,7.75
2025-03-12,Wednesday,Mashrooms,Mettur(Uzhavar Sandhai ),32.33,7.75
2025-03-13,Thursday,Mashrooms,Mettur(Uzhavar Sandhai ),32.32,7.74
2025-03-07,Friday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),31.58,5.27
2025-03-08,Saturday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),31.58,5.26
2025-03-09,Sunday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),31.58,5.27
2025-03-10,Monday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),31.58,5.27
2025-03-11,Tuesday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),31.58,5.26
2025-03-12,Wednesday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),31.58,5.26
2025-03-13,Thursday,Mashrooms,Sooramangalam(Uzhavar Sandhai ),31.57,5.25
2025-03-07,Friday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),31.62,5.39
2025-03-08,Saturday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),31.62,5.38
2025-03-09,Sunday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),31.61,5.38
2025-03-10,Monday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),31.61,5.36
2025-03-11,Tuesday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),31.61,5.38
2025-03-12,Wednesday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),31.61,5.38
2025-03-13,Thursday,Mashrooms,Thathakapatti(Uzhavar Sandhai ),31.61,5.37
2025-03-07,Friday,Mashrooms,Athur(Uzhavar Sandhai ),32.09,6.96
2025-03-08,Saturday,Mashrooms,Athur(Uzhavar Sandhai ),32.09,6.96
2025-03-09,Sunday,Mashrooms,Athur(Uzhavar Sandhai ),32.09,6.96
2025-03-10,Monday,Mashrooms,Athur(Uzhavar Sandhai ),32.09,6.95
2025-03-11,Tuesday,Mashrooms,Athur(Uzhavar Sandhai ),32.09,6.96
2025-03-12,Wednesday,Mashrooms,Athur(Uzhavar Sandhai ),32.09,6.96
2025-03-13,Thursday,Mashrooms,Athur(Uzhavar Sandhai ),32.09,6.95
2025-03-07,Friday,Mashrooms,Elampillai(Uzhavar Sandhai ),41.59,3.98
2025-03-08,Saturday,Mashrooms,Elampillai(Uzhavar Sandhai ),41.59,3.98
2025-03-09,Sunday,Mashrooms,Elampillai(Uzhavar Sandhai ),41.59,3.98
2025-03-10,Monday,Mashrooms,Elampillai(Uzhavar Sandhai ),41.59,3.97
2025-03-11,Tuesday,Mashrooms,Elampillai(Uzhavar Sandhai ),41.59,3.98
2025-03-12,Wednesday,Mashrooms,Elampillai(Uzhavar Sandhai ),41.59,3.98
2025-03-13,Thursday,Mashrooms,Elampillai(Uzhavar Sandhai ),41.59,3.98
2025-03-07,Friday,Mashrooms,Edapadi (Uzhavar Sandhai ),37.04,5.84
2025-03-08,Saturday,Mashrooms,Edapadi (Uzhavar Sandhai ),37.04,5.84
2025-03-09,Sunday,Mashrooms,Edapadi (Uzhavar Sandhai ),37.04,5.84
2025-03-10,Monday,Mashrooms,Edapadi (Uzhavar Sandhai ),37.04,5.83
2025-03-11,Tuesday,Mashrooms,Edapadi (Uzhavar Sandhai ),37.04,5.84
2025-03-12,Wednesday,Mashrooms,Edapadi (Uzhavar Sandhai ),37.04,5.84
2025-03-13,Thursday,Mashrooms,Edapadi (Uzhavar Sandhai ),37.04,5.84
