Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),26.93,7.72
2025-03-08,Saturday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),26.93,7.7
2025-03-09,Sunday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),26.92,7.7
2025-03-10,Monday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),26.92,7.69
2025-03-11,Tuesday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),26.92,7.7
2025-03-12,Wednesday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),26.92,7.7
2025-03-13,Thursday,Mint(Pudina),Ammapet(Uzhavar Sandhai ),26.92,7.69
2025-03-07,Friday,Mint(Pudina),Athur(Uzhavar Sandhai ),31.76,5.87
2025-03-08,Saturday,Mint(Pudina),Athur(Uzhavar Sandhai ),31.76,5.86
2025-03-09,Sunday,Mint(Pudina),Athur(Uzhavar Sandhai ),31.76,5.86
2025-03-10,Monday,Mint(Pudina),Athur(Uzhavar Sandhai ),31.76,5.86
2025-03-11,Tuesday,Mint(Pudina),Athur(Uzhavar Sandhai ),31.76,5.86
2025-03-12,Wednesday,Mint(Pudina),Athur(Uzhavar Sandhai ),31.76,5.86
2025-03-13,Thursday,Mint(Pudina),Athur(Uzhavar Sandhai ),31.76,5.86
2025-03-07,Friday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),27.64,10.55
2025-03-08,Saturday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),27.63,10.54
2025-03-09,Sunday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),27.63,10.54
2025-03-10,Monday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),27.63,10.53
2025-03-11,Tuesday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),27.63,10.54
2025-03-12,Wednesday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),27.63,10.54
2025-03-13,Thursday,Mint(Pudina),Attayampatti(Uzhavar Sandhai ),27.63,10.54
2025-03-07,Friday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),27.05,8.21
2025-03-08,Saturday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),27.05,8.22
2025-03-09,Sunday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),27.05,8.21
2025-03-10,Monday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),27.05,8.2
2025-03-11,Tuesday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),27.05,8.21
2025-03-12,Wednesday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),27.05,8.22
2025-03-13,Thursday,Mint(Pudina),Edapadi (Uzhavar Sandhai ),27.05,8.22
2025-03-07,Friday,Mint(Pudina),Elampillai(Uzhavar Sandhai ),41.26,3.14
2025-03-08,Saturday,Mint(Pudina),Elampillai(Uzhavar Sandhai ),41.26,3.14
2025-03-09,Sunday,Mint(Pudina),Elampillai(Uzhavar Sandhai ),41.26,3.14
2025-03-10,Monday,Mint(Pudina),Elampillai(Uzhavar Sandhai ),41.25,3.13
2025-03-11,Tuesday,Mint(Pudina),Elampillai(Uzhavar Sandhai ),41.26,3.14
2025-03-12,Wednesday,Mint(Pudina),Elampillai(Uzhavar Sandhai ),41.25,3.14
2025-03-13,Thursday,Mint(Pudina),Elampillai(Uzhavar Sandhai ),41.26,3.14
2025-03-07,Friday,Mint(Pudina),Hasthampatti(Uzhavar Sandhai ),26.74,6.95
2025-03-08,Saturday,Mint(Pudina),Hasthampatti(Uzhavar Sandhai ),26.73,6.93
2025-03-09,Sunday,Mint(Pudina),Hasthampatti(Uzhavar Sandhai ),26.73,6.93
2025-03-10,Monday,Mint(Pudina),Hasthampatti(Uzhavar Sandhai ),26.73,6.93
