Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Mousambi(Sweet Lime),Ammapet(Uzhavar Sandhai ),30.95,3.17
2025-03-08,Saturday,Mousambi(Sweet Lime),Ammapet(Uzhavar Sandhai ),30.95,3.17
2025-03-09,Sunday,Mousambi(Sweet Lime),Ammapet(Uzhavar Sandhai ),30.95,3.16
2025-03-10,Monday,Mousambi(Sweet Lime),Ammapet(Uzhavar Sandhai ),30.94,3.15
2025-03-11,Tuesday,Mousambi(Sweet Lime),Ammapet(Uzhavar Sandhai ),30.95,3.16
2025-03-12,Wednesday,Mousambi(Sweet Lime),Ammapet(Uzhavar Sandhai ),30.95,3.16
2025-03-13,Thursday,Mousambi(Sweet Lime),Ammapet(Uzhavar Sandhai ),30.95,3.16
2025-03-07,Friday,Mousambi(Sweet Lime),Athur(Uzhavar Sandhai ),31.18,3.93
2025-03-08,Saturday,Mousambi(Sweet Lime),Athur(Uzhavar Sandhai ),31.18,3.93
2025-03-09,Sunday,Mousambi(Sweet Lime),Athur(Uzhavar Sandhai ),31.18,3.92
2025-03-10,Monday,Mousambi(Sweet Lime),Athur(Uzhavar Sandhai ),31.17,3.91
2025-03-11,Tuesday,Mousambi(Sweet Lime),Athur(Uzhavar Sandhai ),31.17,3.91
2025-03-12,Wednesday,Mousambi(Sweet Lime),Athur(Uzhavar Sandhai ),31.17,3.9
2025-03-13,Thursday,Mousambi(Sweet Lime),Athur(Uzhavar Sandhai ),31.17,3.9
2025-03-07,Friday,Mousambi(Sweet Lime),Hasthampatti(Uzhavar Sandhai ),80.56,0.7
2025-03-08,Saturday,Mousambi(Sweet Lime),Hasthampatti(Uzhavar Sandhai ),80.56,0.7
2025-03-09,Sunday,Mousambi(Sweet Lime),Hasthampatti(Uzhavar Sandhai ),80.56,0.7
2025-03-10,Monday,Mousambi(Sweet Lime),Hasthampatti(Uzhavar Sandhai ),80.56,0.7
2025-03-11,Tuesday,Mousambi(Sweet Lime),Hasthampatti(Uzhavar Sandhai ),80.56,0.7
2025-03-12,Wednesday,Mousambi(Sweet Lime),Hasthampatti(Uzhavar Sandhai ),80.56,0.7
2025-03-13,Thursday,Mousambi(Sweet Lime),Hasthampatti(Uzhavar Sandhai ),80.56,0.7
2025-03-07,Friday,Mousambi(Sweet Lime),Sooramangalam(Uzhavar Sandhai ),80.68,0.85
2025-03-08,Saturday,Mousambi(Sweet Lime),Sooramangalam(Uzhavar Sandhai ),80.68,0.85
2025-03-09,Sunday,Mousambi(Sweet Lime),Sooramangalam(Uzhavar Sandhai ),80.68,0.86
2025-03-10,Monday,Mousambi(Sweet Lime),Sooramangalam(Uzhavar Sandhai ),80.68,0.86
2025-03-11,Tuesday,Mousambi(Sweet Lime),Sooramangalam(Uzhavar Sandhai ),80.68,0.85
2025-03-12,Wednesday,Mousambi(Sweet Lime),Sooramangalam(Uzhavar Sandhai ),80.68,0.85
2025-03-13,Thursday,Mousambi(Sweet Lime),Sooramangalam(Uzhavar Sandhai ),80.68,0.85
2025-03-07,Friday,Mousambi(Sweet Lime),Thammampatti (Uzhavar Sandhai ),31.06,3.54
2025-03-08,Saturday,Mousambi(Sweet Lime),Thammampatti (Uzhavar Sandhai ),31.06,3.54
2025-03-09,Sunday,Mousambi(Sweet Lime),Thammampatti (Uzhavar Sandhai ),31.06,3.54
2025-03-10,Monday,Mousambi(Sweet Lime),Thammampatti (Uzhavar Sandhai ),31.06,3.52
2025-03-11,Tuesday,Mousambi(Sweet Lime),Thammampatti (Uzhavar Sandhai ),31.06,3.54
2025-03-12,Wednesday,Mousambi(Sweet Lime),Thammampatti (Uzhavar Sandhai ),31.06,3.53
2025-03-13,Thursday,Mousambi(Sweet Lime),Thammampatti (Uzhavar Sandhai ),31.06,3.53
2025-03-07,Friday,Mousambi(Sweet Lime),Thathakapatti(Uzhavar Sandhai ),41.16,2.91
2025-03-08,Saturday,Mousambi(Sweet Lime),Thathakapatti(Uzhavar Sandhai ),41.16,2.91
2025-03-09,Sunday,Mousambi(Sweet Lime),Thathakapatti(Uzhavar Sandhai ),41.16,2.9
2025-03-10,Monday,Mousambi(Sweet Lime),Thathakapatti(Uzhavar Sandhai ),41.16,2.9
2025-03-11,Tuesday,Mousambi(Sweet Lime),Thathakapatti(Uzhavar Sandhai ),41.16,2.9
2025-03-12,Wednesday,Mousambi(Sweet Lime),Thathakapatti(Uzhavar Sandhai ),41.16,2.9
2025-03-13,Thursday,Mousambi(Sweet Lime),Thathakapatti(Uzhavar Sandhai ),41.16,2.9
2025-03-07,Friday,Mousambi(Sweet Lime),Attayampatti(Uzhavar Sandhai ),30.64,2.13
2025-03-08,Saturday,Mousambi(Sweet Lime),Attayampatti(Uzhavar Sandhai ),30.64,2.13
2025-03-09,Sunday,Mousambi(Sweet Lime),Attayampatti(Uzhavar Sandhai ),30.64,2.13
2025-03-10,Monday,Mousambi(Sweet Lime),Attayampatti(Uzhavar Sandhai ),30.63,2.11
2025-03-11,Tuesday,Mousambi(Sweet Lime),Attayampatti(Uzhavar Sandhai ),30.64,2.12
2025-03-12,Wednesday,Mousambi(Sweet Lime),Attayampatti(Uzhavar Sandhai ),30.64,2.12
2025-03-13,Thursday,Mousambi(Sweet Lime),Attayampatti(Uzhavar Sandhai ),30.64,2.12
