Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Onion,Ammapet(Uzhavar Sandhai ),50.29,0.59
2025-03-08,Saturday,Onion,Ammapet(Uzhavar Sandhai ),50.29,0.59
2025-03-09,Sunday,Onion,Ammapet(Uzhavar Sandhai ),50.29,0.59
2025-03-10,Monday,Onion,Ammapet(Uzhavar Sandhai ),50.29,0.58
2025-03-11,Tuesday,Onion,Ammapet(Uzhavar Sandhai ),50.29,0.59
2025-03-12,Wednesday,Onion,Ammapet(Uzhavar Sandhai ),50.29,0.59
2025-03-13,Thursday,Onion,Ammapet(Uzhavar Sandhai ),50.29,0.59
2025-03-07,Friday,Onion,Athur(Uzhavar Sandhai ),51.03,2.07
2025-03-08,Saturday,Onion,Athur(Uzhavar Sandhai ),51.04,2.07
2025-03-09,Sunday,Onion,Athur(Uzhavar Sandhai ),51.04,2.07
2025-03-10,Monday,Onion,Athur(Uzhavar Sandhai ),51.03,2.07
2025-03-11,Tuesday,Onion,Athur(Uzhavar Sandhai ),51.04,2.08
2025-03-12,Wednesday,Onion,Athur(Uzhavar Sandhai ),51.04,2.07
2025-03-13,Thursday,Onion,Athur(Uzhavar Sandhai ),51.04,2.07
2025-03-07,Friday,Onion,Attayampatti(Uzhavar Sandhai ),50.99,1.98
2025-03-08,Saturday,Onion,Attayampatti(Uzhavar Sandhai ),50.99,1.98
2025-03-09,Sunday,Onion,Attayampatti(Uzhavar Sandhai ),50.99,1.98
2025-03-10,Monday,Onion,Attayampatti(Uzhavar Sandhai ),50.98,1.97
2025-03-11,Tuesday,Onion,Attayampatti(Uzhavar Sandhai ),50.98,1.97
2025-03-12,Wednesday,Onion,Attayampatti(Uzhavar Sandhai ),50.99,1.97
2025-03-13,Thursday,Onion,Attayampatti(Uzhavar Sandhai ),50.99,1.97
2025-03-07,Friday,Onion,Edapadi (Uzhavar Sandhai ),51.12,2.24
2025-03-08,Saturday,Onion,Edapadi (Uzhavar Sandhai ),51.12,2.24
2025-03-09,Sunday,Onion,Edapadi (Uzhavar Sandhai ),51.12,2.24
2025-03-10,Monday,Onion,Edapadi (Uzhavar Sandhai ),51.12,2.23
2025-03-11,Tuesday,Onion,Edapadi (Uzhavar Sandhai ),51.12,2.24
2025-03-12,Wednesday,Onion,Edapadi (Uzhavar Sandhai ),51.12,2.24
2025-03-13,Thursday,Onion,Edapadi (Uzhavar Sandhai ),51.12,2.25
2025-03-07,Friday,Onion,Elampillai(Uzhavar Sandhai ),50.99,1.98
2025-03-08,Saturday,Onion,Elampillai(Uzhavar Sandhai ),50.99,1.98
2025-03-09,Sunday,Onion,Elampillai(Uzhavar Sandhai ),50.99,1.98
2025-03-10,Monday,Onion,Elampillai(Uzhavar Sandhai ),50.99,1.97
2025-03-11,Tuesday,Onion,Elampillai(Uzhavar Sandhai ),50.99,1.98
2025-03-12,Wednesday,Onion,Elampillai(Uzhavar Sandhai ),50.99,1.98
2025-03-13,Thursday,Onion,Elampillai(Uzhavar Sandhai ),50.99,1.98
2025-03-07,Friday,Onion,Hasthampatti(Uzhavar Sandhai ),50.22,0.44
2025-03-08,Saturday,Onion,Hasthampatti(Uzhavar Sandhai ),50.22,0.44
2025-03-09,Sunday,Onion,Hasthampatti(Uzhavar Sandhai ),50.22,0.44
2025-03-10,Monday,Onion,Hasthampatti(Uzhavar Sandhai ),50.22,0.44
2025-03-11,Tuesday,Onion,Hasthampatti(Uzhavar Sandhai ),50.22,0.43
2025-03-12,Wednesday,Onion,Hasthampatti(Uzhavar Sandhai ),50.22,0.43
2025-03-13,Thursday,Onion,Hasthampatti(Uzhavar Sandhai ),50.22,0.43
2025-03-07,Friday,Onion,Jalagandapuram(Uzhavar Sandhai ),49.23,2.57
2025-03-08,Saturday,Onion,Jalagandapuram(Uzhavar Sandhai ),49.23,2.57
2025-03-09,Sunday,Onion,Jalagandapuram(Uzhavar Sandhai ),49.23,2.57
2025-03-10,Monday,Onion,Jalagandapuram(Uzhavar Sandhai ),49.22,2.55
