Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Onion Green,Ammapet(Uzhavar Sandhai ),46.09,2.43
2025-03-08,Saturday,Onion Green,Ammapet(Uzhavar Sandhai ),46.09,2.43
2025-03-09,Sunday,Onion Green,Ammapet(Uzhavar Sandhai ),46.09,2.43
2025-03-10,Monday,Onion Green,Ammapet(Uzhavar Sandhai ),46.08,2.4
2025-03-11,Tuesday,Onion Green,Ammapet(Uzhavar Sandhai ),46.08,2.41
2025-03-12,Wednesday,Onion Green,Ammapet(Uzhavar Sandhai ),46.09,2.43
2025-03-13,Thursday,Onion Green,Ammapet(Uzhavar Sandhai ),46.09,2.42
2025-03-07,Friday,Onion Green,Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-08,Saturday,Onion Green,Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-09,Sunday,Onion Green,Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-10,Monday,Onion Green,Athur(Uzhavar Sandhai ),41.36,3.4
2025-03-11,Tuesday,Onion Green,Athur(Uzhavar Sandhai ),41.36,3.4
2025-03-12,Wednesday,Onion Green,Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-13,Thursday,Onion Green,Athur(Uzhavar Sandhai ),41.36,3.41
2025-03-07,Friday,Onion Green,Attayampatti(Uzhavar Sandhai ),46.01,2.24
2025-03-08,Saturday,Onion Green,Attayampatti(Uzhavar Sandhai ),46.01,2.23
2025-03-09,Sunday,Onion Green,Attayampatti(Uzhavar Sandhai ),46.01,2.23
2025-03-10,Monday,Onion Green,Attayampatti(Uzhavar Sandhai ),46.0,2.21
2025-03-11,Tuesday,Onion Green,Attayampatti(Uzhavar Sandhai ),46.0,2.22
2025-03-12,Wednesday,Onion Green,Attayampatti(Uzhavar Sandhai ),46.0,2.23
2025-03-13,Thursday,Onion Green,Attayampatti(Uzhavar Sandhai ),46.0,2.23
2025-03-07,Friday,Onion Green,Edapadi (Uzhavar Sandhai ),46.23,2.74
2025-03-08,Saturday,Onion Green,Edapadi (Uzhavar Sandhai ),46.23,2.74
2025-03-09,Sunday,Onion Green,Edapadi (Uzhavar Sandhai ),46.23,2.74
2025-03-10,Monday,Onion Green,Edapadi (Uzhavar Sandhai ),46.22,2.72
2025-03-11,Tuesday,Onion Green,Edapadi (Uzhavar Sandhai ),46.23,2.73
2025-03-12,Wednesday,Onion Green,Edapadi (Uzhavar Sandhai ),46.23,2.74
2025-03-13,Thursday,Onion Green,Edapadi (Uzhavar Sandhai ),46.23,2.74
2025-03-07,Friday,Onion Green,Elampillai(Uzhavar Sandhai ),50.92,1.85
2025-03-08,Saturday,Onion Green,Elampillai(Uzhavar Sandhai ),50.92,1.85
2025-03-09,Sunday,Onion Green,Elampillai(Uzhavar Sandhai ),50.92,1.85
2025-03-10,Monday,Onion Green,Elampillai(Uzhavar Sandhai ),50.91,1.83
2025-03-11,Tuesday,Onion Green,Elampillai(Uzhavar Sandhai ),50.92,1.84
2025-03-12,Wednesday,Onion Green,Elampillai(Uzhavar Sandhai ),50.92,1.84
2025-03-13,Thursday,Onion Green,Elampillai(Uzhavar Sandhai ),50.92,1.84
2025-03-07,Friday,Onion Green,Hasthampatti(Uzhavar Sandhai ),45.07,0.16
2025-03-08,Saturday,Onion Green,Hasthampatti(Uzhavar Sandhai ),45.07,0.15
2025-03-09,Sunday,Onion Green,Hasthampatti(Uzhavar Sandhai ),45.07,0.16
2025-03-10,Monday,Onion Green,Hasthampatti(Uzhavar Sandhai ),45.07,0.15
2025-03-11,Tuesday,Onion Green,Hasthampatti(Uzhavar Sandhai ),45.07,0.16
2025-03-12,Wednesday,Onion Green,Hasthampatti(Uzhavar Sandhai ),45.07,0.16
2025-03-13,Thursday,Onion Green,Hasthampatti(Uzhavar Sandhai ),45.07,0.15
2025-03-07,Friday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),46.08,2.39
2025-03-08,Saturday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),46.08,2.39
2025-03-09,Sunday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),46.08,2.39
2025-03-10,Monday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),46.07,2.37
2025-03-11,Tuesday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),46.07,2.38
2025-03-12,Wednesday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),46.08,2.39
2025-03-13,Thursday,Onion Green,Jalagandapuram(Uzhavar Sandhai ),46.07,2.38
2025-03-07,Friday,Onion Green,Mettur(Uzhavar Sandhai ),50.78,1.57
2025-03-08,Saturday,Onion Green,Mettur(Uzhavar Sandhai ),50.79,1.57
2025-03-09,Sunday,Onion Green,Mettur(Uzhavar Sandhai ),50.79,1.57
2025-03-10,Monday,Onion Green,Mettur(Uzhavar Sandhai ),50.78,1.56
2025-03-11,Tuesday,Onion Green,Mettur(Uzhavar Sandhai ),50.78,1.56
2025-03-12,Wednesday,Onion Green,Mettur(Uzhavar Sandhai ),50.78,1.57
2025-03-13,Thursday,Onion Green,Mettur(Uzhavar Sandhai ),50.78,1.57
2025-03-07,Friday,Onion Green,Sooramangalam(Uzhavar Sandhai ),45.0,0.01
2025-03-08,Saturday,Onion Green,Sooramangalam(Uzhavar Sandhai ),45.0,-0.0
2025-03-09,Sunday,Onion Green,Sooramangalam(Uzhavar Sandhai ),45.0,0.0
2025-03-10,Monday,Onion Green,Sooramangalam(Uzhavar Sandhai ),45.0,-0.0
2025-03-11,Tuesday,Onion Green,Sooramangalam(Uzhavar Sandhai ),45.0,-0.0
2025-03-12,Wednesday,Onion Green,Sooramangalam(Uzhavar Sandhai ),45.0,0.0
2025-03-13,Thursday,Onion Green,Sooramangalam(Uzhavar Sandhai ),45.0,-0.0
2025-03-07,Friday,Onion Green,Thammampatti (Uzhavar Sandhai ),47.11,2.42
2025-03-08,Saturday,Onion Green,Thammampatti (Uzhavar Sandhai ),47.12,2.43
2025-03-09,Sunday,Onion Green,Thammampatti (Uzhavar Sandhai ),47.12,2.43
2025-03-10,Monday,Onion Green,Thammampatti (Uzhavar Sandhai ),47.1,2.4
2025-03-11,Tuesday,Onion Green,Thammampatti (Uzhavar Sandhai ),47.11,2.41
2025-03-12,Wednesday,Onion Green,Thammampatti (Uzhavar Sandhai ),47.12,2.43
2025-03-13,Thursday,Onion Green,Thammampatti (Uzhavar Sandhai ),47.12,2.42
2025-03-07,Friday,Onion Green,Thathakapatti(Uzhavar Sandhai ),44.94,-0.13
2025-03-08,Saturday,Onion Green,Thathakapatti(Uzhavar Sandhai ),44.94,-0.14
2025-03-09,Sunday,Onion Green,Thathakapatti(Uzhavar Sandhai ),44.94,-0.13
2025-03-10,Monday,Onion Green,Thathakapatti(Uzhavar Sandhai ),44.94,-0.14
2025-03-11,Tuesday,Onion Green,Thathakapatti(Uzhavar Sandhai ),44.94,-0.14
2025-03-12,Wednesday,Onion Green,Thathakapatti(Uzhavar Sandhai ),44.94,-0.14
2025-03-13,Thursday,Onion Green,Thathakapatti(Uzhavar Sandhai ),44.94,-0.14
