Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Orange,Ammapet(Uzhavar Sandhai ),80.33,0.41
2025-03-08,Saturday,Orange,Ammapet(Uzhavar Sandhai ),80.33,0.41
2025-03-09,Sunday,Orange,Ammapet(Uzhavar Sandhai ),80.33,0.41
2025-03-10,Monday,Orange,Ammapet(Uzhavar Sandhai ),80.32,0.4
2025-03-11,Tuesday,Orange,Ammapet(Uzhavar Sandhai ),80.33,0.41
2025-03-12,Wednesday,Orange,Ammapet(Uzhavar Sandhai ),80.33,0.41
2025-03-13,Thursday,Orange,Ammapet(Uzhavar Sandhai ),80.33,0.41
2025-03-07,Friday,Orange,Hasthampatti(Uzhavar Sandhai ),79.99,-0.01
2025-03-08,Saturday,Orange,Hasthampatti(Uzhavar Sandhai ),79.99,-0.01
2025-03-09,Sunday,Orange,Hasthampatti(Uzhavar Sandhai ),79.99,-0.01
2025-03-10,Monday,Orange,Hasthampatti(Uzhavar Sandhai ),79.98,-0.02
2025-03-11,Tuesday,Orange,Hasthampatti(Uzhavar Sandhai ),79.99,-0.02
2025-03-12,Wednesday,Orange,Hasthampatti(Uzhavar Sandhai ),79.99,-0.01
2025-03-13,Thursday,Orange,Hasthampatti(Uzhavar Sandhai ),79.99,-0.01
2025-03-07,Friday,Orange,Mettur(Uzhavar Sandhai ),80.35,0.43
2025-03-08,Saturday,Orange,Mettur(Uzhavar Sandhai ),80.35,0.43
2025-03-09,Sunday,Orange,Mettur(Uzhavar Sandhai ),80.34,0.43
2025-03-10,Monday,Orange,Mettur(Uzhavar Sandhai ),80.34,0.43
2025-03-11,Tuesday,Orange,Mettur(Uzhavar Sandhai ),80.34,0.43
2025-03-12,Wednesday,Orange,Mettur(Uzhavar Sandhai ),80.34,0.43
2025-03-13,Thursday,Orange,Mettur(Uzhavar Sandhai ),80.34,0.43
2025-03-07,Friday,Orange,Sooramangalam(Uzhavar Sandhai ),80.0,0.0
2025-03-08,Saturday,Orange,Sooramangalam(Uzhavar Sandhai ),80.0,0.0
2025-03-09,Sunday,Orange,Sooramangalam(Uzhavar Sandhai ),80.0,0.0
2025-03-10,Monday,Orange,Sooramangalam(Uzhavar Sandhai ),80.0,-0.0
2025-03-11,Tuesday,Orange,Sooramangalam(Uzhavar Sandhai ),80.0,-0.0
2025-03-12,Wednesday,Orange,Sooramangalam(Uzhavar Sandhai ),80.0,-0.0
2025-03-13,Thursday,Orange,Sooramangalam(Uzhavar Sandhai ),80.0,-0.0
2025-03-07,Friday,Orange,Jalagandapuram(Uzhavar Sandhai ),60.81,1.36
2025-03-08,Saturday,Orange,Jalagandapuram(Uzhavar Sandhai ),60.81,1.35
2025-03-09,Sunday,Orange,Jalagandapuram(Uzhavar Sandhai ),60.81,1.35
2025-03-10,Monday,Orange,Jalagandapuram(Uzhavar Sandhai ),60.8,1.34
2025-03-11,Tuesday,Orange,Jalagandapuram(Uzhavar Sandhai ),60.81,1.34
2025-03-12,Wednesday,Orange,Jalagandapuram(Uzhavar Sandhai ),60.81,1.35
2025-03-13,Thursday,Orange,Jalagandapuram(Uzhavar Sandhai ),60.81,1.35
2025-03-07,Friday,Orange,Thammampatti (Uzhavar Sandhai ),31.24,4.13
2025-03-08,Saturday,Orange,Thammampatti (Uzhavar Sandhai ),31.24,4.13
2025-03-09,Sunday,Orange,Thammampatti (Uzhavar Sandhai ),31.24,4.14
2025-03-10,Monday,Orange,Thammampatti (Uzhavar Sandhai ),31.23,4.1
2025-03-11,Tuesday,Orange,Thammampatti (Uzhavar Sandhai ),31.23,4.11
2025-03-12,Wednesday,Orange,Thammampatti (Uzhavar Sandhai ),31.24,4.12
2025-03-13,Thursday,Orange,Thammampatti (Uzhavar Sandhai ),31.24,4.12
