Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Paddy(Dhan)(Common),Thammampati,29.46,51.07
2025-03-08,Saturday,Paddy(Dhan)(Common),Thammampati,29.46,51.07
2025-03-09,Sunday,Paddy(Dhan)(Common),Thammampati,29.46,51.07
2025-03-10,Monday,Paddy(Dhan)(Common),Thammampati,29.45,51.04
2025-03-11,Tuesday,Paddy(Dhan)(Common),Thammampati,29.46,51.06
2025-03-12,Wednesday,Paddy(Dhan)(Common),Thammampati,29.45,51.05
2025-03-13,Thursday,Paddy(Dhan)(Common),Thammampati,29.45,51.04
2025-03-07,Friday,Paddy(Dhan)(Common),Karumanturai,34.03,137.01
2025-03-08,Saturday,Paddy(Dhan)(Common),Karumanturai,34.03,137.0
2025-03-09,Sunday,Paddy(Dhan)(Common),Karumanturai,34.03,137.0
2025-03-10,Monday,Paddy(Dhan)(Common),Karumanturai,34.03,136.96
2025-03-11,Tuesday,Paddy(Dhan)(Common),Karumanturai,34.03,137.0
2025-03-12,Wednesday,Paddy(Dhan)(Common),Karumanturai,34.03,136.99
2025-03-13,Thursday,Paddy(Dhan)(Common),Karumanturai,34.03,136.99
2025-03-07,Friday,Paddy(Dhan)(Common),Thalaivasal,17.65,47.09
2025-03-08,Saturday,Paddy(Dhan)(Common),Thalaivasal,17.65,47.08
2025-03-09,Sunday,Paddy(Dhan)(Common),Thalaivasal,17.65,47.07
2025-03-10,Monday,Paddy(Dhan)(Common),Thalaivasal,17.63,46.96
2025-03-11,Tuesday,Paddy(Dhan)(Common),Thalaivasal,17.64,47.02
2025-03-12,Wednesday,Paddy(Dhan)(Common),Thalaivasal,17.64,47.02
2025-03-13,Thursday,Paddy(Dhan)(Common),Thalaivasal,17.64,47.02
