Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Papaya,Ammapet(Uzhavar Sandhai ),31.5,5.0
2025-03-08,Saturday,Papaya,Ammapet(Uzhavar Sandhai ),31.5,4.99
2025-03-09,Sunday,Papaya,Ammapet(Uzhavar Sandhai ),31.5,4.99
2025-03-10,Monday,Papaya,Ammapet(Uzhavar Sandhai ),31.49,4.98
2025-03-11,Tuesday,Papaya,Ammapet(Uzhavar Sandhai ),31.5,4.99
2025-03-12,Wednesday,Papaya,Ammapet(Uzhavar Sandhai ),31.5,5.0
2025-03-13,Thursday,Papaya,Ammapet(Uzhavar Sandhai ),31.5,4.99
2025-03-07,Friday,Papaya,Athur(Uzhavar Sandhai ),27.23,8.93
2025-03-08,Saturday,Papaya,Athur(Uzhavar Sandhai ),27.23,8.93
2025-03-09,Sunday,Papaya,Athur(Uzhavar Sandhai ),27.23,8.94
2025-03-10,Monday,Papaya,Athur(Uzhavar Sandhai ),27.23,8.93
2025-03-11,Tuesday,Papaya,Athur(Uzhavar Sandhai ),27.23,8.93
2025-03-12,Wednesday,Papaya,Athur(Uzhavar Sandhai ),27.23,8.92
2025-03-13,Thursday,Papaya,Athur(Uzhavar Sandhai ),27.23,8.92
2025-03-07,Friday,Papaya,Attayampatti(Uzhavar Sandhai ),31.85,6.16
2025-03-08,Saturday,Papaya,Attayampatti(Uzhavar Sandhai ),31.85,6.15
2025-03-09,Sunday,Papaya,Attayampatti(Uzhavar Sandhai ),31.85,6.15
2025-03-10,Monday,Papaya,Attayampatti(Uzhavar Sandhai ),31.84,6.14
2025-03-11,Tuesday,Papaya,Attayampatti(Uzhavar Sandhai ),31.84,6.14
2025-03-12,Wednesday,Papaya,Attayampatti(Uzhavar Sandhai ),31.84,6.15
2025-03-13,Thursday,Papaya,Attayampatti(Uzhavar Sandhai ),31.84,6.15
2025-03-07,Friday,Papaya,Edapadi (Uzhavar Sandhai ),31.96,6.55
2025-03-08,Saturday,Papaya,Edapadi (Uzhavar Sandhai ),31.97,6.55
2025-03-09,Sunday,Papaya,Edapadi (Uzhavar Sandhai ),31.97,6.55
2025-03-10,Monday,Papaya,Edapadi (Uzhavar Sandhai ),31.96,6.53
2025-03-11,Tuesday,Papaya,Edapadi (Uzhavar Sandhai ),31.96,6.54
2025-03-12,Wednesday,Papaya,Edapadi (Uzhavar Sandhai ),31.96,6.55
2025-03-13,Thursday,Papaya,Edapadi (Uzhavar Sandhai ),31.96,6.55
2025-03-07,Friday,Papaya,Elampillai(Uzhavar Sandhai ),31.89,6.3
2025-03-08,Saturday,Papaya,Elampillai(Uzhavar Sandhai ),31.89,6.31
2025-03-09,Sunday,Papaya,Elampillai(Uzhavar Sandhai ),31.89,6.31
2025-03-10,Monday,Papaya,Elampillai(Uzhavar Sandhai ),31.89,6.28
2025-03-11,Tuesday,Papaya,Elampillai(Uzhavar Sandhai ),31.89,6.3
2025-03-12,Wednesday,Papaya,Elampillai(Uzhavar Sandhai ),31.89,6.31
2025-03-13,Thursday,Papaya,Elampillai(Uzhavar Sandhai ),31.89,6.31
2025-03-07,Friday,Papaya,Hasthampatti(Uzhavar Sandhai ),36.32,3.78
2025-03-08,Saturday,Papaya,Hasthampatti(Uzhavar Sandhai ),36.32,3.78
2025-03-09,Sunday,Papaya,Hasthampatti(Uzhavar Sandhai ),36.32,3.78
2025-03-10,Monday,Papaya,Hasthampatti(Uzhavar Sandhai ),36.32,3.78
2025-03-11,Tuesday,Papaya,Hasthampatti(Uzhavar Sandhai ),36.32,3.78
2025-03-12,Wednesday,Papaya,Hasthampatti(Uzhavar Sandhai ),36.32,3.78
2025-03-13,Thursday,Papaya,Hasthampatti(Uzhavar Sandhai ),36.32,3.77
2025-03-07,Friday,Papaya,Jalagandapuram(Uzhavar Sandhai ),32.02,6.75
2025-03-08,Saturday,Papaya,Jalagandapuram(Uzhavar Sandhai ),32.02,6.74
2025-03-09,Sunday,Papaya,Jalagandapuram(Uzhavar Sandhai ),32.02,6.75
2025-03-10,Monday,Papaya,Jalagandapuram(Uzhavar Sandhai ),32.02,6.72
2025-03-11,Tuesday,Papaya,Jalagandapuram(Uzhavar Sandhai ),32.02,6.73
2025-03-12,Wednesday,Papaya,Jalagandapuram(Uzhavar Sandhai ),32.02,6.74
2025-03-13,Thursday,Papaya,Jalagandapuram(Uzhavar Sandhai ),32.02,6.74
2025-03-07,Friday,Papaya,Mettur(Uzhavar Sandhai ),32.1,6.99
2025-03-08,Saturday,Papaya,Mettur(Uzhavar Sandhai ),32.1,7.0
2025-03-09,Sunday,Papaya,Mettur(Uzhavar Sandhai ),32.1,7.0
2025-03-10,Monday,Papaya,Mettur(Uzhavar Sandhai ),32.1,6.99
2025-03-11,Tuesday,Papaya,Mettur(Uzhavar Sandhai ),32.1,7.0
2025-03-12,Wednesday,Papaya,Mettur(Uzhavar Sandhai ),32.1,6.99
2025-03-13,Thursday,Papaya,Mettur(Uzhavar Sandhai ),32.09,6.98
2025-03-07,Friday,Papaya,Sooramangalam(Uzhavar Sandhai ),36.24,3.54
2025-03-08,Saturday,Papaya,Sooramangalam(Uzhavar Sandhai ),36.24,3.54
2025-03-09,Sunday,Papaya,Sooramangalam(Uzhavar Sandhai ),36.24,3.54
2025-03-10,Monday,Papaya,Sooramangalam(Uzhavar Sandhai ),36.24,3.54
2025-03-11,Tuesday,Papaya,Sooramangalam(Uzhavar Sandhai ),36.24,3.54
2025-03-12,Wednesday,Papaya,Sooramangalam(Uzhavar Sandhai ),36.24,3.54
2025-03-13,Thursday,Papaya,Sooramangalam(Uzhavar Sandhai ),36.24,3.53
2025-03-07,Friday,Papaya,Thammampatti (Uzhavar Sandhai ),31.89,6.29
2025-03-08,Saturday,Papaya,Thammampatti (Uzhavar Sandhai ),31.89,6.29
2025-03-09,Sunday,Papaya,Thammampatti (Uzhavar Sandhai ),31.89,6.29
2025-03-10,Monday,Papaya,Thammampatti (Uzhavar Sandhai ),31.88,6.27
2025-03-11,Tuesday,Papaya,Thammampatti (Uzhavar Sandhai ),31.89,6.29
2025-03-12,Wednesday,Papaya,Thammampatti (Uzhavar Sandhai ),31.89,6.29
2025-03-13,Thursday,Papaya,Thammampatti (Uzhavar Sandhai ),31.89,6.29
2025-03-07,Friday,Papaya,Thathakapatti(Uzhavar Sandhai ),36.42,4.05
2025-03-08,Saturday,Papaya,Thathakapatti(Uzhavar Sandhai ),36.42,4.04
2025-03-09,Sunday,Papaya,Thathakapatti(Uzhavar Sandhai ),36.42,4.04
2025-03-10,Monday,Papaya,Thathakapatti(Uzhavar Sandhai ),36.42,4.04
2025-03-11,Tuesday,Papaya,Thathakapatti(Uzhavar Sandhai ),36.42,4.05
2025-03-12,Wednesday,Papaya,Thathakapatti(Uzhavar Sandhai ),36.41,4.04
2025-03-13,Thursday,Papaya,Thathakapatti(Uzhavar Sandhai ),36.41,4.03
