Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Potato,Ammapet(Uzhavar Sandhai ),46.41,3.14
2025-03-08,Saturday,Potato,Ammapet(Uzhavar Sandhai ),46.41,3.14
2025-03-09,Sunday,Potato,Ammapet(Uzhavar Sandhai ),46.41,3.14
2025-03-10,Monday,Potato,Ammapet(Uzhavar Sandhai ),46.41,3.13
2025-03-11,Tuesday,Potato,Ammapet(Uzhavar Sandhai ),46.42,3.15
2025-03-12,Wednesday,Potato,Ammapet(Uzhavar Sandhai ),46.42,3.15
2025-03-13,Thursday,Potato,Ammapet(Uzhavar Sandhai ),46.42,3.15
2025-03-07,Friday,Potato,Athur(Uzhavar Sandhai ),46.22,2.7
2025-03-08,Saturday,Potato,Athur(Uzhavar Sandhai ),46.22,2.71
2025-03-09,Sunday,Potato,Athur(Uzhavar Sandhai ),46.22,2.7
2025-03-10,Monday,Potato,Athur(Uzhavar Sandhai ),46.21,2.7
2025-03-11,Tuesday,Potato,Athur(Uzhavar Sandhai ),46.22,2.71
2025-03-12,Wednesday,Potato,Athur(Uzhavar Sandhai ),46.22,2.71
2025-03-13,Thursday,Potato,Athur(Uzhavar Sandhai ),46.22,2.71
2025-03-07,Friday,Potato,Attayampatti(Uzhavar Sandhai ),44.62,11.55
2025-03-08,Saturday,Potato,Attayampatti(Uzhavar Sandhai ),44.62,11.56
2025-03-09,Sunday,Potato,Attayampatti(Uzhavar Sandhai ),44.62,11.56
2025-03-10,Monday,Potato,Attayampatti(Uzhavar Sandhai ),44.62,11.55
2025-03-11,Tuesday,Potato,Attayampatti(Uzhavar Sandhai ),44.62,11.56
2025-03-12,Wednesday,Potato,Attayampatti(Uzhavar Sandhai ),44.63,11.56
2025-03-13,Thursday,Potato,Attayampatti(Uzhavar Sandhai ),44.63,11.57
