Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Ragi (Finger Millet),Kolathur,38.46,1.2
2025-03-08,Saturday,Ragi (Finger Millet),Kolathur,38.45,1.19
2025-03-09,Sunday,Ragi (Finger Millet),Kolathur,38.45,1.19
2025-03-10,Monday,Ragi (Finger Millet),Kolathur,38.45,1.18
2025-03-11,Tuesday,Ragi (Finger Millet),Kolathur,38.45,1.19
2025-03-12,Wednesday,Ragi (Finger Millet),Kolathur,38.45,1.18
2025-03-13,Thursday,Ragi (Finger Millet),Kolathur,38.45,1.18
2025-03-07,Friday,Ragi (Finger Millet),Kadaiyampatti,44.52,29.05
2025-03-08,Saturday,Ragi (Finger Millet),Kadaiyampatti,44.52,29.04
2025-03-09,Sunday,Ragi (Finger Millet),Kadaiyampatti,44.52,29.04
2025-03-10,Monday,Ragi (Finger Millet),Kadaiyampatti,44.51,29.01
2025-03-11,Tuesday,Ragi (Finger Millet),Kadaiyampatti,44.51,29.03
2025-03-12,Wednesday,Ragi (Finger Millet),Kadaiyampatti,44.52,29.04
2025-03-13,Thursday,Ragi (Finger Millet),Kadaiyampatti,44.52,29.04
2025-03-07,Friday,Ragi (Finger Millet),Thammampati,70.56,85.67
2025-03-08,Saturday,Ragi (Finger Millet),Thammampati,70.56,85.67
2025-03-09,Sunday,Ragi (Finger Millet),Thammampati,70.55,85.67
2025-03-10,Monday,Ragi (Finger Millet),Thammampati,70.55,85.65
2025-03-11,Tuesday,Ragi (Finger Millet),Thammampati,70.55,85.66
2025-03-12,Wednesday,Ragi (Finger Millet),Thammampati,70.55,85.66
2025-03-13,Thursday,Ragi (Finger Millet),Thammampati,70.55,85.66
2025-03-07,Friday,Ragi (Finger Millet),Thalaivasal,67.23,86.75
2025-03-08,Saturday,Ragi (Finger Millet),Thalaivasal,67.23,86.75
2025-03-09,Sunday,Ragi (Finger Millet),Thalaivasal,67.23,86.74
2025-03-10,Monday,Ragi (Finger Millet),Thalaivasal,67.22,86.72
2025-03-11,Tuesday,Ragi (Finger Millet),Thalaivasal,67.22,86.73
2025-03-12,Wednesday,Ragi (Finger Millet),Thalaivasal,67.22,86.73
2025-03-13,Thursday,Ragi (Finger Millet),Thalaivasal,67.22,86.73
