Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),31.46,4.87
2025-03-08,Saturday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),31.46,4.86
2025-03-09,Sunday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),31.46,4.86
2025-03-10,Monday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),31.45,4.84
2025-03-11,Tuesday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),31.46,4.85
2025-03-12,Wednesday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),31.46,4.85
2025-03-13,Thursday,Ridgeguard(Tori),Ammapet(Uzhavar Sandhai ),31.46,4.86
2025-03-07,Friday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),27.25,9.01
2025-03-08,Saturday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),27.25,9.01
2025-03-09,Sunday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),27.25,9.01
2025-03-10,Monday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),27.25,8.99
2025-03-11,Tuesday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),27.25,9.01
2025-03-12,Wednesday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),27.26,9.02
2025-03-13,Thursday,Ridgeguard(Tori),Athur(Uzhavar Sandhai ),27.26,9.02
2025-03-07,Friday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),31.9,6.33
2025-03-08,Saturday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),31.9,6.32
2025-03-09,Sunday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),31.9,6.32
2025-03-10,Monday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),31.89,6.29
2025-03-11,Tuesday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),31.89,6.31
2025-03-12,Wednesday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),31.89,6.32
2025-03-13,Thursday,Ridgeguard(Tori),Attayampatti(Uzhavar Sandhai ),31.89,6.32
2025-03-07,Friday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),32.01,6.71
2025-03-08,Saturday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),32.01,6.71
2025-03-09,Sunday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),32.01,6.71
2025-03-10,Monday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),32.01,6.69
2025-03-11,Tuesday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),32.01,6.7
2025-03-12,Wednesday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),32.01,6.71
2025-03-13,Thursday,Ridgeguard(Tori),Edapadi (Uzhavar Sandhai ),32.01,6.71
2025-03-07,Friday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),31.96,6.54
2025-03-08,Saturday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),31.96,6.54
2025-03-09,Sunday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),31.96,6.54
2025-03-10,Monday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),31.95,6.51
2025-03-11,Tuesday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),31.96,6.53
2025-03-12,Wednesday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),31.96,6.53
2025-03-13,Thursday,Ridgeguard(Tori),Elampillai(Uzhavar Sandhai ),31.96,6.53
2025-03-07,Friday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),36.36,3.87
2025-03-08,Saturday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),36.35,3.87
2025-03-09,Sunday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),36.35,3.87
2025-03-10,Monday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),36.35,3.85
2025-03-11,Tuesday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),36.35,3.86
2025-03-12,Wednesday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),36.35,3.86
2025-03-13,Thursday,Ridgeguard(Tori),Hasthampatti(Uzhavar Sandhai ),36.35,3.86
2025-03-07,Friday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),32.04,6.81
2025-03-08,Saturday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),32.04,6.8
2025-03-09,Sunday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),32.04,6.81
2025-03-10,Monday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),32.03,6.77
2025-03-11,Tuesday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),32.04,6.79
2025-03-12,Wednesday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),32.04,6.8
2025-03-13,Thursday,Ridgeguard(Tori),Jalagandapuram(Uzhavar Sandhai ),32.04,6.8
2025-03-07,Friday,Ridgeguard(Tori),Mettur(Uzhavar Sandhai ),32.03,6.76
2025-03-08,Saturday,Ridgeguard(Tori),Mettur(Uzhavar Sandhai ),32.03,6.76
2025-03-09,Sunday,Ridgeguard(Tori),Mettur(Uzhavar Sandhai ),32.03,6.76
2025-03-10,Monday,Ridgeguard(Tori),Mettur(Uzhavar Sandhai ),32.02,6.75
2025-03-11,Tuesday,Ridgeguard(Tori),Mettur(Uzhavar Sandhai ),32.03,6.76
2025-03-12,Wednesday,Ridgeguard(Tori),Mettur(Uzhavar Sandhai ),32.03,6.77
2025-03-13,Thursday,Ridgeguard(Tori),Mettur(Uzhavar Sandhai ),32.03,6.77
2025-03-07,Friday,Ridgeguard(Tori),Sooramangalam(Uzhavar Sandhai ),31.56,5.2
2025-03-08,Saturday,Ridgeguard(Tori),Sooramangalam(Uzhavar Sandhai ),31.56,5.19
2025-03-09,Sunday,Ridgeguard(Tori),Sooramangalam(Uzhavar Sandhai ),31.56,5.19
2025-03-10,Monday,Ridgeguard(Tori),Sooramangalam(Uzhavar Sandhai ),31.55,5.18
2025-03-11,Tuesday,Ridgeguard(Tori),Sooramangalam(Uzhavar Sandhai ),31.55,5.18
2025-03-12,Wednesday,Ridgeguard(Tori),Sooramangalam(Uzhavar Sandhai ),31.56,5.19
2025-03-13,Thursday,Ridgeguard(Tori),Sooramangalam(Uzhavar Sandhai ),31.56,5.19
2025-03-07,Friday,Ridgeguard(Tori),Thammampatti (Uzhavar Sandhai ),31.94,6.46
2025-03-08,Saturday,Ridgeguard(Tori),Thammampatti (Uzhavar Sandhai ),31.94,6.46
2025-03-09,Sunday,Ridgeguard(Tori),Thammampatti (Uzhavar Sandhai ),31.94,6.46
2025-03-10,Monday,Ridgeguard(Tori),Thammampatti (Uzhavar Sandhai ),31.93,6.43
2025-03-11,Tuesday,Ridgeguard(Tori),Thammampatti (Uzhavar Sandhai ),31.93,6.45
2025-03-12,Wednesday,Ridgeguard(Tori),Thammampatti (Uzhavar Sandhai ),31.93,6.44
2025-03-13,Thursday,Ridgeguard(Tori),Thammampatti (Uzhavar Sandhai ),31.93,6.45
2025-03-07,Friday,Ridgeguard(Tori),Thathakapatti(Uzhavar Sandhai ),31.63,5.44
2025-03-08,Saturday,Ridgeguard(Tori),Thathakapatti(Uzhavar Sandhai ),31.63,5.43
2025-03-09,Sunday,Ridgeguard(Tori),Thathakapatti(Uzhavar Sandhai ),31.63,5.43
2025-03-10,Monday,Ridgeguard(Tori),Thathakapatti(Uzhavar Sandhai ),31.63,5.42
2025-03-11,Tuesday,Ridgeguard(Tori),Thathakapatti(Uzhavar Sandhai ),31.63,5.43
2025-03-12,Wednesday,Ridgeguard(Tori),Thathakapatti(Uzhavar Sandhai ),31.63,5.43
2025-03-13,Thursday,Ridgeguard(Tori),Thathakapatti(Uzhavar Sandhai ),31.63,5.43
