Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-08,Saturday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-09,Sunday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-10,Monday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-11,Tuesday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-12,Wednesday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-13,Thursday,Tamarind Fruit,Thathakapatti(Uzhavar Sandhai ),80.04,0.05
2025-03-07,Friday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),100.06,0.06
2025-03-08,Saturday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),100.06,0.06
2025-03-09,Sunday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),100.06,0.06
2025-03-10,Monday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),100.06,0.06
2025-03-11,Tuesday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),100.06,0.06
2025-03-12,Wednesday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),100.06,0.06
2025-03-13,Thursday,Tamarind Fruit,Ammapet(Uzhavar Sandhai ),100.06,0.06
