Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tapioca,Ammapet(Uzhavar Sandhai ),31.57,5.25
2025-03-08,Saturday,Tapioca,Ammapet(Uzhavar Sandhai ),31.57,5.24
2025-03-09,Sunday,Tapioca,Ammapet(Uzhavar Sandhai ),31.57,5.24
2025-03-10,Monday,Tapioca,Ammapet(Uzhavar Sandhai ),31.57,5.23
2025-03-11,Tuesday,Tapioca,Ammapet(Uzhavar Sandhai ),31.57,5.24
2025-03-12,Wednesday,Tapioca,Ammapet(Uzhavar Sandhai ),31.57,5.24
2025-03-13,Thursday,Tapioca,Ammapet(Uzhavar Sandhai ),31.57,5.23
2025-03-07,Friday,Tapioca,Athur(Uzhavar Sandhai ),22.44,24.67
2025-03-08,Saturday,Tapioca,Athur(Uzhavar Sandhai ),22.44,24.66
2025-03-09,Sunday,Tapioca,Athur(Uzhavar Sandhai ),22.44,24.66
2025-03-10,Monday,Tapioca,Athur(Uzhavar Sandhai ),22.44,24.64
2025-03-11,Tuesday,Tapioca,Athur(Uzhavar Sandhai ),22.44,24.65
2025-03-12,Wednesday,Tapioca,Athur(Uzhavar Sandhai ),22.44,24.65
2025-03-13,Thursday,Tapioca,Athur(Uzhavar Sandhai ),22.44,24.65
2025-03-07,Friday,Tapioca,Attayampatti(Uzhavar Sandhai ),31.99,6.65
2025-03-08,Saturday,Tapioca,Attayampatti(Uzhavar Sandhai ),31.99,6.64
2025-03-09,Sunday,Tapioca,Attayampatti(Uzhavar Sandhai ),31.99,6.64
2025-03-10,Monday,Tapioca,Attayampatti(Uzhavar Sandhai ),31.99,6.62
2025-03-11,Tuesday,Tapioca,Attayampatti(Uzhavar Sandhai ),31.99,6.64
2025-03-12,Wednesday,Tapioca,Attayampatti(Uzhavar Sandhai ),31.99,6.64
2025-03-13,Thursday,Tapioca,Attayampatti(Uzhavar Sandhai ),31.99,6.64
2025-03-07,Friday,Tapioca,Edapadi (Uzhavar Sandhai ),32.08,6.94
2025-03-08,Saturday,Tapioca,Edapadi (Uzhavar Sandhai ),32.08,6.93
2025-03-09,Sunday,Tapioca,Edapadi (Uzhavar Sandhai ),32.08,6.93
2025-03-10,Monday,Tapioca,Edapadi (Uzhavar Sandhai ),32.07,6.92
2025-03-11,Tuesday,Tapioca,Edapadi (Uzhavar Sandhai ),32.08,6.93
2025-03-12,Wednesday,Tapioca,Edapadi (Uzhavar Sandhai ),32.08,6.93
2025-03-13,Thursday,Tapioca,Edapadi (Uzhavar Sandhai ),32.08,6.93
2025-03-07,Friday,Tapioca,Elampillai(Uzhavar Sandhai ),32.03,6.78
2025-03-08,Saturday,Tapioca,Elampillai(Uzhavar Sandhai ),32.03,6.78
2025-03-09,Sunday,Tapioca,Elampillai(Uzhavar Sandhai ),32.03,6.78
2025-03-10,Monday,Tapioca,Elampillai(Uzhavar Sandhai ),32.03,6.76
2025-03-11,Tuesday,Tapioca,Elampillai(Uzhavar Sandhai ),32.03,6.77
2025-03-12,Wednesday,Tapioca,Elampillai(Uzhavar Sandhai ),32.03,6.77
2025-03-13,Thursday,Tapioca,Elampillai(Uzhavar Sandhai ),32.03,6.77
2025-03-07,Friday,Tapioca,Hasthampatti(Uzhavar Sandhai ),31.6,5.35
2025-03-08,Saturday,Tapioca,Hasthampatti(Uzhavar Sandhai ),31.6,5.34
2025-03-09,Sunday,Tapioca,Hasthampatti(Uzhavar Sandhai ),31.6,5.34
2025-03-10,Monday,Tapioca,Hasthampatti(Uzhavar Sandhai ),31.6,5.34
2025-03-11,Tuesday,Tapioca,Hasthampatti(Uzhavar Sandhai ),31.6,5.34
2025-03-12,Wednesday,Tapioca,Hasthampatti(Uzhavar Sandhai ),31.6,5.35
2025-03-13,Thursday,Tapioca,Hasthampatti(Uzhavar Sandhai ),31.6,5.33
2025-03-07,Friday,Tapioca,Jalagandapuram(Uzhavar Sandhai ),32.16,7.2
2025-03-08,Saturday,Tapioca,Jalagandapuram(Uzhavar Sandhai ),32.16,7.19
2025-03-09,Sunday,Tapioca,Jalagandapuram(Uzhavar Sandhai ),32.16,7.19
2025-03-10,Monday,Tapioca,Jalagandapuram(Uzhavar Sandhai ),32.15,7.18
2025-03-11,Tuesday,Tapioca,Jalagandapuram(Uzhavar Sandhai ),32.16,7.19
2025-03-12,Wednesday,Tapioca,Jalagandapuram(Uzhavar Sandhai ),32.16,7.2
2025-03-13,Thursday,Tapioca,Jalagandapuram(Uzhavar Sandhai ),32.16,7.2
2025-03-07,Friday,Tapioca,Mettur(Uzhavar Sandhai ),36.94,5.55
2025-03-08,Saturday,Tapioca,Mettur(Uzhavar Sandhai ),36.94,5.54
2025-03-09,Sunday,Tapioca,Mettur(Uzhavar Sandhai ),36.94,5.55
2025-03-10,Monday,Tapioca,Mettur(Uzhavar Sandhai ),36.94,5.54
2025-03-11,Tuesday,Tapioca,Mettur(Uzhavar Sandhai ),36.94,5.55
2025-03-12,Wednesday,Tapioca,Mettur(Uzhavar Sandhai ),36.94,5.54
2025-03-13,Thursday,Tapioca,Mettur(Uzhavar Sandhai ),36.94,5.53
2025-03-07,Friday,Tapioca,Sooramangalam(Uzhavar Sandhai ),31.54,5.13
2025-03-08,Saturday,Tapioca,Sooramangalam(Uzhavar Sandhai ),31.54,5.12
2025-03-09,Sunday,Tapioca,Sooramangalam(Uzhavar Sandhai ),31.54,5.12
2025-03-10,Monday,Tapioca,Sooramangalam(Uzhavar Sandhai ),31.54,5.12
2025-03-11,Tuesday,Tapioca,Sooramangalam(Uzhavar Sandhai ),31.54,5.12
2025-03-12,Wednesday,Tapioca,Sooramangalam(Uzhavar Sandhai ),31.54,5.13
2025-03-13,Thursday,Tapioca,Sooramangalam(Uzhavar Sandhai ),31.53,5.12
2025-03-07,Friday,Tapioca,Thammampatti (Uzhavar Sandhai ),27.19,8.74
2025-03-08,Saturday,Tapioca,Thammampatti (Uzhavar Sandhai ),27.18,8.74
2025-03-09,Sunday,Tapioca,Thammampatti (Uzhavar Sandhai ),27.18,8.74
2025-03-10,Monday,Tapioca,Thammampatti (Uzhavar Sandhai ),27.18,8.71
2025-03-11,Tuesday,Tapioca,Thammampatti (Uzhavar Sandhai ),27.18,8.73
2025-03-12,Wednesday,Tapioca,Thammampatti (Uzhavar Sandhai ),27.18,8.73
2025-03-13,Thursday,Tapioca,Thammampatti (Uzhavar Sandhai ),27.18,8.73
2025-03-07,Friday,Tapioca,Thathakapatti(Uzhavar Sandhai ),31.69,5.63
2025-03-08,Saturday,Tapioca,Thathakapatti(Uzhavar Sandhai ),31.69,5.63
2025-03-09,Sunday,Tapioca,Thathakapatti(Uzhavar Sandhai ),31.69,5.63
2025-03-10,Monday,Tapioca,Thathakapatti(Uzhavar Sandhai ),31.69,5.62
2025-03-11,Tuesday,Tapioca,Thathakapatti(Uzhavar Sandhai ),31.69,5.63
2025-03-12,Wednesday,Tapioca,Thathakapatti(Uzhavar Sandhai ),31.69,5.62
2025-03-13,Thursday,Tapioca,Thathakapatti(Uzhavar Sandhai ),31.68,5.61
