Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tender Coconut,Ammapet(Uzhavar Sandhai ),31.6,5.33
2025-03-08,Saturday,Tender Coconut,Ammapet(Uzhavar Sandhai ),31.6,5.32
2025-03-09,Sunday,Tender Coconut,Ammapet(Uzhavar Sandhai ),31.6,5.33
2025-03-10,Monday,Tender Coconut,Ammapet(Uzhavar Sandhai ),31.59,5.31
2025-03-11,Tuesday,Tender Coconut,Ammapet(Uzhavar Sandhai ),31.6,5.32
2025-03-12,Wednesday,Tender Coconut,Ammapet(Uzhavar Sandhai ),31.6,5.32
2025-03-13,Thursday,Tender Coconut,Ammapet(Uzhavar Sandhai ),31.59,5.31
2025-03-07,Friday,Tender Coconut,Athur(Uzhavar Sandhai ),27.33,9.34
2025-03-08,Saturday,Tender Coconut,Athur(Uzhavar Sandhai ),27.33,9.32
2025-03-09,Sunday,Tender Coconut,Athur(Uzhavar Sandhai ),27.33,9.33
2025-03-10,Monday,Tender Coconut,Athur(Uzhavar Sandhai ),27.33,9.31
2025-03-11,Tuesday,Tender Coconut,Athur(Uzhavar Sandhai ),27.33,9.31
2025-03-12,Wednesday,Tender Coconut,Athur(Uzhavar Sandhai ),27.33,9.32
2025-03-13,Thursday,Tender Coconut,Athur(Uzhavar Sandhai ),27.33,9.32
2025-03-07,Friday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),32.21,7.37
2025-03-08,Saturday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),32.21,7.36
2025-03-09,Sunday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),32.21,7.37
2025-03-10,Monday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),32.2,7.33
2025-03-11,Tuesday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),32.2,7.35
2025-03-12,Wednesday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),32.21,7.36
2025-03-13,Thursday,Tender Coconut,Jalagandapuram(Uzhavar Sandhai ),32.21,7.36
2025-03-07,Friday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),31.63,5.42
2025-03-08,Saturday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),31.62,5.41
2025-03-09,Sunday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),31.62,5.41
2025-03-10,Monday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),31.62,5.4
2025-03-11,Tuesday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),31.62,5.4
2025-03-12,Wednesday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),31.62,5.41
2025-03-13,Thursday,Tender Coconut,Sooramangalam(Uzhavar Sandhai ),31.62,5.4
2025-03-07,Friday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),32.07,6.9
2025-03-08,Saturday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),32.07,6.9
2025-03-09,Sunday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),32.07,6.9
2025-03-10,Monday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),32.06,6.87
2025-03-11,Tuesday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),32.07,6.89
2025-03-12,Wednesday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),32.07,6.9
2025-03-13,Thursday,Tender Coconut,Thammampatti (Uzhavar Sandhai ),32.07,6.9
2025-03-07,Friday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),27.1,8.39
2025-03-08,Saturday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),27.09,8.37
2025-03-09,Sunday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),27.1,8.38
2025-03-10,Monday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),27.09,8.37
2025-03-11,Tuesday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),27.09,8.38
2025-03-12,Wednesday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),27.09,8.38
2025-03-13,Thursday,Tender Coconut,Thathakapatti(Uzhavar Sandhai ),27.09,8.36
2025-03-07,Friday,Tender Coconut,Mettur(Uzhavar Sandhai ),32.22,7.39
2025-03-08,Saturday,Tender Coconut,Mettur(Uzhavar Sandhai ),32.21,7.37
2025-03-09,Sunday,Tender Coconut,Mettur(Uzhavar Sandhai ),32.21,7.38
2025-03-10,Monday,Tender Coconut,Mettur(Uzhavar Sandhai ),32.21,7.36
2025-03-11,Tuesday,Tender Coconut,Mettur(Uzhavar Sandhai ),32.21,7.36
2025-03-12,Wednesday,Tender Coconut,Mettur(Uzhavar Sandhai ),32.21,7.38
2025-03-13,Thursday,Tender Coconut,Mettur(Uzhavar Sandhai ),32.21,7.36
