Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Thondekai,Ammapet(Uzhavar Sandhai ),50.11,0.22
2025-03-08,Saturday,Thondekai,Ammapet(Uzhavar Sandhai ),50.11,0.22
2025-03-09,Sunday,Thondekai,Ammapet(Uzhavar Sandhai ),50.11,0.22
2025-03-10,Monday,Thondekai,Ammapet(Uzhavar Sandhai ),50.11,0.21
2025-03-11,Tuesday,Thondekai,Ammapet(Uzhavar Sandhai ),50.11,0.22
2025-03-12,Wednesday,Thondekai,Ammapet(Uzhavar Sandhai ),50.11,0.22
2025-03-13,Thursday,Thondekai,Ammapet(Uzhavar Sandhai ),50.11,0.22
2025-03-07,Friday,Thondekai,Hasthampatti(Uzhavar Sandhai ),50.05,0.1
2025-03-08,Saturday,Thondekai,Hasthampatti(Uzhavar Sandhai ),50.05,0.09
2025-03-09,Sunday,Thondekai,Hasthampatti(Uzhavar Sandhai ),50.05,0.09
2025-03-10,Monday,Thondekai,Hasthampatti(Uzhavar Sandhai ),50.05,0.09
2025-03-11,Tuesday,Thondekai,Hasthampatti(Uzhavar Sandhai ),50.05,0.09
2025-03-12,Wednesday,Thondekai,Hasthampatti(Uzhavar Sandhai ),50.05,0.1
2025-03-13,Thursday,Thondekai,Hasthampatti(Uzhavar Sandhai ),50.05,0.1
2025-03-07,Friday,Thondekai,Sooramangalam(Uzhavar Sandhai ),49.94,-0.12
2025-03-08,Saturday,Thondekai,Sooramangalam(Uzhavar Sandhai ),49.94,-0.13
2025-03-09,Sunday,Thondekai,Sooramangalam(Uzhavar Sandhai ),49.94,-0.13
2025-03-10,Monday,Thondekai,Sooramangalam(Uzhavar Sandhai ),49.93,-0.13
2025-03-11,Tuesday,Thondekai,Sooramangalam(Uzhavar Sandhai ),49.93,-0.13
2025-03-12,Wednesday,Thondekai,Sooramangalam(Uzhavar Sandhai ),49.94,-0.12
2025-03-13,Thursday,Thondekai,Sooramangalam(Uzhavar Sandhai ),49.94,-0.12
2025-03-07,Friday,Thondekai,Thathakapatti(Uzhavar Sandhai ),50.04,0.08
2025-03-08,Saturday,Thondekai,Thathakapatti(Uzhavar Sandhai ),50.04,0.08
2025-03-09,Sunday,Thondekai,Thathakapatti(Uzhavar Sandhai ),50.04,0.08
2025-03-10,Monday,Thondekai,Thathakapatti(Uzhavar Sandhai ),50.04,0.08
2025-03-11,Tuesday,Thondekai,Thathakapatti(Uzhavar Sandhai ),50.04,0.08
2025-03-12,Wednesday,Thondekai,Thathakapatti(Uzhavar Sandhai ),50.04,0.09
2025-03-13,Thursday,Thondekai,Thathakapatti(Uzhavar Sandhai ),50.04,0.09
2025-03-07,Friday,Thondekai,Athur(Uzhavar Sandhai ),50.38,0.77
2025-03-08,Saturday,Thondekai,Athur(Uzhavar Sandhai ),50.38,0.77
2025-03-09,Sunday,Thondekai,Athur(Uzhavar Sandhai ),50.38,0.77
2025-03-10,Monday,Thondekai,Athur(Uzhavar Sandhai ),50.38,0.76
2025-03-11,Tuesday,Thondekai,Athur(Uzhavar Sandhai ),50.38,0.77
2025-03-12,Wednesday,Thondekai,Athur(Uzhavar Sandhai ),50.39,0.77
2025-03-13,Thursday,Thondekai,Athur(Uzhavar Sandhai ),50.39,0.77
2025-03-07,Friday,Thondekai,Elampillai(Uzhavar Sandhai ),50.31,0.62
2025-03-08,Saturday,Thondekai,Elampillai(Uzhavar Sandhai ),50.31,0.62
2025-03-09,Sunday,Thondekai,Elampillai(Uzhavar Sandhai ),50.31,0.62
2025-03-10,Monday,Thondekai,Elampillai(Uzhavar Sandhai ),50.31,0.61
2025-03-11,Tuesday,Thondekai,Elampillai(Uzhavar Sandhai ),50.31,0.63
2025-03-12,Wednesday,Thondekai,Elampillai(Uzhavar Sandhai ),50.31,0.63
2025-03-13,Thursday,Thondekai,Elampillai(Uzhavar Sandhai ),50.31,0.63
2025-03-07,Friday,Thondekai,Mettur(Uzhavar Sandhai ),50.37,0.73
2025-03-08,Saturday,Thondekai,Mettur(Uzhavar Sandhai ),50.37,0.73
2025-03-09,Sunday,Thondekai,Mettur(Uzhavar Sandhai ),50.37,0.73
2025-03-10,Monday,Thondekai,Mettur(Uzhavar Sandhai ),50.36,0.72
2025-03-11,Tuesday,Thondekai,Mettur(Uzhavar Sandhai ),50.36,0.73
2025-03-12,Wednesday,Thondekai,Mettur(Uzhavar Sandhai ),50.37,0.74
2025-03-13,Thursday,Thondekai,Mettur(Uzhavar Sandhai ),50.37,0.74
2025-03-07,Friday,Thondekai,Thammampatti (Uzhavar Sandhai ),40.5,1.24
2025-03-08,Saturday,Thondekai,Thammampatti (Uzhavar Sandhai ),40.5,1.24
2025-03-09,Sunday,Thondekai,Thammampatti (Uzhavar Sandhai ),40.5,1.24
2025-03-10,Monday,Thondekai,Thammampatti (Uzhavar Sandhai ),40.49,1.22
2025-03-11,Tuesday,Thondekai,Thammampatti (Uzhavar Sandhai ),40.5,1.24
2025-03-12,Wednesday,Thondekai,Thammampatti (Uzhavar Sandhai ),40.5,1.24
2025-03-13,Thursday,Thondekai,Thammampatti (Uzhavar Sandhai ),40.5,1.24
