Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tomato,Ammapet(Uzhavar Sandhai ),15.5,29.13
2025-03-08,Saturday,Tomato,Ammapet(Uzhavar Sandhai ),15.49,29.09
2025-03-09,Sunday,Tomato,Ammapet(Uzhavar Sandhai ),15.49,29.09
2025-03-10,Monday,Tomato,Ammapet(Uzhavar Sandhai ),15.49,29.08
2025-03-11,Tuesday,Tomato,Ammapet(Uzhavar Sandhai ),15.49,29.09
2025-03-12,Wednesday,Tomato,Ammapet(Uzhavar Sandhai ),15.49,29.09
2025-03-13,Thursday,Tomato,Ammapet(Uzhavar Sandhai ),15.49,29.06
2025-03-07,Friday,Tomato,Athur(Uzhavar Sandhai ),14.29,42.92
2025-03-08,Saturday,Tomato,Athur(Uzhavar Sandhai ),14.28,42.81
2025-03-09,Sunday,Tomato,Athur(Uzhavar Sandhai ),14.25,42.51
2025-03-10,Monday,Tomato,Athur(Uzhavar Sandhai ),14.25,42.47
2025-03-11,Tuesday,Tomato,Athur(Uzhavar Sandhai ),14.25,42.46
2025-03-12,Wednesday,Tomato,Athur(Uzhavar Sandhai ),14.25,42.46
2025-03-13,Thursday,Tomato,Athur(Uzhavar Sandhai ),14.25,42.45
2025-03-07,Friday,Tomato,Attayampatti(Uzhavar Sandhai ),16.4,36.63
2025-03-08,Saturday,Tomato,Attayampatti(Uzhavar Sandhai ),16.39,36.57
2025-03-09,Sunday,Tomato,Attayampatti(Uzhavar Sandhai ),16.36,36.35
2025-03-10,Monday,Tomato,Attayampatti(Uzhavar Sandhai ),16.36,36.32
2025-03-11,Tuesday,Tomato,Attayampatti(Uzhavar Sandhai ),16.36,36.32
2025-03-12,Wednesday,Tomato,Attayampatti(Uzhavar Sandhai ),16.36,36.32
2025-03-13,Thursday,Tomato,Attayampatti(Uzhavar Sandhai ),16.36,36.31
2025-03-07,Friday,Tomato,Edapadi (Uzhavar Sandhai ),16.47,37.23
2025-03-08,Saturday,Tomato,Edapadi (Uzhavar Sandhai ),16.46,37.16
2025-03-09,Sunday,Tomato,Edapadi (Uzhavar Sandhai ),16.43,36.96
2025-03-10,Monday,Tomato,Edapadi (Uzhavar Sandhai ),16.43,36.91
2025-03-11,Tuesday,Tomato,Edapadi (Uzhavar Sandhai ),16.43,36.94
2025-03-12,Wednesday,Tomato,Edapadi (Uzhavar Sandhai ),16.44,36.96
2025-03-13,Thursday,Tomato,Edapadi (Uzhavar Sandhai ),16.43,36.96
2025-03-07,Friday,Tomato,Elampillai(Uzhavar Sandhai ),16.51,37.54
2025-03-08,Saturday,Tomato,Elampillai(Uzhavar Sandhai ),16.5,37.47
2025-03-09,Sunday,Tomato,Elampillai(Uzhavar Sandhai ),16.47,37.26
2025-03-10,Monday,Tomato,Elampillai(Uzhavar Sandhai ),16.47,37.22
2025-03-11,Tuesday,Tomato,Elampillai(Uzhavar Sandhai ),16.47,37.22
