Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),99.98,-0.02
2025-03-08,Saturday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),99.98,-0.02
2025-03-09,Sunday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),99.98,-0.02
2025-03-10,Monday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),99.98,-0.02
2025-03-11,Tuesday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),99.98,-0.02
2025-03-12,Wednesday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),99.98,-0.02
2025-03-13,Thursday,Tube Rose(Loose),Athur(Uzhavar Sandhai ),99.97,-0.03
2025-03-07,Friday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),100.09,0.09
2025-03-08,Saturday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),100.09,0.09
2025-03-09,Sunday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),100.09,0.09
2025-03-10,Monday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),100.09,0.09
2025-03-11,Tuesday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),100.09,0.09
2025-03-12,Wednesday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),100.09,0.09
2025-03-13,Thursday,Tube Rose(Loose),Thathakapatti(Uzhavar Sandhai ),100.08,0.08
