Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Turnip,Sooramangalam(Uzhavar Sandhai ),99.99,-0.01
2025-03-08,Saturday,Turnip,Sooramangalam(Uzhavar Sandhai ),99.99,-0.01
2025-03-09,Sunday,Turnip,Sooramangalam(Uzhavar Sandhai ),99.99,-0.01
2025-03-10,Monday,Turnip,Sooramangalam(Uzhavar Sandhai ),99.99,-0.01
2025-03-11,Tuesday,Turnip,Sooramangalam(Uzhavar Sandhai ),99.99,-0.01
2025-03-12,Wednesday,Turnip,Sooramangalam(Uzhavar Sandhai ),99.99,-0.01
2025-03-13,Thursday,Turnip,Sooramangalam(Uzhavar Sandhai ),99.99,-0.01
2025-03-07,Friday,Turnip,Athur(Uzhavar Sandhai ),22.31,11.57
2025-03-08,Saturday,Turnip,Athur(Uzhavar Sandhai ),22.31,11.55
2025-03-09,Sunday,Turnip,Athur(Uzhavar Sandhai ),22.31,11.55
2025-03-10,Monday,Turnip,Athur(Uzhavar Sandhai ),22.31,11.53
2025-03-11,Tuesday,Turnip,Athur(Uzhavar Sandhai ),22.31,11.54
2025-03-12,Wednesday,Turnip,Athur(Uzhavar Sandhai ),22.31,11.54
2025-03-13,Thursday,Turnip,Athur(Uzhavar Sandhai ),22.31,11.54
