Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Water Melon,Ammapet(Uzhavar Sandhai ),22.51,12.56
2025-03-08,Saturday,Water Melon,Ammapet(Uzhavar Sandhai ),22.5,12.52
2025-03-09,Sunday,Water Melon,Ammapet(Uzhavar Sandhai ),22.51,12.53
2025-03-10,Monday,Water Melon,Ammapet(Uzhavar Sandhai ),22.5,12.51
2025-03-11,Tuesday,Water Melon,Ammapet(Uzhavar Sandhai ),22.51,12.53
2025-03-12,Wednesday,Water Melon,Ammapet(Uzhavar Sandhai ),22.51,12.53
2025-03-13,Thursday,Water Melon,Ammapet(Uzhavar Sandhai ),22.5,12.51
2025-03-07,Friday,Water Melon,Athur(Uzhavar Sandhai ),22.83,14.15
2025-03-08,Saturday,Water Melon,Athur(Uzhavar Sandhai ),22.82,14.12
2025-03-09,Sunday,Water Melon,Athur(Uzhavar Sandhai ),22.83,14.13
2025-03-10,Monday,Water Melon,Athur(Uzhavar Sandhai ),22.82,14.11
2025-03-11,Tuesday,Water Melon,Athur(Uzhavar Sandhai ),22.82,14.12
2025-03-12,Wednesday,Water Melon,Athur(Uzhavar Sandhai ),22.82,14.12
2025-03-13,Thursday,Water Melon,Athur(Uzhavar Sandhai ),22.82,14.12
2025-03-07,Friday,Water Melon,Mettur(Uzhavar Sandhai ),18.42,22.78
2025-03-08,Saturday,Water Melon,Mettur(Uzhavar Sandhai ),18.41,22.73
2025-03-09,Sunday,Water Melon,Mettur(Uzhavar Sandhai ),18.41,22.73
2025-03-10,Monday,Water Melon,Mettur(Uzhavar Sandhai ),18.41,22.71
2025-03-11,Tuesday,Water Melon,Mettur(Uzhavar Sandhai ),18.41,22.72
2025-03-12,Wednesday,Water Melon,Mettur(Uzhavar Sandhai ),18.41,22.72
2025-03-13,Thursday,Water Melon,Mettur(Uzhavar Sandhai ),18.4,22.68
2025-03-07,Friday,Water Melon,Thathakapatti(Uzhavar Sandhai ),20.57,14.29
2025-03-08,Saturday,Water Melon,Thathakapatti(Uzhavar Sandhai ),20.57,14.26
2025-03-09,Sunday,Water Melon,Thathakapatti(Uzhavar Sandhai ),20.57,14.27
2025-03-10,Monday,Water Melon,Thathakapatti(Uzhavar Sandhai ),20.56,14.25
2025-03-11,Tuesday,Water Melon,Thathakapatti(Uzhavar Sandhai ),20.57,14.25
2025-03-12,Wednesday,Water Melon,Thathakapatti(Uzhavar Sandhai ),20.57,14.26
2025-03-13,Thursday,Water Melon,Thathakapatti(Uzhavar Sandhai ),20.56,14.24
2025-03-07,Friday,Water Melon,Sooramangalam(Uzhavar Sandhai ),50.39,0.77
2025-03-08,Saturday,Water Melon,Sooramangalam(Uzhavar Sandhai ),50.38,0.77
2025-03-09,Sunday,Water Melon,Sooramangalam(Uzhavar Sandhai ),50.38,0.77
2025-03-10,Monday,Water Melon,Sooramangalam(Uzhavar Sandhai ),50.38,0.76
2025-03-11,Tuesday,Water Melon,Sooramangalam(Uzhavar Sandhai ),50.38,0.76
2025-03-12,Wednesday,Water Melon,Sooramangalam(Uzhavar Sandhai ),50.38,0.76
2025-03-13,Thursday,Water Melon,Sooramangalam(Uzhavar Sandhai ),50.38,0.76
2025-03-07,Friday,Water Melon,Hasthampatti(Uzhavar Sandhai ),20.38,13.2
2025-03-08,Saturday,Water Melon,Hasthampatti(Uzhavar Sandhai ),20.37,13.17
2025-03-09,Sunday,Water Melon,Hasthampatti(Uzhavar Sandhai ),20.37,13.18
2025-03-10,Monday,Water Melon,Hasthampatti(Uzhavar Sandhai ),20.37,13.17
2025-03-11,Tuesday,Water Melon,Hasthampatti(Uzhavar Sandhai ),20.37,13.16
2025-03-12,Wednesday,Water Melon,Hasthampatti(Uzhavar Sandhai ),20.37,13.17
2025-03-13,Thursday,Water Melon,Hasthampatti(Uzhavar Sandhai ),20.37,13.15
2025-03-07,Friday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),24.39,21.94
2025-03-08,Saturday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),24.39,21.93
2025-03-09,Sunday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),24.39,21.93
2025-03-10,Monday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),24.38,21.88
2025-03-11,Tuesday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),24.38,21.91
2025-03-12,Wednesday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),24.38,21.89
2025-03-13,Thursday,Water Melon,Jalagandapuram(Uzhavar Sandhai ),24.38,21.89
