Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Amaranthus,Ammapet(Uzhavar Sandhai ),10.75,-46.25
2025-03-08,Saturday,Amaranthus,Ammapet(Uzhavar Sandhai ),10.21,-48.93
2025-03-09,Sunday,Amaranthus,Ammapet(Uzhavar Sandhai ),10.21,-48.93
2025-03-10,Monday,Amaranthus,Ammapet(Uzhavar Sandhai ),10.29,-48.57
2025-03-11,Tuesday,Amaranthus,Ammapet(Uzhavar Sandhai ),10.33,-48.33
2025-03-12,Wednesday,Amaranthus,Ammapet(Uzhavar Sandhai ),10.34,-48.29
2025-03-13,Thursday,Amaranthus,Ammapet(Uzhavar Sandhai ),10.35,-48.26
2025-03-07,Friday,Amaranthus,Athur(Uzhavar Sandhai ),11.48,-52.15
2025-03-08,Saturday,Amaranthus,Athur(Uzhavar Sandhai ),9.82,-59.08
2025-03-09,Sunday,Amaranthus,Athur(Uzhavar Sandhai ),9.82,-59.08
2025-03-10,Monday,Amaranthus,Athur(Uzhavar Sandhai ),9.88,-58.82
2025-03-11,Tuesday,Amaranthus,Athur(Uzhavar Sandhai ),9.93,-58.61
2025-03-12,Wednesday,Amaranthus,Athur(Uzhavar Sandhai ),9.94,-58.58
2025-03-13,Thursday,Amaranthus,Athur(Uzhavar Sandhai ),9.95,-58.55
2025-03-07,Friday,Amaranthus,Attayampatti(Uzhavar Sandhai ),11.75,-41.23
2025-03-08,Saturday,Amaranthus,Attayampatti(Uzhavar Sandhai ),11.13,-44.37
2025-03-09,Sunday,Amaranthus,Attayampatti(Uzhavar Sandhai ),11.13,-44.37
2025-03-10,Monday,Amaranthus,Attayampatti(Uzhavar Sandhai ),11.13,-44.37
2025-03-11,Tuesday,Amaranthus,Attayampatti(Uzhavar Sandhai ),11.17,-44.13
2025-03-12,Wednesday,Amaranthus,Attayampatti(Uzhavar Sandhai ),11.18,-44.09
2025-03-13,Thursday,Amaranthus,Attayampatti(Uzhavar Sandhai ),11.19,-44.07
2025-03-07,Friday,Amaranthus,Edapadi (Uzhavar Sandhai ),10.94,-45.32
2025-03-08,Saturday,Amaranthus,Edapadi (Uzhavar Sandhai ),10.45,-47.76
2025-03-09,Sunday,Amaranthus,Edapadi (Uzhavar Sandhai ),10.45,-47.76
2025-03-10,Monday,Amaranthus,Edapadi (Uzhavar Sandhai ),10.53,-47.37
2025-03-11,Tuesday,Amaranthus,Edapadi (Uzhavar Sandhai ),10.57,-47.13
2025-03-12,Wednesday,Amaranthus,Edapadi (Uzhavar Sandhai ),10.58,-47.08
2025-03-13,Thursday,Amaranthus,Edapadi (Uzhavar Sandhai ),10.59,-47.06
2025-03-07,Friday,Amaranthus,Elampillai(Uzhavar Sandhai ),11.83,-52.69
2025-03-08,Saturday,Amaranthus,Elampillai(Uzhavar Sandhai ),10.48,-58.09
2025-03-09,Sunday,Amaranthus,Elampillai(Uzhavar Sandhai ),10.48,-58.09
2025-03-10,Monday,Amaranthus,Elampillai(Uzhavar Sandhai ),10.47,-58.11
2025-03-11,Tuesday,Amaranthus,Elampillai(Uzhavar Sandhai ),10.52,-57.92
2025-03-12,Wednesday,Amaranthus,Elampillai(Uzhavar Sandhai ),10.53,-57.89
2025-03-13,Thursday,Amaranthus,Elampillai(Uzhavar Sandhai ),10.53,-57.87
2025-03-07,Friday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),11.64,-51.5
2025-03-08,Saturday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),10.05,-58.12
2025-03-09,Sunday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),10.05,-58.11
2025-03-10,Monday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),10.12,-57.84
2025-03-11,Tuesday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),10.17,-57.65
2025-03-12,Wednesday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),10.17,-57.62
2025-03-13,Thursday,Amaranthus,Hasthampatti(Uzhavar Sandhai ),10.18,-57.59
2025-03-07,Friday,Amaranthus,Jalagandapuram(Uzhavar Sandhai ),10.8,-46.0
2025-03-08,Saturday,Amaranthus,Jalagandapuram(Uzhavar Sandhai ),9.99,-50.03
2025-03-09,Sunday,Amaranthus,Jalagandapuram(Uzhavar Sandhai ),9.99,-50.03
2025-03-10,Monday,Amaranthus,Jalagandapuram(Uzhavar Sandhai ),10.07,-49.66
2025-03-11,Tuesday,Amaranthus,Jalagandapuram(Uzhavar Sandhai ),10.12,-49.42
2025-03-12,Wednesday,Amaranthus,Jalagandapuram(Uzhavar Sandhai ),10.12,-49.38
2025-03-13,Thursday,Amaranthus,Jalagandapuram(Uzhavar Sandhai ),10.13,-49.34
2025-03-07,Friday,Amaranthus,Mettur(Uzhavar Sandhai ),10.83,-45.86
2025-03-08,Saturday,Amaranthus,Mettur(Uzhavar Sandhai ),10.1,-49.5
2025-03-09,Sunday,Amaranthus,Mettur(Uzhavar Sandhai ),10.1,-49.48
2025-03-10,Monday,Amaranthus,Mettur(Uzhavar Sandhai ),10.17,-49.14
2025-03-11,Tuesday,Amaranthus,Mettur(Uzhavar Sandhai ),10.22,-48.9
2025-03-12,Wednesday,Amaranthus,Mettur(Uzhavar Sandhai ),10.23,-48.86
2025-03-13,Thursday,Amaranthus,Mettur(Uzhavar Sandhai ),10.24,-48.82
2025-03-07,Friday,Amaranthus,Sooramangalam(Uzhavar Sandhai ),10.82,-45.88
2025-03-08,Saturday,Amaranthus,Sooramangalam(Uzhavar Sandhai ),10.04,-49.81
2025-03-09,Sunday,Amaranthus,Sooramangalam(Uzhavar Sandhai ),10.04,-49.8
2025-03-10,Monday,Amaranthus,Sooramangalam(Uzhavar Sandhai ),10.1,-49.48
2025-03-11,Tuesday,Amaranthus,Sooramangalam(Uzhavar Sandhai ),10.15,-49.24
2025-03-12,Wednesday,Amaranthus,Sooramangalam(Uzhavar Sandhai ),10.16,-49.21
2025-03-13,Thursday,Amaranthus,Sooramangalam(Uzhavar Sandhai ),10.17,-49.17
2025-03-07,Friday,Amaranthus,Thammampatti (Uzhavar Sandhai ),12.06,-51.78
2025-03-08,Saturday,Amaranthus,Thammampatti (Uzhavar Sandhai ),11.16,-55.36
2025-03-09,Sunday,Amaranthus,Thammampatti (Uzhavar Sandhai ),11.16,-55.37
2025-03-10,Monday,Amaranthus,Thammampatti (Uzhavar Sandhai ),11.16,-55.37
2025-03-11,Tuesday,Amaranthus,Thammampatti (Uzhavar Sandhai ),11.21,-55.18
2025-03-12,Wednesday,Amaranthus,Thammampatti (Uzhavar Sandhai ),11.21,-55.14
2025-03-13,Thursday,Amaranthus,Thammampatti (Uzhavar Sandhai ),11.22,-55.13
2025-03-07,Friday,Amaranthus,Thathakapatti(Uzhavar Sandhai ),10.8,-45.98
2025-03-08,Saturday,Amaranthus,Thathakapatti(Uzhavar Sandhai ),10.06,-49.69
2025-03-09,Sunday,Amaranthus,Thathakapatti(Uzhavar Sandhai ),10.06,-49.68
2025-03-10,Monday,Amaranthus,Thathakapatti(Uzhavar Sandhai ),10.13,-49.37
2025-03-11,Tuesday,Amaranthus,Thathakapatti(Uzhavar Sandhai ),10.17,-49.13
2025-03-12,Wednesday,Amaranthus,Thathakapatti(Uzhavar Sandhai ),10.18,-49.09
2025-03-13,Thursday,Amaranthus,Thathakapatti(Uzhavar Sandhai ),10.19,-49.05
