Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),35.39,-45.56
2025-03-08,Saturday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),33.52,-48.42
2025-03-09,Sunday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),33.11,-49.06
2025-03-10,Monday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),33.12,-49.05
2025-03-11,Tuesday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),33.12,-49.04
2025-03-12,Wednesday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),33.13,-49.03
2025-03-13,Thursday,Amla(Nelli Kai),Ammapet(Uzhavar Sandhai ),33.13,-49.03
2025-03-07,Friday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),78.32,-2.09
2025-03-08,Saturday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),78.35,-2.07
2025-03-09,Sunday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),78.35,-2.07
2025-03-10,Monday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),78.34,-2.08
2025-03-11,Tuesday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),78.34,-2.07
2025-03-12,Wednesday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),78.35,-2.06
2025-03-13,Thursday,Amla(Nelli Kai),Athur(Uzhavar Sandhai ),78.35,-2.06
2025-03-07,Friday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),39.09,-34.85
2025-03-08,Saturday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),37.91,-36.81
2025-03-09,Sunday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),37.86,-36.89
2025-03-10,Monday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),37.86,-36.91
2025-03-11,Tuesday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),37.86,-36.9
2025-03-12,Wednesday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),37.87,-36.89
2025-03-13,Thursday,Amla(Nelli Kai),Edapadi (Uzhavar Sandhai ),37.86,-36.9
2025-03-07,Friday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),55.71,-30.36
2025-03-08,Saturday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),55.1,-31.13
2025-03-09,Sunday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),55.04,-31.19
2025-03-10,Monday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),55.04,-31.2
2025-03-11,Tuesday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),55.04,-31.2
2025-03-12,Wednesday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),55.05,-31.19
2025-03-13,Thursday,Amla(Nelli Kai),Hasthampatti(Uzhavar Sandhai ),55.05,-31.19
2025-03-07,Friday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),19.84,-66.93
2025-03-08,Saturday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),17.44,-70.94
2025-03-09,Sunday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),16.89,-71.85
2025-03-10,Monday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),16.91,-71.81
2025-03-11,Tuesday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),16.92,-71.81
2025-03-12,Wednesday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),16.92,-71.79
2025-03-13,Thursday,Amla(Nelli Kai),Sooramangalam(Uzhavar Sandhai ),16.91,-71.82
2025-03-07,Friday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),22.45,-62.58
2025-03-08,Saturday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),20.43,-65.95
2025-03-09,Sunday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),20.05,-66.59
2025-03-10,Monday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),20.05,-66.59
2025-03-11,Tuesday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),20.05,-66.58
2025-03-12,Wednesday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),20.06,-66.57
2025-03-13,Thursday,Amla(Nelli Kai),Thathakapatti(Uzhavar Sandhai ),20.06,-66.57
2025-03-07,Friday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),62.84,-10.23
2025-03-08,Saturday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),62.61,-10.55
2025-03-09,Sunday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),62.62,-10.55
2025-03-10,Monday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),62.61,-10.56
2025-03-11,Tuesday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),62.61,-10.55
2025-03-12,Wednesday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),62.62,-10.54
2025-03-13,Thursday,Amla(Nelli Kai),Jalagandapuram(Uzhavar Sandhai ),62.62,-10.54
2025-03-07,Friday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),77.47,-3.16
2025-03-08,Saturday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),77.44,-3.19
2025-03-09,Sunday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),77.45,-3.19
2025-03-10,Monday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),77.44,-3.2
2025-03-11,Tuesday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),77.44,-3.2
2025-03-12,Wednesday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),77.45,-3.18
2025-03-13,Thursday,Amla(Nelli Kai),Mettur(Uzhavar Sandhai ),77.45,-3.18
2025-03-07,Friday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),36.94,-38.43
2025-03-08,Saturday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),35.13,-41.44
2025-03-09,Sunday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),34.76,-42.06
2025-03-10,Monday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),34.64,-42.27
2025-03-11,Tuesday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),34.64,-42.27
2025-03-12,Wednesday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),34.65,-42.26
2025-03-13,Thursday,Amla(Nelli Kai),Elampillai(Uzhavar Sandhai ),34.65,-42.26
2025-03-07,Friday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),39.09,-34.85
2025-03-08,Saturday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),37.96,-36.74
2025-03-09,Sunday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),37.91,-36.82
2025-03-10,Monday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),37.9,-36.83
2025-03-11,Tuesday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),37.9,-36.83
2025-03-12,Wednesday,Amla(Nelli Kai),Thammampatti (Uzhavar Sandhai ),37.91,-36.81
