Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),13.32,-73.36
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),10.55,-78.9
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),10.55,-78.91
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),10.61,-78.77
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),10.66,-78.68
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),10.67,-78.66
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Ammapet(Uzhavar Sandhai ),10.68,-78.64
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),63.07,-9.9
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),62.92,-10.12
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),62.92,-10.12
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),62.91,-10.13
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),62.91,-10.12
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),62.93,-10.1
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Jalagandapuram(Uzhavar Sandhai ),62.92,-10.11
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),22.55,-62.42
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),20.67,-65.54
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),20.36,-66.06
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),20.37,-66.06
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),20.37,-66.06
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),20.37,-66.05
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Thathakapatti(Uzhavar Sandhai ),20.37,-66.05
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),13.17,-73.66
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),10.36,-79.27
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),10.36,-79.27
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),10.42,-79.16
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),10.47,-79.07
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),10.48,-79.04
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Sooramangalam(Uzhavar Sandhai ),10.49,-79.02
2025-03-07,Friday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),77.64,-2.95
2025-03-08,Saturday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),77.6,-3.0
2025-03-09,Sunday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),77.6,-3.0
2025-03-10,Monday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),77.59,-3.01
2025-03-11,Tuesday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),77.59,-3.01
2025-03-12,Wednesday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),77.61,-2.99
2025-03-13,Thursday,Arhar (Tur/Red Gram)(Whole),Mettur(Uzhavar Sandhai ),77.61,-2.99
