Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Ashgourd,Ammapet(Uzhavar Sandhai ),10.45,-34.67
2025-03-08,Saturday,Ashgourd,Ammapet(Uzhavar Sandhai ),10.48,-34.48
2025-03-09,Sunday,Ashgourd,Ammapet(Uzhavar Sandhai ),10.49,-34.46
2025-03-10,Monday,Ashgourd,Ammapet(Uzhavar Sandhai ),10.56,-34.02
2025-03-11,Tuesday,Ashgourd,Ammapet(Uzhavar Sandhai ),10.62,-33.65
2025-03-12,Wednesday,Ashgourd,Ammapet(Uzhavar Sandhai ),10.63,-33.59
2025-03-13,Thursday,Ashgourd,Ammapet(Uzhavar Sandhai ),10.63,-33.56
2025-03-07,Friday,Ashgourd,Athur(Uzhavar Sandhai ),10.12,-36.73
2025-03-08,Saturday,Ashgourd,Athur(Uzhavar Sandhai ),10.16,-36.53
2025-03-09,Sunday,Ashgourd,Athur(Uzhavar Sandhai ),10.16,-36.51
2025-03-10,Monday,Ashgourd,Athur(Uzhavar Sandhai ),10.21,-36.19
2025-03-11,Tuesday,Ashgourd,Athur(Uzhavar Sandhai ),10.27,-35.82
2025-03-12,Wednesday,Ashgourd,Athur(Uzhavar Sandhai ),10.28,-35.77
2025-03-13,Thursday,Ashgourd,Athur(Uzhavar Sandhai ),10.28,-35.73
2025-03-07,Friday,Ashgourd,Attayampatti(Uzhavar Sandhai ),11.36,-28.99
2025-03-08,Saturday,Ashgourd,Attayampatti(Uzhavar Sandhai ),11.39,-28.82
2025-03-09,Sunday,Ashgourd,Attayampatti(Uzhavar Sandhai ),11.39,-28.81
2025-03-10,Monday,Ashgourd,Attayampatti(Uzhavar Sandhai ),11.38,-28.88
2025-03-11,Tuesday,Ashgourd,Attayampatti(Uzhavar Sandhai ),11.44,-28.51
2025-03-12,Wednesday,Ashgourd,Attayampatti(Uzhavar Sandhai ),11.45,-28.45
2025-03-13,Thursday,Ashgourd,Attayampatti(Uzhavar Sandhai ),11.45,-28.44
2025-03-07,Friday,Ashgourd,Edapadi (Uzhavar Sandhai ),10.64,-33.49
2025-03-08,Saturday,Ashgourd,Edapadi (Uzhavar Sandhai ),10.67,-33.34
2025-03-09,Sunday,Ashgourd,Edapadi (Uzhavar Sandhai ),10.67,-33.33
2025-03-10,Monday,Ashgourd,Edapadi (Uzhavar Sandhai ),10.74,-32.9
2025-03-11,Tuesday,Ashgourd,Edapadi (Uzhavar Sandhai ),10.79,-32.53
2025-03-12,Wednesday,Ashgourd,Edapadi (Uzhavar Sandhai ),10.81,-32.46
2025-03-13,Thursday,Ashgourd,Edapadi (Uzhavar Sandhai ),10.81,-32.45
2025-03-07,Friday,Ashgourd,Elampillai(Uzhavar Sandhai ),10.8,7.97
2025-03-08,Saturday,Ashgourd,Elampillai(Uzhavar Sandhai ),10.8,7.97
2025-03-09,Sunday,Ashgourd,Elampillai(Uzhavar Sandhai ),10.8,7.99
2025-03-10,Monday,Ashgourd,Elampillai(Uzhavar Sandhai ),10.79,7.9
2025-03-11,Tuesday,Ashgourd,Elampillai(Uzhavar Sandhai ),10.85,8.49
2025-03-12,Wednesday,Ashgourd,Elampillai(Uzhavar Sandhai ),10.86,8.59
2025-03-13,Thursday,Ashgourd,Elampillai(Uzhavar Sandhai ),10.86,8.63
2025-03-07,Friday,Ashgourd,Hasthampatti(Uzhavar Sandhai ),10.97,-45.13
2025-03-08,Saturday,Ashgourd,Hasthampatti(Uzhavar Sandhai ),10.32,-48.39
2025-03-09,Sunday,Ashgourd,Hasthampatti(Uzhavar Sandhai ),10.33,-48.37
2025-03-10,Monday,Ashgourd,Hasthampatti(Uzhavar Sandhai ),10.39,-48.07
